品目,申請区分,手数料(円),備考
医薬品,当初／無菌医薬品製造業の許可区分に係るもの,73600,*
医薬品,当初／一般医薬品製造業の許可区分に係るもの,54500,*
医薬品,当初／包装・表示・保管医薬品製造業の許可区分に係るもの,32600,*
医薬品,当初／医薬品の外部試験機関に係るもの,32600,*
医薬品,定期／無菌医薬品製造業の許可区分に係るもの／基本,129200,*
医薬品,定期／無菌医薬品製造業の許可区分に係るもの／品目,2050,
医薬品,定期／一般医薬品製造業の許可区分に係るもの／基本,99200,*
医薬品,定期／一般医薬品製造業の許可区分に係るもの／品目,1020,
医薬品,定期／包装・表示・保管医薬品製造業の許可区分に係るもの／基本,57900,*
医薬品,定期／包装・表示・保管医薬品製造業の許可区分に係るもの／品目,340,
医薬品,定期／医薬品の外部試験機関に係るもの／基本,57900,*
医薬品,定期／医薬品の外部試験機関に係るもの／品目,340,
医薬部外品,当初／無菌医薬部外品製造業の許可区分に係るもの,73600,*
医薬部外品,当初／一般医薬部外品製造業の許可区分に係るもの,54500,*
医薬部外品,当初／包装・表示・保管医薬部外品製造業の許可区分に係るもの,32600,*
医薬部外品,当初／医薬部外品の外部試験機関に係るもの,32600,*
医薬部外品,定期／無菌医薬部外品製造業の許可区分に係るもの／基本,129200,*
医薬部外品,定期／無菌医薬部外品製造業の許可区分に係るもの／品目,2050,
医薬部外品,定期／一般医薬部外品製造業の許可区分に係るもの／基本,99200,*
医薬部外品,定期／一般医薬部外品製造業の許可区分に係るもの／品目,1020,
医薬部外品,定期／包装・表示・保管医薬部外品製造業の許可区分に係るもの／基本,57900,*
医薬部外品,定期／包装・表示・保管医薬部外品製造業の許可区分に係るもの／品目,340,
医薬部外品,定期／医薬部外品の外部試験機関に係るもの／基本,57900,*
医薬部外品,定期／医薬部外品の外部試験機関に係るもの／品目,340,
