品目,申請区分,手数料(円),備考
体外診断用医薬品,当初／一般体外診断用医薬品製造業の許可の区分に係るもの,28100 ,
体外診断用医薬品,当初／包装・表示・保管体外診断用医薬品の許可の区分に係るもの,13100 ,
体外診断用医薬品,当初／体外診断用医薬品の外部試験機関に係るもの,13100 ,
体外診断用医薬品,定期／一般体外診断用医薬品製造業の許可の区分に係るもの／基本,71100 ,
体外診断用医薬品,定期／一般体外診断用医薬品製造業の許可の区分に係るもの／品目,1020 ,
体外診断用医薬品,定期／包装・表示・保管体外診断用医薬品の許可の区分に係るもの／基本,38300 ,
体外診断用医薬品,定期／包装・表示・保管体外診断用医薬品の許可の区分に係るもの／品目,340 ,
体外診断用医薬品,定期／体外診断用医薬品の外部試験機関に係るもの／基本,38300 ,
体外診断用医薬品,定期／体外診断用医薬品の外部試験機関に係るもの／品目,340 ,
医療機器,当初／滅菌医療機器製造業の許可区分に係るもの,47700 ,
医療機器,当初／一般医療機器製造業の許可区分に係るもの,28100 ,
医療機器,当初／包装・表示・保管医療機器製造業の許可区分に係るもの,13100 ,
医療機器,当初／医療機器の外部試験機関又は外部設計開発機関に係るもの,13100 ,
医療機器,定期／滅菌医療機器製造業の許可区分に係るもの／基本,101800 ,
医療機器,定期／滅菌医療機器製造業の許可区分に係るもの／品目,2050 ,
医療機器,定期／一般医療機器製造業の許可区分に係るもの／基本,71100 ,
医療機器,定期／一般医療機器製造業の許可区分に係るもの／品目,1020 ,
医療機器,定期／包装・表示・保管医療機器製造業の許可区分に係るもの／基本,38300 ,
医療機器,定期／包装・表示・保管医療機器製造業の許可区分に係るもの／品目,340 ,
医療機器,定期／医療機器の外部試験機関又は外部設計開発機関に係るもの／基本,38300 ,
医療機器,定期／医療機器の外部試験機関又は外部設計開発機関に係るもの／品目,340 ,
