"年度","区分","視覚障害 18歳未満[人]","視覚障害 18歳以上[人]","聴覚・平衡機能障害 18歳未満[人]","聴覚・平衡機能障害 18歳以上[人]","音声・言語そしゃく機能障害 18歳未満[人]","音声・言語そしゃく機能障害 18歳以上[人]","肢体不自由 18歳未満[人]","肢体不自由 18歳以上[人]","心臓機能障害 18歳未満[人]","心臓機能障害 18歳以上[人]","腎臓機能障害 18歳未満[人]","腎臓機能障害 18歳以上[人]","呼吸器機能障害 18歳未満[人]","呼吸器機能障害 18歳以上[人]","ぼうこう直腸機能障害(小腸含む) 18歳未満[人]","ぼうこう直腸機能障害(小腸含む) 18歳以上[人]","免疫機能障害 18歳未満[人]","免疫機能障害 18歳以上[人]","肝臓機能障害 18歳未満[人]","肝臓機能障害 18歳以上[人]","18歳未満 合計[人]","18歳以上 合計[人]","合計[人]"
"2014","合計","4","322","25","361","3","59","84","2607","11","780","0","418","3","87","3","232","0","137","1","9","134","5012","5146"
"2015","合計","5","335","22","357","3","61","85","2558","11","791","0","425","4","69","3","231","0","145","2","9","135","4981","5116"
"2016","合計","3","344","19","354","2","62","91","2530","14","795","0","442","5","67","5","239","0","153","1","17","140","5003","5143"
"2017","合計","5","338","21","356","1","56","91","2451","11","809","0","461","6","73","5","231","0","163","0","18","140","4956","5096"
"2018","１級","4","80","0","0","0","0","25","238","10","630","1","461","6","12","2","3","0","24","1","15","49","1463","1512"
"2018","２級","2","114","8","110","0","0","40","498","0","0","0","0","0","0","0","0","0","64","0","1","50","787","837"
"2018","３級","0","22","5","45","0","42","12","691","2","103","0","5","0","35","3","15","0","46","0","0","22","1004","1026"
"2018","４級","0","20","1","100","1","18","2","698","3","96","0","4","1","20","0","220","0","42","0","0","8","1218","1226"
"2018","５級","0","63","0","3","0","0","4","211","0","0","0","0","0","0","0","0","0","0","0","0","4","277","281"
"2018","６級","0","21","8","104","0","0","2","108","0","0","0","0","0","0","0","0","0","0","0","0","10","233","243"
"2018","合計","6","320","22","362","1","60","85","2444","15","829","1","470","7","67","5","238","0","176","1","16","143","4982","5125"

"令和元年度港区行政資料集　身体障害者手帳所持者数","Ver201903",,,,,,,,,,,,,,,,,,,,,,,
