"所得段階","保険料額[円]","説明","2018年度[人]"
"第1段階","29976","生活保護受給者、中国残留邦人等支援給付受給者又は老齢福祉年金受給者で住民税世帯非課税の人　本人及び世帯全員が住民税非課税で、合計所得＋公的年金収入が80万円以下の人※第１段階には保険料軽減者も含む。","7994"
"第2段階","41217","本人及び世帯全員が住民税非課税で、合計所得＋公的年金収入が80万円を超え、120万円以下の人","2698"
"第3段階","48711","本人及び世帯全員が住民税非課税で、合計所得＋公的年金収入が120万円を超える人","2610"
"第4段階","59952","本人が住民税非課税で世帯内に住民税課税者がいる人で、合計所得＋公的年金収入が80万円以下の人","4550"
"第5段階","74940","本人が住民税非課税で世帯内に住民税課税者がいる人で、合計所得＋公的年金収入が80万円を超える人","2995"
"第6段階","78687","本人が住民税課税で、合計所得金額125万円未満の人","4713"
"第7段階","82434","本人が住民税課税で、合計所得金額125万円以上190万円未満の人","3937"
"第8段階","89928","本人が住民税課税で、合計所得金額190万円以上250万円未満の人","2603"
"第9段階","104916","本人が住民税課税で、合計所得金額250万円以上350万円未満の人","2781"
"第10段階","119904","本人が住民税課税で、合計所得金額350万円以上500万円未満の人","2407"
"第11段階","146133","本人が住民税課税で、合計所得金額500万円以上750万円未満の人","2046"
"第12段階","179856","本人が住民税課税で、合計所得金額750万円以上1,000万円未満の人","1116"
"第13段階","217326","本人が住民税課税で、合計所得金額1,000万円以上1,500万円未満の人","1188"
"第14段階","254796","本人が住民税課税で、合計所得金額1,500万円以上2,000万円未満の人","755"
"第15段階","296013","本人が住民税課税で、合計所得金額2,000万円以上3,000万円未満の人","713"
"第16段階","337230","本人が住民税課税で、合計所得金額3,000万円以上5,000万円未満の人","618"
"第17段階","382194","本人が住民税課税で、合計所得金額5,000万円以上の人","810"
"合計",,,"44534"

"令和元年度港区行政資料集　介護保険 所得段階別被保険者数（65歳以上）-3","Ver201903",,
