区分,調査年,男性の方が非常に優遇されている構成比(%),どちらかといえば男性の方が優遇されている構成比(%),平等構成比(%),どちらかといえば女性の方が優遇されている構成比(%),女性の方が非常に優遇されている構成比(%),わからない構成比(%),男性の方が優遇されている合計(%),女性の方が優遇されている合計(%)
(1)家庭生活,今回調査(n=1821）,6.8,37.2,40.4,7.4,1.4,6.9,43.9,8.8
(1)家庭生活,平成22年(n=1892）,6.9,38.3,40.3,9.2,1.3,4,45.2,10.5
(1)家庭生活,平成13年(n=2124）,9.4,38.7,42,7.7,0.8,1.3,48.2,8.5
(2)学校教育,今回調査(n=1821）,1,9.8,76.3,2.6,0.5,9.7,10.8,3.1
(2)学校教育,平成22年(n=1892）,1.6,7.7,76.1,3.4,0.5,10.7,9.3,3.9
(2)学校教育,平成13年(n=2124）,1.6,11.3,79.9,1.9,0.3,4.9,12.9,2.2
(3)自治会やNPOなどの地域活動の場,今回調査(n=1821）,4,22.2,46.2,6.1,0.7,20.8,26.2,6.8
(3)自治会やNPOなどの地域活動の場,平成22年(n=1892）,2.2,23.2,53.8,5.8,0.5,14.6,25.3,6.3
(4)職場,今回調査(n=1821）,15.5,47.2,22.9,4.6,1.2,8.7,62.7,5.2
(4)職場,平成22年(n=1892）,14.2,49.3,24.5,5.2,0.7,6.2,63.4,5.9
(4)職場,平成13年(n=2124）,19.1,48.1,23.6,4.9,0.3,4,67.2,5.2
(5)社会通念・習慣・しきたりなど,今回調査(n=1821）,16.3,52.4,21,2.7,0.4,7.2,68.7,3.1
(5)社会通念・習慣・しきたりなど,平成22年(n=1892）,15.3,55,21.3,3.2,0.4,4.8,70.3,3.5
(5)社会通念・習慣・しきたりなど,平成13年(n=2124）,20.8,56.1,18.3,2.9,0.5,1.5,76.8,3.4
(6)政治,今回調査(n=1821）,30.3,44.3,16.8,1.2,0.3,7.2,74.6,1.4
(6)政治,平成22年(n=1892）,23.4,46.8,21.1,2.9,0.3,5.4,70.2,3.2
(6)政治,平成13年(n=2124）,23.3,49.9,22.6,1.7,0.2,2.4,73.1,1.9
(7)法律や制度,今回調査(n=1821）,10.2,33.4,40,5.1,1.2,10.2,43.6,6.3
(7)法律や制度,平成22年(n=1892）,7,32.2,42.5,8.7,0.8,8.8,39.2,9.5
(7)法律や制度,平成13年(n=2124）,9.8,44.7,37.8,4.3,0.5,2.9,54.5,4.8
全体として,今回調査(n=1821）,7.8,52.6,29.2,3.1,0.4,6.9,60.4,3.5
全体として,平成22年(n=1892）,4.9,54.1,30.3,3.5,0.3,6.9,59,3.8
全体として,平成13年(n=2124）,9.9,62.3,24.2,2.1,0.1,1.3,72.3,2.3
