月（年間）,デバイス カテゴリ,ユーザー
2023年3月,mobile,6975395
2023年3月,desktop,3304003
2023年3月,tablet,193387
2023年2月,mobile,6244517
2023年2月,desktop,3280404
2023年2月,tablet,194089
2023年1月,mobile,8559458
2023年1月,desktop,3444092
2023年1月,tablet,221704
2022年12月,mobile,8480249
2022年12月,desktop,3186142
2022年12月,tablet,205360
2022年11月,mobile,7891383
2022年11月,desktop,3282022
2022年11月,tablet,210564
2022年10月,mobile,6587110
2022年10月,desktop,3130014
2022年10月,tablet,190870
2022年9月,mobile,6636005
2022年9月,desktop,2993808
2022年9月,tablet,185874
2022年8月,mobile,11850376
2022年8月,desktop,3659265
2022年8月,tablet,284259
2022年7月,mobile,11025631
2022年7月,desktop,3695555
2022年7月,tablet,278149
2022年6月,mobile,5161426
2022年6月,desktop,2965861
2022年6月,tablet,185551
2022年5月,mobile,5837167
2022年5月,desktop,2726611
2022年5月,tablet,192493
2022年4月,mobile,5995359
2022年4月,desktop,2593759
2022年4月,tablet,199085
2022年3月,mobile,6585474
2022年3月,desktop,3148001
2022年3月,tablet,225183
2022年2月,mobile,7232501
2022年2月,desktop,3449299
2022年2月,tablet,256802
2022年1月,mobile,8369981
2022年1月,desktop,3801063
2022年1月,tablet,294951
2021年12月,mobile,4553076
2021年12月,desktop,2660443
2021年12月,tablet,196212
