月（年間）,ページ名,URL,ページビュー数
2023年3月,上野動物園公式サイト - 東京ズーネット,www.tokyo-zoo.net/sp/ueno/index.html,603744
2023年3月,東京都公立学校教員の異動について（令和５年4月1日付）｜東京都教育委員会ホームページ,www.kyoiku.metro.tokyo.lg.jp/staff/personnel/screening/assignment/05teacher.html,515105
2023年3月,東京都公式ホームページ,www.metro.tokyo.lg.jp/index.html,370998
2023年3月,東京都水道局アプリ ダウンロード・登録方法 | 手続き・料金 | 東京都水道局,www.waterworks.metro.tokyo.lg.jp/tetsuduki/suidoapp/index.html,297133
2023年3月,東京都教育委員会ホームページ,www.kyoiku.metro.tokyo.lg.jp/index.html,274834
2023年3月,開園時間・休園日・入園料 ｜ 上野動物園公式サイト - 東京ズーネット,www.tokyo-zoo.net/sp/ueno/U-2.html,266472
2023年3月,「東京おこめクーポン事業」を開始します 東京都福祉保健局,www.fukushihoken.metro.tokyo.lg.jp/seikatsu/okome-coupon.html,223547
2023年3月,手続き・料金 | 東京都水道局,www.waterworks.metro.tokyo.lg.jp/tetsuduki/index.html,215742
2023年3月,東京都水道局,www.waterworks.metro.tokyo.lg.jp/index.html,203756
2023年3月,身近な人が新型コロナウイルス感染症になった方へ～自分が濃厚接触者だと思ったら～ 東京都福祉保健局,www.fukushihoken.metro.tokyo.lg.jp/iryo/kansen/corona_portal/shien/coronamidika.html,198182
2023年3月,水道局お客さまセンター | 手続き・料金 | 東京都水道局,www.waterworks.metro.tokyo.lg.jp/tetsuduki/madoguchi/center.html,177834
2023年3月,東京都交通局,www.kotsu.metro.tokyo.jp/index.html,172538
2023年3月,都営バス ｜ 東京都交通局,www.kotsu.metro.tokyo.jp/bus/index.html,163061
2023年3月,多摩動物公園公式サイト - 東京ズーネット,www.tokyo-zoo.net/sp/tama/index.html,151354
2023年3月,東京都福祉保健局,www.fukushihoken.metro.tokyo.lg.jp/index.html,146058
