項目名,データ形態,カテゴリー数,質問文,属性,値
都市,ＳＡ,4,,1,東京
都市,ＳＡ,4,,2,ニューヨーク
都市,ＳＡ,4,,3,ロンドン
都市,ＳＡ,4,,4,パリ
GenderAge,ＳＡ,10,,1,Male 18～19
GenderAge,ＳＡ,10,,2,Male 20～29
GenderAge,ＳＡ,10,,3,Male 30～39
GenderAge,ＳＡ,10,,4,Male 40～49
GenderAge,ＳＡ,10,,5,Male 50～99
GenderAge,ＳＡ,10,,6,Female 18～19
GenderAge,ＳＡ,10,,7,Female 20～29
GenderAge,ＳＡ,10,,8,Female 30～39
GenderAge,ＳＡ,10,,9,Female 40～49
GenderAge,ＳＡ,10,,10,Female 50～99
F1　性別,ＳＡ,2,,1,男
F1　性別,ＳＡ,2,,2,女
F1　性別,ＳＡ,2,,3,その他
F1　性別,ＳＡ,2,,4,回答しない
F3　職業,ＳＡ,10,,1,会社員
F3　職業,ＳＡ,10,,2,公務員
F3　職業,ＳＡ,10,,3,自営業
F3　職業,ＳＡ,10,,4,会社役員
F3　職業,ＳＡ,10,,5,自由業
F3　職業,ＳＡ,10,,6,専業主婦（夫）
F3　職業,ＳＡ,10,,7,学生
F3　職業,ＳＡ,10,,8,パート・アルバイト
F3　職業,ＳＡ,10,,9,無職
F3　職業,ＳＡ,10,,10,その他
F4　年間収入,ＳＡ,8,,1,200万円未満
F4　年間収入,ＳＡ,8,,2,200～400万円未満
F4　年間収入,ＳＡ,8,,3,400～600万円未満
F4　年間収入,ＳＡ,8,,4,600～800万円未満
F4　年間収入,ＳＡ,8,,5,800～1000万円未満
F4　年間収入,ＳＡ,8,,6,1000～1500万円未満
F4　年間収入,ＳＡ,8,,7,1500～2000万円未満
F4　年間収入,ＳＡ,8,,8,2000万円以上
F5　同居家族数,ＳＡ,5,,1,1人暮らし
F5　同居家族数,ＳＡ,5,,2,2人
F5　同居家族数,ＳＡ,5,,3,3人
F5　同居家族数,ＳＡ,5,,4,4人
F5　同居家族数,ＳＡ,5,,5,5人以上
Q1　日常の情報収集媒体,ＭＡ,11,Q1: あなたが情報収集する際に日頃利用している媒体をすべて選択してください。,1,新聞・雑誌（紙媒体）
Q1　日常の情報収集媒体,ＭＡ,11,Q1: あなたが情報収集する際に日頃利用している媒体をすべて選択してください。,2,新聞・雑誌（電子版）
Q1　日常の情報収集媒体,ＭＡ,11,Q1: あなたが情報収集する際に日頃利用している媒体をすべて選択してください。,3,テレビ
Q1　日常の情報収集媒体,ＭＡ,11,Q1: あなたが情報収集する際に日頃利用している媒体をすべて選択してください。,4,ラジオ
Q1　日常の情報収集媒体,ＭＡ,11,Q1: あなたが情報収集する際に日頃利用している媒体をすべて選択してください。,5,ネットラジオ・テレビ
Q1　日常の情報収集媒体,ＭＡ,11,Q1: あなたが情報収集する際に日頃利用している媒体をすべて選択してください。,6,インターネットのニュースサイト
Q1　日常の情報収集媒体,ＭＡ,11,Q1: あなたが情報収集する際に日頃利用している媒体をすべて選択してください。,7,スマートフォンのニュースアプリ
Q1　日常の情報収集媒体,ＭＡ,11,Q1: あなたが情報収集する際に日頃利用している媒体をすべて選択してください。,8,ＳＮＳ
Q1　日常の情報収集媒体,ＭＡ,11,Q1: あなたが情報収集する際に日頃利用している媒体をすべて選択してください。,9,ウェブサイト・ブログ
Q1　日常の情報収集媒体,ＭＡ,11,Q1: あなたが情報収集する際に日頃利用している媒体をすべて選択してください。,10,その他
Q1　日常の情報収集媒体,ＭＡ,11,Q1: あなたが情報収集する際に日頃利用している媒体をすべて選択してください。,11,利用しているものはない
Q2　使用している通信機器,ＭＡ,14,Q2: 通信機能を有する情報通信機器の使用状況についてお尋ねします。あなたの世帯で保有し、１年以内に使用した機器をすべて選択してください。,1,固定電話
Q2　使用している通信機器,ＭＡ,14,Q2: 通信機能を有する情報通信機器の使用状況についてお尋ねします。あなたの世帯で保有し、１年以内に使用した機器をすべて選択してください。,2,ＦＡＸ
Q2　使用している通信機器,ＭＡ,14,Q2: 通信機能を有する情報通信機器の使用状況についてお尋ねします。あなたの世帯で保有し、１年以内に使用した機器をすべて選択してください。,3,テレビ
Q2　使用している通信機器,ＭＡ,14,Q2: 通信機能を有する情報通信機器の使用状況についてお尋ねします。あなたの世帯で保有し、１年以内に使用した機器をすべて選択してください。,4,ラジオ
Q2　使用している通信機器,ＭＡ,14,Q2: 通信機能を有する情報通信機器の使用状況についてお尋ねします。あなたの世帯で保有し、１年以内に使用した機器をすべて選択してください。,5,携帯電話（ＰＨＳを含む）
Q2　使用している通信機器,ＭＡ,14,Q2: 通信機能を有する情報通信機器の使用状況についてお尋ねします。あなたの世帯で保有し、１年以内に使用した機器をすべて選択してください。,6,スマートフォン
Q2　使用している通信機器,ＭＡ,14,Q2: 通信機能を有する情報通信機器の使用状況についてお尋ねします。あなたの世帯で保有し、１年以内に使用した機器をすべて選択してください。,7,タブレット端末（iPad、Galaxy Tabなど）
Q2　使用している通信機器,ＭＡ,14,Q2: 通信機能を有する情報通信機器の使用状況についてお尋ねします。あなたの世帯で保有し、１年以内に使用した機器をすべて選択してください。,8,パソコン
Q2　使用している通信機器,ＭＡ,14,Q2: 通信機能を有する情報通信機器の使用状況についてお尋ねします。あなたの世帯で保有し、１年以内に使用した機器をすべて選択してください。,9,ウェアラブル端末
Q2　使用している通信機器,ＭＡ,14,Q2: 通信機能を有する情報通信機器の使用状況についてお尋ねします。あなたの世帯で保有し、１年以内に使用した機器をすべて選択してください。,10,インターネットに接続できるゲーム機
Q2　使用している通信機器,ＭＡ,14,Q2: 通信機能を有する情報通信機器の使用状況についてお尋ねします。あなたの世帯で保有し、１年以内に使用した機器をすべて選択してください。,11,インターネットに接続できる携帯型音楽プレイヤー
Q2　使用している通信機器,ＭＡ,14,Q2: 通信機能を有する情報通信機器の使用状況についてお尋ねします。あなたの世帯で保有し、１年以内に使用した機器をすべて選択してください。,12,インターネットに接続できる家電
Q2　使用している通信機器,ＭＡ,14,Q2: 通信機能を有する情報通信機器の使用状況についてお尋ねします。あなたの世帯で保有し、１年以内に使用した機器をすべて選択してください。,13,その他
Q2　使用している通信機器,ＭＡ,14,Q2: 通信機能を有する情報通信機器の使用状況についてお尋ねします。あなたの世帯で保有し、１年以内に使用した機器をすべて選択してください。,14,使っているものはない
Q3　インターネット利用状況（仕事）,ＭＡ,13,Q3.1: 過去１年間のインターネット利用有無（仕事）,1,ホームページ（ウェブ）・ブログの閲覧
Q3　インターネット利用状況（仕事）,ＭＡ,13,Q3.1: 過去１年間のインターネット利用有無（仕事）,2,情報の検索
Q3　インターネット利用状況（仕事）,ＭＡ,13,Q3.1: 過去１年間のインターネット利用有無（仕事）,3,電子メールやメッセージの送受信
Q3　インターネット利用状況（仕事）,ＭＡ,13,Q3.1: 過去１年間のインターネット利用有無（仕事）,4,ＳＮＳの利用
Q3　インターネット利用状況（仕事）,ＭＡ,13,Q3.1: 過去１年間のインターネット利用有無（仕事）,5,無料通話アプリやボイスチャットの利用
