"都道府県コード又は市区町村コード","NO","都道府県名","市区町村名","介護サービス事業所名称","介護サービス事業所名称_カナ","実施サービス","住所","方書","電話番号","内線番号","FAX番号","法人番号","法人の名称","事業所番号","利用可能曜日","利用可能曜日特記事項","定員","URL","備考","経度","緯度","分類"
"","","","","２４時間ホームケアえごた","ニジュウヨジカンホームケアエゴタ","定期巡回・随時対応型訪問介護看護","中野区江古田３－３－２２","","03-5913-1872","","","","社会福祉法人悠遊","1391400569","","","","","","139.669627226576","35.7270934863134","介護サービス事業所所在地"
"","","","","Ａｉクリニック居宅介護支援事業所","アイクリニックキョタクカイゴシエンジギョウショ","居宅介護支援","中野区東中野１－５６－１","大島ビル本館４０５号室","03-6382-7201","","","","医療法人社団　啓神会","1371406248","","","","","","139.684533385974","35.7060222864569","介護サービス事業所所在地"
"","","","","Ｃｕｒｅステーション　スマイル","キュアステーション　スマイル","特定福祉用具販売","中野区東中野４－２３－１","グリーンハイムＫ１０１","03-5332-3558","","","","株式会社ヒロ・コーポレーション","1371403021","","","","","","139.68747273003","35.7092125227858","介護サービス事業所所在地"
"","","","","ＦＲＥＳＨ　ＷＡＬＫ","フレッシュ　ウォーク","通所介護","中野区南台３－６－７","クリスタルコート６Ｆ","03-6304-2768","","","","株式会社ドラマティック","1370405175","","","","","","139.667999235634","35.6853349025313","介護サービス事業所所在地"
"","","","","ＮＰＯ　ヘルパーステーション　中野の郷","エヌピーオー　ヘルパーステーション　ナカノノサト","訪問介護","中野区弥生町２－５２－４","城西弥生町マンション１０６","03-3384-6881","","","","特定非営利活動法人モンドラゴン中野の郷","1371401702","","","","","","139.669546661825","35.6907042184876","介護サービス事業所所在地"
"","","","","ＮＰＯデイサービスセンター中野の郷ぷりむら","エヌピーオーデイサービスセンターナカノノサトプリムラ","通所型サービス（独自）","中野区南台３－６－１７","クリスタルコート８８","03-5342-5108","","","","特定非営利活動法人モンドラゴン中野の郷","1371402312","","","","","","139.668251946729","35.6857476944402","介護サービス事業所所在地"
"","","","","ＮＰＯピクニックケア","エヌピーオーピクニックケア","訪問型サービス（独自／定率）","中野区新井１－２－２６","","03-5942-4902","","","","特定非営利活動法人ピクニックケア","1371403187","","","","","","139.66954563035","35.7107338303572","介護サービス事業所所在地"
"","","","","ＳＯＭＰＯケア　新中野　デイサービス","ソンポケア　シンナカノ　デイサービス","地域密着型通所介護","中野区中央３－２７－１５","１階","03-5337-7058","","","","ＳＯＭＰＯケア株式会社","1391400510","","","","","","139.672912204753","35.6995584068608","介護サービス事業所所在地"
"","","","","ＳＯＭＰＯケア　中野　居宅介護支援","ソンポケア　ナカノ　キョタクカイゴシエン","居宅介護支援","中野区中野３－３３－１８","フェルテ中野３０２号室","03-6382-8220","","","","ＳＯＭＰＯケア株式会社","1371405711","","","","","","139.665290959514","35.7029437912561","介護サービス事業所所在地"
"","","","","ＳＯＭＰＯケア　中野　定期巡回","ＳＯＭＰＯケア　ナカノ　テイキジュンカイ","定期巡回・随時対応型訪問介護看護","中野区中野３－３３－１８","フェルテ中野302号室","03-6382-8202","","","","ＳＯＭＰＯケア株式会社","1391400742","","","","","","139.665290959514","35.7029437912561","介護サービス事業所所在地"
