年・期,西暦(年),四半期,男女計／1～29人（千人）,男女計／30～499人（千人）,男女計／500人以上（千人）,男／1～29人（千人）,男／30～499人（千人）,男／500人以上（千人）,女／1～29人（千人）,女／30～499人（千人）,女／500人以上（千人）
実数／平成20年平均,2008,,1868,1950,1898,1076,1152,1194,792,798,704
実数／平成21年平均,2009,,1778,1885,1936,1026,1073,1215,752,812,721
実数／平成22年平均,2010,,1693,1912,1958,974,1083,1195,719,829,764
実数／平成23年平均,2011,,1783,1991,2045,1018,1112,1237,765,879,808
実数／平成24年平均,2012,,1746,1968,2105,1010,1104,1250,736,863,855
実数／平成25年平均,2013,,1717,2001,2167,967,1121,1296,750,881,872
実数／平成26年平均,2014,,1726,2022,2296,959,1131,1370,767,891,926
実数／平成21年10～12月平均,2009,10～12,1769,1972,1827,1036,1087,1143,733,886,684
実数／平成22年１～３月平均,2010,01～03,1744,1838,1952,1018,1031,1183,725,807,769
実数／平成22年４～６月平均,2010,04～06,1756,1838,1943,994,1039,1175,761,799,769
実数／平成22年７～９月平均,2010,07～09,1577,1942,2043,897,1123,1275,680,819,768
実数／平成22年10～12月平均,2010,10～12,1695,2030,1894,985,1139,1147,710,891,748
実数／平成23年１～３月平均,2011,01～03,1802,1997,1999,1006,1093,1193,796,904,805
実数／平成23年４～６月平均,2011,04～06,1797,1979,2046,1024,1113,1226,773,866,819
実数／平成23年７～９月平均,2011,07～09,1728,2015,2038,1001,1141,1248,727,874,790
実数／平成23年10～12月平均,2011,10～12,1804,1972,2098,1040,1101,1279,764,871,819
実数／平成24年１～３月平均,2012,01～03,1771,2014,2043,995,1127,1200,776,887,843
実数／平成24年４～６月平均,2012,04～06,1795,1878,2145,1040,1067,1299,755,811,847
実数／平成24年７～９月平均,2012,07～09,1764,1995,2076,1028,1104,1244,736,891,833
実数／平成24年10～12月平均,2012,10～12,1655,1983,2156,977,1119,1260,679,865,896
実数／平成25年１～３月平均,2013,01～03,1723,1999,2103,995,1075,1270,727,925,834
実数／平成25年４～６月平均,2013,04～06,1699,1955,2241,967,1110,1367,732,845,875
実数／平成25年７～９月平均,2013,07～09,1697,1959,2185,930,1137,1293,768,822,892
実数／平成25年10～12月平均,2013,10～12,1749,2093,2140,977,1161,1254,772,931,886
実数／平成26年１～３月平均,2014,01～03,1754,1995,2249,984,1111,1354,769,884,895
実数／平成26年４～６月平均,2014,04～06,1778,2004,2316,1010,1087,1404,768,917,911
実数／平成26年７～９月平均,2014,07～09,1651,2044,2304,924,1173,1350,727,871,955
