男女・年,西暦(年),総数(千人),15～24歳(千人),25～34歳(千人),35～44歳(千人),45～54歳(千人),55～64歳(千人),65歳以上(千人)
実数／男女計／正規／平成25年平均,2013,3742,220,1053,1133,850,387,99
実数／男女計／正規／平成26年平均,2014,3820,218,1089,1134,884,386,108
実数／男女計／正規／平成27年平均,2015,3916,233,1105,1152,907,414,105
実数／男女計／非正規／平成25年平均,2013,2164,296,416,447,382,374,250
実数／男女計／非正規／平成26年平均,2014,2228,299,412,464,393,384,275
実数／男女計／非正規／平成27年平均,2015,2250,286,376,458,444,383,304
実数／男／正規／平成25年平均,2013,2502,104,642,803,616,282,56
実数／男／正規／平成26年平均,2014,2538,110,655,793,640,281,59
実数／男／正規／平成27年平均,2015,2595,117,658,793,663,302,61
実数／男／非正規／平成25年平均,2013,764,136,170,106,76,143,133
実数／男／非正規／平成26年平均,2014,787,134,166,113,72,152,150
実数／男／非正規／平成27年平均,2015,789,135,150,119,76,142,167
実数／女／正規／平成25年平均,2013,1240,116,411,330,234,105,43
実数／女／正規／平成26年平均,2014,1282,109,434,341,244,105,49
実数／女／正規／平成27年平均,2015,1321,116,446,359,244,111,45
実数／女／非正規／平成25年平均,2013,1400,160,246,340,307,231,117
実数／女／非正規／平成26年平均,2014,1441,165,246,351,321,233,125
実数／女／非正規／平成27年平均,2015,1461,151,225,339,368,240,137
対前年増減数／男女計／正規／平成26年平均,2014,78,-2,36,1,34,-1,9
対前年増減数／男女計／正規／平成27年平均,2015,96,15,16,18,23,28,-3
対前年増減数／男女計／非正規／平成26年平均,2014,64,3,-4,17,11,10,25
対前年増減数／男女計／非正規／平成27年平均,2015,22,-13,-36,-6,51,-1,29
対前年増減数／男／正規／平成26年平均,2014,36,6,13,-10,24,-1,3
対前年増減数／男／正規／平成27年平均,2015,57,7,3,0,23,21,2
対前年増減数／男／非正規／平成26年平均,2014,23,-2,-4,7,-4,9,17
対前年増減数／男／非正規／平成27年平均,2015,2,1,-16,6,4,-10,17
対前年増減数／女／正規／平成26年平均,2014,42,-7,23,11,10,0,6
対前年増減数／女／正規／平成27年平均,2015,39,7,12,18,0,6,-4
対前年増減数／女／非正規／平成26年平均,2014,41,5,0,11,14,2,8
対前年増減数／女／非正規／平成27年平均,2015,20,-14,-21,-12,47,7,12
,,,,,,,,
東京の労働力統計データ（平成27年平均）,,,,,,,,
第８表 年齢階級別雇用形態別の役員を除く雇用者数,,,,,,,,
注）雇用形態別の役員を除く雇用者数については、平成25年平均から集計している。,,,,,,,,
注）正規：正規の職員･従業員,,,,,,,,
注）非正規：非正規の職員･従業員,,,,,,,,
