年,西暦(年),東京都／男女計（％、ポイント）,東京都／男（％、ポイント）,東京都／女（％、ポイント）,南関東／男女計（％、ポイント）,南関東／男（％、ポイント）,南関東／女（％、ポイント）,全国／男女計（％、ポイント）,全国／男（％、ポイント）,全国／女（％、ポイント）
実数／平成17年平均,2005,4.7,4.7,4.7,4.3,4.4,4.4,4.4,4.6,4.2
実数／平成18年平均,2006,4.2,4.3,4,4,4,3.9,4.1,4.3,3.9
実数／平成19年平均,2007,3.8,3.7,4,3.6,3.6,3.6,3.9,3.9,3.7
実数／平成20年平均,2008,3.8,3.6,4.1,3.8,3.7,3.7,4,4.1,3.8
実数／平成21年平均,2009,4.7,4.4,5,4.8,4.7,4.9,5.1,5.3,4.8
実数／平成22年平均,2010,5.5,5.7,5.1,5.1,5.2,4.9,5.1,5.4,4.6
実数／平成23年平均,2011,4.8,4.9,4.7,4.6,4.7,4.5,4.6,4.9,4.2
実数／平成24年平均,2012,4.5,4.6,4.5,4.4,4.5,4.3,4.3,4.6,4
実数／平成25年平均,2013,4.2,4.3,4,4.1,4.2,3.9,4,4.3,3.7
実数／平成26年平均,2014,3.8,3.9,3.6,3.5,3.6,3.4,3.6,3.7,3.4
実数／平成27年平均,2015,3.6,3.8,3.2,3.3,3.5,3.1,3.4,3.6,3.1
対前年増減数／平成18年平均,2006,-0.5,-0.4,-0.7,-0.3,-0.4,-0.5,-0.3,-0.3,-0.3
対前年増減数／平成19年平均,2007,-0.4,-0.6,0,-0.4,-0.4,-0.3,-0.2,-0.4,-0.2
対前年増減数／平成20年平均,2008,0,-0.1,0.1,0.2,0.1,0.1,0.1,0.2,0.1
対前年増減数／平成21年平均,2009,0.9,0.8,0.9,1,1,1.2,1.1,1.2,1
対前年増減数／平成22年平均,2010,0.8,1.3,0.1,0.3,0.5,0,0,0.1,-0.2
対前年増減数／平成23年平均,2011,-0.7,-0.8,-0.4,-0.5,-0.5,-0.4,-0.5,-0.5,-0.4
対前年増減数／平成24年平均,2012,-0.3,-0.3,-0.2,-0.2,-0.2,-0.2,-0.3,-0.3,-0.2
対前年増減数／平成25年平均,2013,-0.3,-0.3,-0.5,-0.3,-0.3,-0.4,-0.3,-0.3,-0.3
対前年増減数／平成26年平均,2014,-0.4,-0.4,-0.4,-0.6,-0.6,-0.5,-0.4,-0.6,-0.3
対前年増減数／平成27年平均,2015,-0.2,-0.1,-0.4,-0.2,-0.1,-0.3,-0.2,-0.1,-0.3
,,,,,,,,,,
東京の労働力統計データ（平成27年平均）,,,,,,,,,,
参考表　東京都、全国及び南関東の完全失業率(原数値）,,,,,,,,,,
注）南関東：埼玉県、千葉県、東京都、神奈川県,,,,,,,,,,
