区分,男女計／実数（千人、％）,男女計／前年（千人、％）,男女計／対前年／増減数（千人、ポイント）,男女計／対前年／増減率（％）,男／実数（千人、％）,男／前年（千人、％）,男／対前年／増減数（千人、ポイント）,男／対前年／増減率（％）,女／実数（千人、％）,女／前年（千人、％）,女／対前年／増減数（千人、ポイント）,女／対前年／増減率（％）
15歳以上人口,11925,11840,85,0.7,5853,5815,38,0.7,6072,6026,46,0.8
〔就業状態〕／労働力人口,7675,7599,76,1,4401,4353,48,1.1,3274,3247,27,0.8
〔就業状態〕／労働力人口／就業者数,7400,7312,88,1.2,4232,4183,49,1.2,3168,3129,39,1.2
〔就業状態〕／労働力人口／就業者数／自営業主数,553,571,-18,-3.2,394,396,-2,-0.5,159,174,-15,-8.6
〔就業状態〕／労働力人口／就業者数／家族従業者数,99,102,-3,-2.9,17,18,-1,-5.6,82,84,-2,-2.4
〔就業状態〕／労働力人口／就業者数／雇用者数,6701,6594,107,1.6,3792,3745,47,1.3,2909,2849,60,2.1
〔就業状態〕／労働力人口／就業者数／雇用者数／うち正規の職員・従業員,3916,3820,96,2.5,2595,2538,57,2.2,1321,1282,39,3
〔就業状態〕／労働力人口／就業者数／雇用者数／うち非正規の職員・従業員,2250,2228,22,1,789,787,2,0.3,1461,1441,20,1.4
〔就業状態〕／労働力人口／就業者数／雇用者数／うち非正規の職員・従業員／うちパート・アルバイト,1459,1404,55,3.9,403,389,14,3.6,1056,1015,41,4
〔就業状態〕／労働力人口／就業者数／雇用者数／うち常雇,6221,6117,104,1.7,3591,3551,40,1.1,2630,2565,65,2.5
〔就業状態〕／労働力人口／完全失業者数,275,287,-12,-4.2,169,170,-1,-0.6,106,117,-11,-9.4
〔就業状態〕／非労働力人口,4245,4236,9,0.2,1449,1459,-10,-0.7,2796,2776,20,0.7
〔就業者の活動状態別内訳〕／就業者数（再掲）,7400,7312,88,1.2,4232,4183,49,1.2,3168,3129,39,1.2
〔就業者の活動状態別内訳〕／就業者数（再掲）／従業者数,7203,7117,86,1.2,4155,4112,43,1,3048,3005,43,1.4
〔就業者の活動状態別内訳〕／就業者数（再掲）／従業者数／主に仕事,6175,6110,65,1.1,3983,3947,36,0.9,2192,2163,29,1.3
〔就業者の活動状態別内訳〕／就業者数（再掲）／従業者数／通学のかたわらに仕事,209,202,7,3.5,107,100,7,7,102,102,0,0
〔就業者の活動状態別内訳〕／就業者数（再掲）／従業者数／家事などのかたわらに仕事,820,805,15,1.9,65,65,0,0,755,740,15,2
〔就業者の活動状態別内訳〕／就業者数（再掲）／休業者数,196,195,1,0.5,77,71,6,8.5,119,124,-5,-4
〔就業者の主な産業別内訳〕／建設業,501,455,46,10.1,421,375,46,12.3,80,79,1,1.3
〔就業者の主な産業別内訳〕／製造業,714,733,-19,-2.6,494,518,-24,-4.6,220,215,5,2.3
〔就業者の主な産業別内訳〕／情報通信業,677,686,-9,-1.3,485,488,-3,-0.6,192,198,-6,-3
〔就業者の主な産業別内訳〕／運輸業，郵便業,369,388,-19,-4.9,301,320,-19,-5.9,68,69,-1,-1.4
〔就業者の主な産業別内訳〕／卸売業，小売業,1236,1235,1,0.1,649,624,25,4,587,611,-24,-3.9
〔就業者の主な産業別内訳〕／金融業，保険業,259,257,2,0.8,121,129,-8,-6.2,139,128,11,8.6
〔就業者の主な産業別内訳〕／不動産業，物品賃貸業,259,238,21,8.8,149,147,2,1.4,110,91,19,20.9
〔就業者の主な産業別内訳〕／学術研究，専門・技術サービス業,420,430,-10,-2.3,270,272,-2,-0.7,151,158,-7,-4.4
〔就業者の主な産業別内訳〕／宿泊業，飲食サービス業,520,490,30,6.1,229,216,13,6,290,273,17,6.2
〔就業者の主な産業別内訳〕／生活関連サービス業，娯楽業,276,287,-11,-3.8,124,124,0,0,152,163,-11,-6.7
〔就業者の主な産業別内訳〕／教育，学習支援業,371,378,-7,-1.9,168,169,-1,-0.6,204,209,-5,-2.4
〔就業者の主な産業別内訳〕／医療，福祉,736,713,23,3.2,189,195,-6,-3.1,547,519,28,5.4
〔就業者の主な産業別内訳〕／サービス業（他に分類されないもの）,582,534,48,9,337,313,24,7.7,246,221,25,11.3
〔雇用者の主な産業別内訳〕／建設業,424,392,32,8.2,351,318,33,10.4,72,74,-2,-2.7
〔雇用者の主な産業別内訳〕／製造業,675,690,-15,-2.2,473,495,-22,-4.4,202,196,6,3.1
〔雇用者の主な産業別内訳〕／情報通信業,647,653,-6,-0.9,461,463,-2,-0.4,186,190,-4,-2.1
〔雇用者の主な産業別内訳〕／運輸業，郵便業,343,360,-17,-4.7,276,293,-17,-5.8,67,66,1,1.5
〔雇用者の主な産業別内訳〕／卸売業，小売業,1163,1155,8,0.7,605,578,27,4.7,558,576,-18,-3.1
〔雇用者の主な産業別内訳〕／金融業，保険業,256,254,2,0.8,119,128,-9,-7,137,126,11,8.7
