年・期,西暦(年),四半期,建設業（千人）,製造業（千人）,情報通信業（千人）,運輸業，郵便業（千人）,卸売業，小売業（千人）,金融業，保険業（千人）,不動産業，物品賃貸業（千人）,学術研究，専門･技術ｻｰﾋﾞｽ業（千人）,宿泊業，飲食ｻｰﾋﾞｽ業（千人）,生活関連ｻｰﾋﾞｽ業，娯楽業（千人）,教育，学習支援業（千人）,医療，福祉（千人）,ｻｰﾋﾞｽ業（他に分類されないもの）（千人）
実数／男女計／平成24年平均,2012,,441,751,594,345,1170,277,235,416,502,281,329,640,655
実数／男女計／平成25年平均,2013,,413,734,637,385,1196,283,218,436,507,267,364,701,555
実数／男女計／平成26年平均,2014,,455,733,686,388,1235,257,238,430,490,287,378,713,534
実数／男女計／平成24年10～12月平均,2012,10～12,436,794,593,339,1087,302,222,416,498,280,348,632,646
実数／男女計／平成25年１～３月平均,2013,01～03,435,713,582,377,1176,314,231,400,516,253,371,723,564
実数／男女計／平成25年４～６月平均,2013,04～06,467,719,640,403,1148,282,239,467,502,290,395,668,544
実数／男女計／平成25年７～９月平均,2013,07～09,361,729,674,374,1237,258,204,461,507,253,351,707,521
実数／男女計／平成25年10～12月平均,2013,10～12,388,778,651,388,1225,277,198,417,504,272,338,707,592
実数／男女計／平成26年１～３月平均,2014,01～03,433,782,619,376,1240,280,231,440,470,286,389,724,496
実数／男女計／平成26年４～６月平均,2014,04～06,509,741,735,420,1195,240,249,395,495,334,411,698,518
実数／男女計／平成26年７～９月平均,2014,07～09,434,708,696,375,1248,264,225,437,508,271,383,671,539
実数／男女計／平成26年10～12月平均,2014,10～12,441,702,693,383,1256,244,246,449,486,258,330,760,584
実数／男女計／平成27年１～３月平均,2015,01～03,459,711,664,366,1221,271,271,427,510,292,362,667,560
実数／男／平成24年平均,2012,,368,542,426,279,595,148,152,268,228,133,145,190,360
実数／男／平成25年平均,2013,,348,541,450,315,593,137,131,275,234,116,166,205,331
実数／男／平成26年平均,2014,,375,518,488,320,624,129,147,272,216,124,169,195,313
実数／男／平成24年10～12月平均,2012,10～12,363,564,435,273,534,161,141,264,234,122,157,189,376
実数／男／平成25年１～３月平均,2013,01～03,362,529,400,300,598,158,135,250,255,123,166,208,349
実数／男／平成25年４～６月平均,2013,04～06,400,562,454,349,546,135,151,313,234,124,163,184,307
実数／男／平成25年７～９月平均,2013,07～09,305,523,482,299,625,124,119,294,242,108,178,203,304
実数／男／平成25年10～12月平均,2013,10～12,327,549,464,313,602,132,120,244,206,109,156,225,363
実数／男／平成26年１～３月平均,2014,01～03,366,557,442,307,635,151,141,268,201,129,176,198,295
実数／男／平成26年４～６月平均,2014,04～06,424,538,524,346,597,122,152,250,205,139,166,176,305
実数／男／平成26年７～９月平均,2014,07～09,352,487,492,312,642,120,147,296,246,114,182,186,308
実数／男／平成26年10～12月平均,2014,10～12,359,490,494,314,621,125,148,273,214,115,153,219,344
実数／男／平成27年１～３月平均,2015,01～03,392,499,468,296,627,129,172,263,230,132,150,181,328
実数／女／平成24年平均,2012,,73,208,168,66,575,129,83,148,274,148,184,451,295
実数／女／平成25年平均,2013,,64,194,187,70,603,145,87,161,273,151,198,496,225
実数／女／平成26年平均,2014,,79,215,198,69,611,128,91,158,273,163,209,519,221
実数／女／平成24年10～12月平均,2012,10～12,73,230,158,66,553,142,81,152,264,158,192,443,270
実数／女／平成25年１～３月平均,2013,01～03,73,183,182,77,577,156,95,150,261,131,205,515,215
実数／女／平成25年４～６月平均,2013,04～06,67,157,186,54,602,147,88,154,268,166,232,484,238
実数／女／平成25年７～９月平均,2013,07～09,57,205,193,74,611,134,86,167,265,145,172,504,217
実数／女／平成25年10～12月平均,2013,10～12,61,229,188,74,623,145,78,173,298,163,182,482,229
実数／女／平成26年１～３月平均,2014,01～03,68,225,177,69,605,130,90,172,269,156,213,527,201
実数／女／平成26年４～６月平均,2014,04～06,85,203,211,74,598,118,97,145,290,196,245,522,213
実数／女／平成26年７～９月平均,2014,07～09,82,221,204,62,606,144,78,140,262,157,200,485,231
実数／女／平成26年10～12月平均,2014,10～12,83,211,199,69,635,120,98,176,272,143,177,541,240
実数／女／平成27年１～３月平均,2015,01～03,67,211,196,70,594,142,99,164,280,160,212,486,232
対前年・対前年同期増減数／男女計／平成24年平均,2012,,1,-20,-9,-29,-22,-6,0,8,24,-8,-11,25,29
対前年・対前年同期増減数／男女計／平成25年平均,2013,,-28,-17,43,40,26,6,-17,20,5,-14,35,61,-100
対前年・対前年同期増減数／男女計／平成26年平均,2014,,42,-1,49,3,39,-26,20,-6,-17,20,14,12,-21
対前年・対前年同期増減数／男女計／平成24年10～12月平均,2012,10～12,0,35,-58,-7,-56,34,-9,-13,7,-31,-26,16,2
対前年・対前年同期増減数／男女計／平成25年１～３月平均,2013,01～03,8,-19,-14,37,-43,38,-8,0,17,-27,45,39,-117
対前年・対前年同期増減数／男女計／平成25年４～６月平均,2013,04～06,4,-46,75,40,-23,5,-3,61,20,26,48,57,-103
