区分,男女計／実数（千人、％）,男女計／前年同期（千人、％）,男女計／対前年同期／増減数（千人、ポイント）,男女計／対前年同期／増減率（％）,男／実数（千人、％）,男／前年同期（千人、％）,男／対前年同期／増減数（千人、ポイント）,男／対前年同期／増減率（％）,女／実数（千人、％）,女／前年同期（千人、％）,女／対前年同期／増減数（千人、ポイント）,女／対前年同期／増減率（％）
15歳以上人口,11941,11854,87,0.7,5861,5820,41,0.7,6080,6033,47,0.8
〔就業状態〕／労働力人口,7694,7540,154,2,4425,4338,87,2,3268,3202,66,2.1
〔就業状態〕／労働力人口／就業者数,7441,7240,201,2.8,4263,4172,91,2.2,3178,3068,110,3.6
〔就業状態〕／労働力人口／就業者数／自営業主数,516,545,-29,-5.3,382,395,-13,-3.3,134,150,-16,-10.7
〔就業状態〕／労働力人口／就業者数／家族従業者数,82,91,-9,-9.9,11,13,-2,-15.4,71,78,-7,-9
〔就業状態〕／労働力人口／就業者数／雇用者数,6794,6568,226,3.4,3837,3745,92,2.5,2957,2823,134,4.7
〔就業状態〕／労働力人口／就業者数／雇用者数／うち正規の職員・従業員,4027,3884,143,3.7,2651,2562,89,3.5,1376,1322,54,4.1
〔就業状態〕／労働力人口／就業者数／雇用者数／うち非正規の職員・従業員,2243,2135,108,5.1,794,775,19,2.5,1449,1360,89,6.5
〔就業状態〕／労働力人口／就業者数／雇用者数／うち非正規の職員・従業員／うちパート・アルバイト,1462,1343,119,8.9,413,383,30,7.8,1049,960,89,9.3
〔就業状態〕／労働力人口／就業者数／雇用者数／うち常雇,6323,6104,219,3.6,3638,3549,89,2.5,2685,2555,130,5.1
〔就業状態〕／労働力人口／完全失業者数,253,300,-47,-15.7,162,166,-4,-2.4,91,134,-43,-32.1
〔就業状態〕／非労働力人口,4246,4308,-62,-1.4,1435,1478,-43,-2.9,2810,2830,-20,-0.7
〔就業者の活動状況別内訳〕／就業者数（再掲）,7441,7240,201,2.8,4263,4172,91,2.2,3178,3068,110,3.6
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数,7214,7052,162,2.3,4172,4093,79,1.9,3042,2959,83,2.8
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／主に仕事,6203,6131,72,1.2,3992,3923,69,1.8,2211,2208,3,0.1
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／通学のかたわらに仕事,206,195,11,5.6,109,105,4,3.8,97,91,6,6.6
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／家事などのかたわらに仕事,805,725,80,11,71,65,6,9.2,734,660,74,11.2
〔就業者の活動状況別内訳〕／就業者数（再掲）／休業者数,226,188,38,20.2,91,79,12,15.2,136,109,27,24.8
〔就業者の主な産業別内訳〕／建設業,527,434,93,21.4,437,352,85,24.1,90,82,8,9.8
〔就業者の主な産業別内訳〕／製造業,722,708,14,2,497,487,10,2.1,225,221,4,1.8
〔就業者の主な産業別内訳〕／情報通信業,675,696,-21,-3,493,492,1,0.2,182,204,-22,-10.8
〔就業者の主な産業別内訳〕／運輸業，郵便業,381,375,6,1.6,311,312,-1,-0.3,70,62,8,12.9
〔就業者の主な産業別内訳〕／卸売業，小売業,1220,1248,-28,-2.2,669,642,27,4.2,551,606,-55,-9.1
〔就業者の主な産業別内訳〕／金融業，保険業,273,264,9,3.4,118,120,-2,-1.7,155,144,11,7.6
〔就業者の主な産業別内訳〕／不動産業，物品賃貸業,252,225,27,12,145,147,-2,-1.4,107,78,29,37.2
〔就業者の主な産業別内訳〕／学術研究，専門・技術サービス業,427,437,-10,-2.3,285,296,-11,-3.7,142,140,2,1.4
〔就業者の主な産業別内訳〕／宿泊業，飲食サービス業,509,508,1,0.2,225,246,-21,-8.5,284,262,22,8.4
〔就業者の主な産業別内訳〕／生活関連サービス業，娯楽業,241,271,-30,-11.1,93,114,-21,-18.4,148,157,-9,-5.7
〔就業者の主な産業別内訳〕／教育，学習支援業,400,383,17,4.4,184,182,2,1.1,217,200,17,8.5
〔就業者の主な産業別内訳〕／医療，福祉,724,671,53,7.9,178,186,-8,-4.3,546,485,61,12.6
〔就業者の主な産業別内訳〕／サービス業（他に分類されないもの）,596,539,57,10.6,328,308,20,6.5,268,231,37,16
〔雇用者の主な産業別内訳〕／建設業,447,375,72,19.2,365,296,69,23.3,83,79,4,5.1
〔雇用者の主な産業別内訳〕／製造業,698,670,28,4.2,483,467,16,3.4,215,203,12,5.9
〔雇用者の主な産業別内訳〕／情報通信業,647,662,-15,-2.3,469,466,3,0.6,178,196,-18,-9.2
〔雇用者の主な産業別内訳〕／運輸業，郵便業,357,350,7,2,289,289,0,0,68,61,7,11.5
〔雇用者の主な産業別内訳〕／卸売業，小売業,1169,1186,-17,-1.4,638,612,26,4.2,530,574,-44,-7.7
〔雇用者の主な産業別内訳〕／金融業，保険業,272,261,11,4.2,118,120,-2,-1.7,153,141,12,8.5
〔雇用者の主な産業別内訳〕／不動産業，物品賃貸業,226,201,25,12.4,129,132,-3,-2.3,97,70,27,38.6
〔雇用者の主な産業別内訳〕／学術研究，専門・技術サービス業,319,319,0,0,205,209,-4,-1.9,114,110,4,3.6
〔雇用者の主な産業別内訳〕／宿泊業，飲食サービス業,453,442,11,2.5,193,208,-15,-7.2,259,233,26,11.2
〔雇用者の主な産業別内訳〕／生活関連サービス業，娯楽業,179,207,-28,-13.5,67,84,-17,-20.2,112,123,-11,-8.9
〔雇用者の主な産業別内訳〕／教育，学習支援業,363,342,21,6.1,176,170,6,3.5,186,172,14,8.1
