区分,男女計／実数（千人、％）,男女計／前年同期（千人、％）,男女計／対前年同期／増減数（千人、ポイント）,男女計／対前年同期／増減率（％）,男／実数（千人、％）,男／前年同期（千人、％）,男／対前年同期／増減数（千人、ポイント）,男／対前年同期／増減率（％）,女／実数（千人、％）,女／前年同期（千人、％）,女／対前年同期／増減数（千人、ポイント）,女／対前年同期／増減率（％）
15歳以上人口,11932,11846,86,0.7,5856,5818,38,0.7,6076,6029,47,0.8
〔就業状態〕／労働力人口,7751,7714,37,0.5,4404,4391,13,0.3,3347,3323,24,0.7
〔就業状態〕／労働力人口／就業者数,7476,7424,52,0.7,4239,4216,23,0.5,3237,3208,29,0.9
〔就業状態〕／労働力人口／就業者数／自営業主数,586,621,-35,-5.6,403,421,-18,-4.3,183,199,-16,-8
〔就業状態〕／労働力人口／就業者数／家族従業者数,103,121,-18,-14.9,12,22,-10,-45.5,91,99,-8,-8.1
〔就業状態〕／労働力人口／就業者数／雇用者数,6743,6630,113,1.7,3796,3749,47,1.3,2947,2881,66,2.3
〔就業状態〕／労働力人口／就業者数／雇用者数／うち正規の職員・従業員,3976,3845,131,3.4,2578,2540,38,1.5,1398,1305,93,7.1
〔就業状態〕／労働力人口／就業者数／雇用者数／うち非正規の職員・従業員,2252,2240,12,0.5,823,783,40,5.1,1429,1457,-28,-1.9
〔就業状態〕／労働力人口／就業者数／雇用者数／うち非正規の職員・従業員／うちパート・アルバイト,1416,1375,41,3,406,379,27,7.1,1010,995,15,1.5
〔就業状態〕／労働力人口／就業者数／雇用者数／うち常雇,6241,6143,98,1.6,3584,3554,30,0.8,2656,2589,67,2.6
〔就業状態〕／労働力人口／完全失業者数,275,290,-15,-5.2,165,175,-10,-5.7,110,115,-5,-4.3
〔就業状態〕／非労働力人口,4170,4125,45,1.1,1444,1424,20,1.4,2725,2701,24,0.9
〔就業者の活動状況別内訳〕／就業者数（再掲）,7476,7424,52,0.7,4239,4216,23,0.5,3237,3208,29,0.9
