区分,男女計／実数（千人、％）,男女計／前年同期（千人、％）,男女計／対前年同期／増減数（千人、ポイント）,男女計／対前年同期／増減率（％）,男／実数（千人、％）,男／前年同期（千人、％）,男／対前年同期／増減数（千人、ポイント）,男／対前年同期／増減率（％）,女／実数（千人、％）,女／前年同期（千人、％）,女／対前年同期／増減数（千人、ポイント）,女／対前年同期／増減率（％）
15歳以上人口,11873,11801,72,0.6,5830,5797,33,0.6,6044,6004,40,0.7
〔就業状態〕／労働力人口,7560,7518,42,0.6,4344,4324,20,0.5,3216,3193,23,0.7
〔就業状態〕／労働力人口／就業者数,7276,7244,32,0.4,4174,4167,7,0.2,3102,3077,25,0.8
〔就業状態〕／労働力人口／就業者数／自営業主数,558,553,5,0.9,385,378,7,1.9,173,175,-2,-1.1
〔就業状態〕／労働力人口／就業者数／家族従業者数,102,103,-1,-1,17,18,-1,-5.6,85,85,0,0
〔就業状態〕／労働力人口／就業者数／雇用者数,6564,6551,13,0.2,3737,3751,-14,-0.4,2827,2801,26,0.9
〔就業状態〕／労働力人口／就業者数／雇用者数／うち正規の職員・従業員,3774,3732,42,1.1,2559,2522,37,1.5,1215,1210,5,0.4
〔就業状態〕／労働力人口／就業者数／雇用者数／うち非正規の職員・従業員,2243,2268,-25,-1.1,761,797,-36,-4.5,1482,1472,10,0.7
〔就業状態〕／労働力人口／就業者数／雇用者数／うち非正規の職員・従業員／うちパート・アルバイト,1470,1441,29,2,397,405,-8,-2,1073,1036,37,3.6
〔就業状態〕／労働力人口／就業者数／雇用者数／うち常雇,6109,6041,68,1.1,3549,3541,8,0.2,2560,2500,60,2.4
〔就業状態〕／労働力人口／完全失業者数,285,274,11,4,170,158,12,7.6,115,116,-1,-0.9
〔就業状態〕／非労働力人口,4306,4280,26,0.6,1483,1470,13,0.9,2823,2810,13,0.5
〔就業者の活動状況別内訳〕／就業者数（再掲）,7276,7244,32,0.4,4174,4167,7,0.2,3102,3077,25,0.8
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数,7070,7021,49,0.7,4091,4092,-1,0,2979,2929,50,1.7
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／主に仕事,6056,6035,21,0.3,3917,3933,-16,-0.4,2139,2102,37,1.8
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／通学のかたわらに仕事,200,195,5,2.6,113,97,16,16.5,87,98,-11,-11.2
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／家事などのかたわらに仕事,815,790,25,3.2,62,62,0,0,753,728,25,3.4
〔就業者の活動状況別内訳〕／就業者数（再掲）／休業者数,206,223,-17,-7.6,83,74,9,12.2,122,149,-27,-18.1
〔就業者の主な産業別内訳〕／建設業,459,433,26,6,392,366,26,7.1,67,68,-1,-1.5
〔就業者の主な産業別内訳〕／製造業,711,782,-71,-9.1,499,557,-58,-10.4,211,225,-14,-6.2
〔就業者の主な産業別内訳〕／情報通信業,664,619,45,7.3,468,442,26,5.9,196,177,19,10.7
〔就業者の主な産業別内訳〕／運輸業，郵便業,366,376,-10,-2.7,296,307,-11,-3.6,70,69,1,1.4
