区分,男女計／実数（千人、％）,男女計／前年同期（千人、％）,男女計／対前年同期／増減数（千人、ポイント）,男女計／対前年同期／増減率（％）,男／実数（千人、％）,男／前年同期（千人、％）,男／対前年同期／増減数（千人、ポイント）,男／対前年同期／増減率（％）,女／実数（千人、％）,女／前年同期（千人、％）,女／対前年同期／増減数（千人、ポイント）,女／対前年同期／増減率（％）
15歳以上人口,11954,11860,94,0.8,5867,5823,44,0.8,6088,6037,51,0.8
〔就業状態〕／労働力人口,7694,7626,68,0.9,4429,4358,71,1.6,3264,3268,-4,-0.1
〔就業状態〕／労働力人口／就業者数,7406,7341,65,0.9,4250,4177,73,1.7,3155,3164,-9,-0.3
〔就業状態〕／労働力人口／就業者数／自営業主数,550,564,-14,-2.5,404,391,13,3.3,147,173,-26,-15
〔就業状態〕／労働力人口／就業者数／家族従業者数,110,92,18,19.6,27,18,9,50,83,74,9,12.2
〔就業状態〕／労働力人口／就業者数／雇用者数,6705,6628,77,1.2,3798,3736,62,1.7,2907,2892,15,0.5
〔就業状態〕／労働力人口／就業者数／雇用者数／うち正規の職員・従業員,3886,3819,67,1.8,2593,2528,65,2.6,1293,1290,3,0.2
〔就業状態〕／労働力人口／就業者数／雇用者数／うち非正規の職員・従業員,2262,2267,-5,-0.2,777,793,-16,-2,1484,1474,10,0.7
〔就業状態〕／労働力人口／就業者数／雇用者数／うち非正規の職員・従業員／うちパート・アルバイト,1487,1459,28,1.9,395,390,5,1.3,1093,1069,24,2.2
〔就業状態〕／労働力人口／就業者数／雇用者数／うち常雇,6210,6178,32,0.5,3592,3562,30,0.8,2618,2617,1,0
〔就業状態〕／労働力人口／完全失業者数,288,285,3,1.1,179,181,-2,-1.1,109,104,5,4.8
〔就業状態〕／非労働力人口,4258,4229,29,0.7,1434,1464,-30,-2,2824,2764,60,2.2
〔就業者の活動状況別内訳〕／就業者数（再掲）,7406,7341,65,0.9,4250,4177,73,1.7,3155,3164,-9,-0.3
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数,7222,7152,70,1,4195,4101,94,2.3,3027,3051,-24,-0.8
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／主に仕事,6170,6049,121,2,4029,3911,118,3,2141,2137,4,0.2
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／通学のかたわらに仕事,231,233,-2,-0.9,107,112,-5,-4.5,124,121,3,2.5
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／家事などのかたわらに仕事,822,870,-48,-5.5,59,78,-19,-24.4,762,793,-31,-3.9
〔就業者の活動状況別内訳〕／就業者数（再掲）／休業者数,183,188,-5,-2.7,55,75,-20,-26.7,128,113,15,13.3
〔就業者の主な産業別内訳〕／建設業,464,441,23,5.2,388,359,29,8.1,76,83,-7,-8.4
〔就業者の主な産業別内訳〕／製造業,735,702,33,4.7,507,490,17,3.5,229,211,18,8.5
〔就業者の主な産業別内訳〕／情報通信業,637,693,-56,-8.1,455,494,-39,-7.9,183,199,-16,-8
〔就業者の主な産業別内訳〕／運輸業，郵便業,395,383,12,3.1,321,314,7,2.2,74,69,5,7.2
