"科目","金額[百万円]"
"年度","2019"
"期間（自）","20190401"
"期間（至）","20200331"
"経常費用","124614"
"経常費用 業務費用","78728"
"経常費用 業務費用 人件費","19579"
"経常費用 業務費用 人件費 職員給与費","16001"
"経常費用 業務費用 人件費 賞与等引当金繰入額","949"
"経常費用 業務費用 人件費 退職手当引当金繰入額","1133"
"経常費用 業務費用 人件費 その他","1496"
"経常費用 業務費用 物件費等","58039"
"経常費用 業務費用 物件費等 物件費","45081"
"経常費用 業務費用 物件費等 維持補修費","2184"
"経常費用 業務費用 物件費等 減価償却費","10774"
"経常費用 業務費用 物件費等 その他","-"
"経常費用 業務費用 その他の業務費用","1110"
"経常費用 業務費用 その他の業務費用 支払利息","14"
"経常費用 業務費用 その他の業務費用 徴収不能引当金繰入額","218"
"経常費用 業務費用 その他の業務費用 その他","878"
"経常費用 移転費用","45886"
"経常費用 移転費用 補助金等","15485"
"経常費用 移転費用 社会保障給付","23274"
"経常費用 移転費用 他会計への繰出金","6620"
"経常費用 移転費用 その他","506"
"経常収益","17191"
"経常収益 使用料及び手数料","8890"
"経常収益 その他","8301"
"純経常行政コスト","-107423"
"臨時損失","140"
"臨時損失 災害復旧事業費","-"
"臨時損失 資産除売却損","140"
"臨時損失 投資損失引当金繰入額","-"
"臨時損失 損失補償等引当金繰入額","-"
"臨時損失 その他","-"
"臨時利益","-"
"臨時利益 資産売却益","-"
"臨時利益 その他","-"
"純行政コスト","-107563"

"一般会計財務書類（行政コスト計算書）(平成31年4月1日から令和2年3月31日)","Ver202003"
