12　物　資　別　専　門　ふ　頭　施　設,,,,
,,,,
,施設名,15号地木材ふ頭,大井水産物ふ頭,大井食品ふ頭
,係留施設,延　　長　　720m,延　　長　　450m,延　　長　　609.5m
,,水　　深　　-12.0m,水　　深　　-12.0m,水　　深　　-12.0m
,,"係船能力　　25,000DWT","係船能力　　30,000DWT","係船能力　　30,000DWT"
,,船席数　　3バース,船席数　　2バース,水　　深　　-11.0m
,,,,"係船能力　　15,000DWT"
,,,,船席数　　3バース
,上屋,-,構　造,構　造
,,,鉄筋コンクリート造5階建の一部　1階3棟,鉄筋コンクリート造4階建の1階
,,,,鉄筋コンクリート造5階建の1階
,,,"面　積　　　21,098.56㎡","面　積　　　     10,778.84㎡"
,野積場,"面　積　　　258,125㎡",-,-
,荷役連絡所及休憩所,,構　造　　鉄筋コンクリート造,構　造　　鉄筋コンクリート造
,,,　　　　　　5階建の一部,　　　　　　3階建の一部
,,,荷役連絡所　　　　182.25㎡,荷役連絡所　　　 2096.20㎡
,,,"休憩所　　　      1,205.08㎡",休憩所　　　         224.86㎡
