"科目","金額[百万円]"
"年度[西暦]","2022"
"期間（自）","20220401"
"期間（至）","20230331"
"経常費用","194456"
"経常費用 業務費用","102122"
"経常費用 業務費用 人件費","21286"
"経常費用 業務費用 人件費 職員給与費","16745"
"経常費用 業務費用 人件費 賞与等引当金繰入額","988"
"経常費用 業務費用 人件費 退職手当引当金繰入額","1205"
"経常費用 業務費用 人件費 その他","2348"
"経常費用 業務費用 物件費等","75210"
"経常費用 業務費用 物件費等 物件費","58758"
"経常費用 業務費用 物件費等 維持補修費","3849"
"経常費用 業務費用 物件費等 減価償却費","12603"
"経常費用 業務費用 物件費等 その他","-"
"経常費用 業務費用 その他の業務費用","5626"
"経常費用 業務費用 その他の業務費用 支払利息","3"
"経常費用 業務費用 その他の業務費用 徴収不能引当金繰入額","667"
"経常費用 業務費用 その他の業務費用 その他","4957"
"経常費用 移転費用","92334"
"経常費用 移転費用 補助金等","64728"
"経常費用 移転費用 社会保障給付","26133"
"経常費用 移転費用 その他","1473"
"経常収益","13982"
"経常収益 使用料及び手数料","10191"
"経常収益 その他","3791"
"純経常行政コスト","-180474"
"臨時損失","26"
"臨時損失 災害復旧事業費","-"
"臨時損失 資産除売却損","26"
"臨時損失 損失補償等引当金繰入額","-"
"臨時損失 その他","-"
"臨時利益","0"
"臨時利益 資産売却益","0"
"臨時利益 その他","-"
"純行政コスト","-180500"

"全体会計財務書類（行政コスト計算書）(令和4年4月1日から令和5年3月31日)","Ver202303"
