番号,魚種,総水銀検体数,総水銀検出検体数,総水銀検出量最大（ppm）,総水銀検出量最小（ppm）,総水銀検出量平均（ppm）,メチル水銀検体数,メチル水銀検出検体数,メチル水銀検出量最大（ppm）,メチル水銀検出量最小（ppm）,メチル水銀検出量平均（ppm）,漁獲地
1,アイナメ,5,5,0.31,0.04,0.14,1,1,0.24,0.24,0.24,北海道、青森
2,アオハタ,3,3,0.24,0.06,0.17,0,0,-,-,-,長崎、鹿児島
3,アオリイカ,1,1,0.17,0.17,0.17,0,0,-,-,-,千葉
4,アカアマダイ,4,4,0.38,0.14,0.21,1,1,0.29,0.29,0.29,秋田、山口、長崎
5,アカカマス,6,6,0.28,0.02,0.15,0,0,-,-,-,千葉、神奈川、富山、熊本、長崎
6,アカガレイ,2,2,0.14,0.13,0.14,0,0,-,-,-,北海道
7,アカシタビラメ,3,3,0.06,0.01,0.03,0,0,-,-,-,大阪、熊本、愛媛
8,アカハタ,1,1,0.14,0.14,0.14,0,0,-,-,-,東京
9,アカムツ,1,1,0.24,0.24,0.24,0,0,-,-,-,韓国
10,アトランティックサーモン,2,2,0.04,0.01,0.03,0,0,-,-,-,ノルウェー
11,アブラツノザメ,1,1,0.57,0.57,0.57,1,1,0.34,0.34,0.34,青森
12,アンコウ,2,2,0.13,0.05,0.09,0,0,-,-,-,山形、中国
13,イイダコ,1,0,ND,ND,-,0,0,-,-,-,佐賀
14,イサキ,7,7,0.27,0.09,0.16,0,0,-,-,-,東京、山口、愛媛、長崎、鹿児島
15,イシガレイ,2,2,0.07,0.07,0.07,0,0,-,-,-,青森、宮城
16,イシダイ,1,1,0.12,0.12,0.12,0,0,-,-,-,長崎
17,イズカサゴ,2,2,0.17,0.09,0.13,0,0,-,-,-,長崎
18,イトヨリダイ,4,4,0.18,0.08,0.13,0,0,-,-,-,宮城、長崎
19,イボダイ,1,1,0.01,0.01,0.01,0,0,-,-,-,神奈川
20,イワクジラ,1,1,0.07,0.07,0.07,0,0,-,-,-,北西太平洋
21,ウシエビ,2,2,0.01,0.01,0.01,0,0,-,-,-,インドネシア
22,ウスメバル,3,3,0.21,0.10,0.14,0,0,-,-,-,北海道、青森、秋田
23,ウマヅラハギ,2,2,0.02,0.02,0.02,0,0,-,-,-,青森、富山
24,ウメイロ,1,1,0.16,0.16,0.16,0,0,-,-,-,長崎
25,エゾイソアイナメ,1,1,0.07,0.07,0.07,0,0,-,-,-,青森
26,オキメダイ,1,1,0.12,0.12,0.12,0,0,-,-,-,ニュージーランド
27,カサゴ,1,1,0.15,0.15,0.15,0,0,-,-,-,鹿児島
28,カツオ,3,3,0.24,0.17,0.22,0,0,-,-,-,宮城、千葉
29,カラスガレイ,2,2,0.10,0.07,0.09,0,0,-,-,-,ロシア
30,カワハギ,1,1,0.03,0.03,0.03,0,0,-,-,-,大分
31,カンパチ,4,4,0.14,0.12,0.13,0,0,-,-,-,三重、香川、鹿児島
32,キス,1,1,0.02,0.02,0.02,0,0,-,-,-,千葉
33,キダイ,1,1,0.11,0.11,0.11,0,0,-,-,-,福岡
34,キチジ,1,1,0.08,0.08,0.08,0,0,-,-,-,北海道
35,キチヌ,1,1,0.14,0.14,0.14,0,0,-,-,-,鹿児島
35,キハダマグロ,1,1,0.15,0.15,0.15,0,0,-,-,-,宮城
36,キビナゴ,1,1,0.03,0.03,0.03,0,0,-,-,-,熊本
37,ギンダラ,3,3,0.55,0.17,0.33,1,1,0.51,0.51,0.51,アメリカ、カナダ
38,キンメダイ,9,9,1.42,0.52,0.79,9,9,0.62,0.17,0.43,千葉、東京、静岡、ニュージーランド
39,クロソイ,3,3,0.44,0.05,0.31,2,2,0.29,0.21,0.25,北海道、青森県
40,クロダイ,6,6,0.28,0.13,0.19,0,0,-,-,-,千葉、石川、三重、大阪、香川、愛媛
41,クロマグロ,3,3,0.69,0.41,0.57,3,3,0.45,0.13,0.28,青森、宮城、熊本
42,クロムツ,27,27,0.98,0.09,0.35,13,13,0.65,0.04,0.31,三重、長崎、鹿児島
43,ケンサキイカ,2,2,0.03,0.02,0.03,0,0,-,-,-,島根、福岡
44,コウイカ,2,2,0.06,0.02,0.04,0,0,-,-,-,兵庫、長崎
45,コショウダイ,2,2,0.58,0.09,0.34,1,1,0.35,0.35,0.35,三重、鹿児島
46,コノシロ,4,4,0.02,0.01,0.01,0,0,-,-,-,千葉、大阪、愛知
47,ゴマサバ,4,4,0.28,0.16,0.22,0,0,-,-,-,岩手、千葉、神奈川、静岡
48,サーモントラウト,1,0,ND,ND,-,0,0,-,-,-,チリ
49,サクラエビ,1,1,0.01,0.01,0.01,0,0,-,-,-,台湾
50,サバ,1,1,0.04,0.04,0.04,0,0,-,-,-,ノルウェー
51,サワラ,8,8,0.09,0.02,0.04,0,0,-,-,-,岩手、千葉、石川、山口、韓国、中国
52,サンマ,3,3,0.06,0.05,0.05,0,0,-,-,-,北海道、岩手
53,シイラ,1,1,0.15,0.15,0.15,0,0,-,-,-,神奈川
54,シバエビ,1,1,0.02,0.02,0.02,0,0,-,-,-,愛知
55,シマアジ,5,5,0.38,0.18,0.29,2,2,0.23,0.20,0.22,三重、愛媛、大分、長崎
56,シラウオ,1,1,0.02,0.02,0.02,0,0,-,-,-,中国
57,シロギス,2,2,0.05,0.03,0.04,0,0,-,-,-,千葉、兵庫
58,シログチ,2,2,0.05,0.02,0.04,0,0,-,-,-,千葉、兵庫
