番号,魚種,総水銀検体数,総水銀検出検体数,総水銀検出量最大（ppm）,総水銀検出量最小（ppm）,総水銀検出量平均（ppm）,メチル水銀検体数,メチル水銀検出検体数,メチル水銀検出量最大（ppm）,メチル水銀検出量最小（ppm）,メチル水銀検出量平均（ppm）,漁獲地
59,シロサバフグ,1,1,0.09,0.09,0.09,0,0,-,-,-,中国
60,スケトウダラ,2,2,0.11,0.04,0.08,0,0,-,-,-,北海道、青森
61,スズキ,25,25,0.50,0.06,0.19,15,15,0.35,0.06,0.17,千葉、東京、大阪、兵庫、愛媛
62,スルメイカ,4,4,0.05,0.02,0.04,0,0,-,-,-,北海道、青森、山形、三重
63,タカベ,1,1,0.20,0.20,0.20,0,0,-,-,-,東京
64,タチウオ,5,5,0.55,0.08,0.30,3,3,0.29,0.23,0.26,愛媛、鹿児島、ニュージーランド、パキスタン
65,チダイ,4,4,0.23,0.09,0.14,0,0,-,-,-,山形、愛媛、鹿児島
66,トビウオ,2,2,0.06,0.05,0.06,0,0,-,-,-,岩手、三重
67,ナガスクジラ,1,1,0.29,0.29,0.29,0,0,-,-,-,アイスランド
68,ニジカジカ,1,1,0.07,0.07,0.07,0,0,-,-,-,北海道
69,ニシン,2,2,0.03,0.03,0.03,0,0,-,-,-,北海道
70,ニベ,2,2,0.36,0.16,0.26,1,1,0.21,0.21,0.21,熊本、鹿児島
71,ハタハタ,1,1,0.02,0.02,0.02,0,0,-,-,-,北海道
72,ハチジョウアカムツ,1,1,0.29,0.29,0.29,0,0,-,-,-,東京
73,バナメイエビ,1,1,0.01,0.01,0.01,0,0,-,-,-,マレーシア
74,ババガレイ,2,2,0.16,0.05,0.11,0,0,-,-,-,北海道、青森
75,ハマダイ,3,3,0.17,0.11,0.14,0,0,-,-,-,東京、鹿児島
76,ハモ,5,5,0.46,0.09,0.20,1,1,0.28,0.28,0.28,山口、愛媛、熊本、中国、
77,ヒラスズキ,1,1,0.15,0.15,0.15,0,0,-,-,-,鹿児島
78,ヒラマサ,1,1,0.13,0.13,0.13,0,0,-,-,-,長崎
79,ヒラメ,6,6,0.12,0.05,0.07,0,0,-,-,-,北海道、茨城、韓国
80,ブリ,9,9,0.36,0.03,0.17,1,1,0.06,0.06,0.06,青森、千葉、福井、三重、香川、長崎
81,ヘダイ,1,1,0.14,0.14,0.14,0,0,-,-,-,鹿児島
82,ホウボウ,2,2,0.29,0.06,0.18,0,0,-,-,-,山口、愛媛
83,ホッケ,2,2,0.07,0.03,0.05,0,0,-,-,-,北海道
84,ホッコクアカエビ,2,2,0.08,0.05,0.07,0,0,-,-,-,北海道
85,ボラ,2,0,ND,ND,-,0,0,-,-,-,大阪、兵庫
86,マアジ,9,9,0.14,0.01,0.05,0,0,-,-,-,神奈川、石川、兵庫、鳥取、長崎、宮崎
87,マアナゴ,1,1,0.06,0.06,0.06,0,0,-,-,-,韓国
88,マイワシ,7,7,0.03,0.01,0.02,0,0,-,-,-,北海道、千葉、石川、大阪、鳥取
89,マカジキ,2,2,1.19,1.06,1.13,2,2,0.70,0.64,0.67,北海道、千葉
90,マガレイ,2,2,0.06,0.04,0.05,0,0,-,-,-,北海道、宮城
91,マコガレイ,4,2,0.07,ND,0.05,0,0,-,-,-,青森、岩手、千葉
92,マゴチ,3,3,0.16,0.06,0.11,0,0,-,-,-,千葉、神奈川
93,マサバ,9,9,0.34,0.07,0.18,2,2,0.12,0.11,0.12,宮城、千葉、神奈川、富山、三重、大分
94,マダイ,8,8,0.57,0.13,0.32,3,3,0.29,0.17,0.23,三重、高知、愛媛、長崎
95,マダラ,2,2,0.31,0.18,0.25,1,1,0.28,0.28,0.28,北海道、青森
96,マトウダイ,3,3,0.20,0.04,0.14,0,0,-,-,-,茨城、鳥取、鹿児島
97,マナマコ,1,0,ND,ND,-,0,0,-,-,-,愛知
98,マホヤ,1,0,ND,ND,-,0,0,-,-,-,岩手
99,マルアジ,1,1,0.18,0.18,0.18,0,0,-,-,-,大分
100,ミズダコ,1,1,0.08,0.08,0.08,0,0,-,-,-,北海道
101,ミナミマグロ,2,2,1.87,0.90,1.39,2,2,0.85,0.52,0.69,南アフリカ共和国
102,ムツ,6,6,0.40,0.19,0.25,6,6,0.33,0.11,0.19,静岡
103,メカジキ,3,3,2.33,1.48,1.80,3,3,1.52,0.61,1.06,岩手、オーストラリア
104,メジナ,2,2,0.05,0.05,0.05,0,0,-,-,-,千葉
105,メダイ,4,4,0.43,0.15,0.25,1,1,0.25,0.25,0.25,東京、長崎
106,メバチマグロ,4,4,0.87,0.49,0.72,4,4,0.59,0.18,0.37,宮城、太平洋、オーストラリア、西経南
107,メバル,1,1,0.15,0.15,0.15,0,0,-,-,-,青森
108,メルルーサ,2,2,0.45,0.32,0.39,2,2,0.36,0.27,0.32,ニュージランド
109,メロ,1,1,0.25,0.25,0.25,0,0,-,-,-,アルゼンチン
110,モンゴウイカ,1,1,0.01,0.01,0.01,0,0,-,-,-,イラン
111,ヤリイカ,2,2,0.03,0.02,0.03,0,0,-,-,-,京都、鳥取
112,ユメカサゴ,20,20,0.64,0.20,0.40,14,14,0.58,0.11,0.34,長崎
113,ヨロイイタチウオ,1,1,0.26,0.26,0.26,0,0,-,-,-,長崎
114,ワニゴチ,1,1,0.11,0.11,0.11,0,0,-,-,-,兵庫
小計,,361,353,,,,95,95,,,,
