発生年月日,時刻,震央,深さ[km],M[Mj],震度
2016-04-14,20:58:19.4,東京都多摩東部,45,3.6,2
2016-05-16,21:23:02.0,茨城県南部,42,5.5,3
2016-05-24,01:42:58.2,千葉県北西部,69,4.2,2
2016-06-12,07:54:23.5,茨城県南部,40,4.8,2
2016-07-17,13:24:02.8,茨城県南部,42,5.0,3
2016-07-19,12:57:50.3,千葉県北東部,33,5.2,3
2016-07-20,07:25:33.0,茨城県南部,42,5.0,3
2016-07-27,23:47:17.0,茨城県北部,57,5.4,2
2016-08-19,21:07:41.9,茨城県沖,48,5.4,2
2016-09-07,13:28:50.0,茨城県南部,50,4.9,2
2016-09-13,19:12:27.1,埼玉県南部,77,4.9,3
2016-10-20,11:49:53.6,千葉県北東部,37,5.3,2
2016-11-21,06:59:25.2,千葉県東方沖,17,5.0,2
2016-11-22,05:59:46.8,福島県沖,25,7.4,3
2016-11-24,06:23:36.3,福島県沖,24,6.2,2
2016-12-26,04:52:41.8,茨城県南部,41,4.2,2
2016-12-28,21:38:49.0,茨城県北部,11,6.3,3
2017-01-05,00:43:59.1,福島県沖,56,5.3,2
2017-02-19,18:19:29.8,千葉県北東部,52,5.4,2
2017-02-28,16:49:02.0,福島県沖,52,5.7,2
2017-04-12,03:10:49.2,茨城県南部,54,4.6,2
