2016年度（月）,提供数件数,提供数位置図,提供数柱状図,提供数土質試験結果,提供先建設局,提供先水道局,提供先東京水道,提供先下水道局,提供先教育庁,提供先東京消防庁,提供先交通局,提供先区・市・町・村,提供先その他
4,11,43,413,519,2,5,1,3,0,0,0,0,0
5,7,25,209,209,2,2,3,0,0,0,0,0,0
6,7,8,156,171,1,4,0,2,0,0,0,0,0
7,9,12,188,255,3,3,1,2,0,0,0,0,0
8,11,15,170,854,1,7,1,2,0,0,0,0,0
9,7,6,82,350,2,4,0,1,0,0,0,0,0
10,10,35,244,459,6,1,0,0,0,2,0,1,0
11,7,6,94,383,3,2,1,1,0,0,0,0,0
12,7,11,237,743,4,3,0,0,0,0,0,0,0
1,6,8,113,327,3,2,1,0,0,0,0,0,0
2,3,3,26,80,2,0,0,0,0,0,0,0,1
3,20,20,137,53,8,2,10,0,0,0,0,0,0
合計,105,192,2069,4403,37,35,18,11,0,2,0,1,1
