名称,郵便番号,所在地,緯度,経度,座標系,電話番号
八王子市,192-8501,八王子市元本郷町　３－２４－１,35.66657,139.316075,JGD2011,042-626-3111
立川市,190-8666,立川市泉町　１１５６－９,35.7140031,139.4078319,JGD2011,042-523-2111
武蔵野市,180-8777,武蔵野市緑町　２－２－２８,35.7178369,139.5659378,JGD2011,0422-51-5131
三鷹市,181-8555,三鷹市野崎　１－１－１,35.68255956,139.5608228,JGD2011,0422-45-1151
青梅市,198-8701,青梅市東青梅　１－１１－１,35.7878569,139.2758353,JGD2011,0428-22-1111
府中市,183-8703,府中市宮西町　２－２４,35.6690708,139.4772781,JGD2011,042-364-4111
昭島市,196-8511,昭島市田中町　１－１７－１,35.7057553,139.3536094,JGD2011,042-544-5111
調布市,182-8511,調布市小島町　２－３５－１,35.6506283,139.5406825,JGD2011,042-481-7111
町田市,194-8520,町田市森野　２－２－２２,35.5465589,139.4385269,JGD2011,042-722-3111
小金井市,184-8504,小金井市本町　６－６－３,35.6994789,139.5029889,JGD2011,042-383-1111
小平市,187-8701,小平市小川町　２－１３３３,35.7284081,139.4779089,JGD2011,042-341-1211
日野市,191-8686,日野市神明　１－１２－１,35.6705042,139.3955122,JGD2011,042-585-1111
東村山市,189-8501,東村山市本町　１－２－３,35.7546244,139.4684836,JGD2011,042-393-5111
国分寺市,185-8501,国分寺市戸倉　１－６－１,35.7110208,139.4626078,JGD2011,042-325-0111
国立市,186-8501,国立市富士見台　２－４７－１,35.6839125,139.4413664,JGD2011,042-576-2111
福生市,197-8501,福生市本町　５,35.7384839,139.3268683,JGD2011,042-551-1511
狛江市,201-8585,狛江市和泉本町　１－１－５,35.6349142,139.5787353,JGD2011,03-3430-1111
東大和市,207-8585,東大和市中央　３－９３０,35.7447136,139.4270378,JGD2011,042-563-2111
清瀬市,204-8511,清瀬市中里　５－８４２,35.7860525,139.5263525,JGD2011,042-492-5111
東久留米市,203-8555,東久留米市本町　３－３－１,35.7579922,139.5296725,JGD2011,042-470-7777
武蔵村山市,208-8501,武蔵村山市本町　１－１－１,35.7549058,139.3874214,JGD2011,042-565-1111
多摩市,206-8666,多摩市関戸　６－１２－１,35.6377597,139.44689,JGD2011,042-375-8111
稲城市,206-8601,稲城市東長沼　２１１１,35.63796,139.5042697,JGD2011,042-378-2111
羽村市,205-8601,羽村市緑ヶ丘　５－２－１,35.7677658,139.3105383,JGD2011,042-555-1111
あきる野市,197-0814,あきる野市二宮　３５０,35.7291144,139.2935111,JGD2011,042-558-1111
西東京市,188-8666,西東京市南町　５－６－１３,35.7254989,139.5381592,JGD2011,042-464-1311
