,,交    通    量    調    査    総    括    表,,,平    日,,,,,,,,,,,,,,,,,,,,,※ 2段書きは、上段12時間、下段24時間を示す。,,,,
路        線,,観    測    地    点,,歩行者類,自転車類,"二輪車類
動力付き",自  動  車  類,,,,,,"自動車類
合  計",昼間12時間大型車混入率,ピーク時間交通量,,昼 夜 率,混 雑 度,平成27年度,,交通量,朝夕旅行速度,,交 通 量 観 測 日,,調査機関,路        線,,"地点
番号",
路線,路    線    名    称,地    点    名    称,地点,,,,乗用車,"小  型
貨物車",バ    ス,"普  通
貨物車","小型車
計","大型車
計",,,自動車類,昼間12時間ピーク比率,,,地点番号,"交通量
合  計",伸び率,上り,下り,観  測  日,天候,,路線,路    線    名    称,,
番号,,,番号,,,,,,,,,,,（％）,（台／時）,（％）,,,,,(R3/H27年),(km／時),(km／時),,,,番号,,,
1010 ,東名高速道路,東京～東名川崎,20 ,      －,      －,439 ,"32,664 ","13,412 ",234 ,"12,660 ","46,076 ","12,894 ","58,970 ",21.9 ,"5,573 ",9.5 ,1.58 ,0.65 ,3020 ,"44,557 ",1.32 ,14.1 ,52.3 ,9月29日(水),晴,中日本高速,1010 ,東名高速道路,20 ,
,,,,      －,      －,602 ,"48,234 ","18,648 ",444 ,"25,968 ","66,882 ","26,412 ","93,294 ",28.3 ,,,,,,"81,809 ",1.14 ,,,,,,,,,
1101 ,中央自動車道富士吉田線,高速４号新宿線～新宿国立線高井戸IC,30 ,      －,      －,440 ,"27,091 ","11,423 ",319 ,"10,187 ","38,514 ","10,506 ","49,020 ",21.4 ,"4,471 ",9.1 ,1.46 ,0.80 ,10 ,"59,751 ",0.82 ,15.3 ,65.1 ,9月29日(水),雨,中日本高速,1101 ,中央自動車道富士吉田線,30 ,
,,,,      －,      －,642 ,"39,561 ","16,682 ",468 ,"14,876 ","56,243 ","15,344 ","71,587 ",21.4 ,,,,,,"93,073 ",0.77 ,,,,,,,,,
1101 ,中央自動車道富士吉田線,新宿国立線高井戸IC～中央自動車道富士吉田線,40 ,      －,      －,503 ,"31,131 ","13,129 ",372 ,"11,708 ","44,260 ","12,080 ","56,340 ",21.4 ,"5,145 ",9.1 ,1.46 ,0.94 ,20 ,"59,751 ",0.94 ,19.2 ,68.6 ,9月29日(水),雨,中日本高速,1101 ,中央自動車道富士吉田線,40 ,
,,,,      －,      －,733 ,"45,459 ","19,170 ",543 ,"17,092 ","64,629 ","17,635 ","82,264 ",21.4 ,,,,,,"93,073 ",0.88 ,,,,,,,,,
1101 ,中央自動車道富士吉田線,中央自動車道富士吉田線～中央自動車道富士吉田線,60 ,      －,      －,503 ,"31,131 ","13,129 ",372 ,"11,708 ","44,260 ","12,080 ","56,340 ",21.4 ,"5,145 ",9.1 ,1.46 ,0.94 ,50 ,"59,751 ",0.94 ,23.3 ,71.3 ,9月29日(水),雨,中日本高速,1101 ,中央自動車道富士吉田線,60 ,
,,,,      －,      －,733 ,"45,459 ","19,170 ",543 ,"17,092 ","64,629 ","17,635 ","82,264 ",21.4 ,,,,,,"93,073 ",0.88 ,,,,,,,,,
1110 ,東京外環自動車道,大泉JCT～埼玉県境（和光IC）,200 ,      －,      －,232 ,"25,637 ","12,288 ",84 ,"15,329 ","37,925 ","15,413 ","53,338 ",28.9 ,"5,148 ",9.7 ,1.39 ,0.65 ,200 ,"55,727 ",0.96 ,66.7 ,45.5 ,9月29日(水),晴,東日本高速,1110 ,東京外環自動車道,200 ,
,,,,      －,      －,294 ,"34,523 ","16,173 ",130 ,"23,539 ","50,696 ","23,669 ","74,365 ",31.8 ,,,,,,"79,231 ",0.94 ,,,,,,,,,
1110 ,東京外環自動車道,埼玉県境（三郷南IC）～埼玉県境（松戸IC）,210 ,      －,      －,146 ,"16,521 ","7,890 ",24 ,"16,110 ","24,411 ","16,134 ","40,545 ",39.8 ,"3,824 ",9.4 ,1.43 ,0.69 ,      －,      －,      －,67.8 ,32.8 ,9月29日(水),晴,東日本高速,1110 ,東京外環自動車道,210 ,
,,,,      －,      －,193 ,"23,004 ","10,918 ",30 ,"23,849 ","33,922 ","23,879 ","57,801 ",41.3 ,,,,,,      －,      －,,,,,,,,,
1800 ,関越自動車道,練馬IC～大泉JCT,220 ,      －,      －,220 ,"15,540 ","5,476 ",112 ,"4,394 ","21,016 ","4,506 ","25,522 ",17.7 ,"2,830 ",11.1 ,1.43 ,0.51 ,210 ,"23,869 ",1.07 ,23.0 ,72.0 ,9月29日(水),晴,東日本高速,1800 ,関越自動車道,220 ,
,,,,      －,      －,282 ,"21,698 ","7,634 ",168 ,"6,888 ","29,332 ","7,056 ","36,388 ",19.4 ,,,,,,"35,915 ",1.01 ,,,,,,,,,
1800 ,関越自動車道,大泉JCT～埼玉県境（所沢IC),230 ,      －,      －,418 ,"35,049 ","14,427 ",186 ,"17,818 ","49,476 ","18,004 ","67,480 ",26.7 ,"6,297 ",9.3 ,1.40 ,0.78 ,220 ,"68,696 ",0.98 ,58.7 ,80.2 ,9月29日(水),晴,東日本高速,1800 ,関越自動車道,230 ,
,,,,      －,      －,529 ,"47,559 ","19,278 ",284 ,"27,619 ","66,837 ","27,903 ","94,740 ",29.5 ,,,,,,"98,696 ",0.96 ,,,,,,,,,
1 ,高速都心環状線,江戸橋JCT～宝町出入口,5010 ,      －,      －,      －,      －,      －,      －,      －,"63,502 ","8,348 ","71,850 ",11.6 ,"6,416 ",8.9 ,1.40 ,0.71 ,5010 ,"72,022 ",1.00 ,16.5 ,51.7 ,10月中,－,首都高速,1 ,高速都心環状線,5010 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"88,358 ","12,427 ","100,785 ",12.3 ,,,,,,"107,423 ",0.94 ,,,,,,,,,
1 ,高速都心環状線,宝町出入口～京橋JCT,5020 ,      －,      －,      －,      －,      －,      －,      －,"59,740 ","5,386 ","65,126 ",8.3 ,"5,836 ",9.0 ,1.40 ,0.68 ,5020 ,"66,322 ",0.98 ,17.4 ,55.6 ,10月中,－,首都高速,1 ,高速都心環状線,5020 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"82,833 ","8,457 ","91,290 ",9.3 ,,,,,,"98,402 ",0.93 ,,,,,,,,,
1 ,高速都心環状線,京橋JCT～京橋出入口,5030 ,      －,      －,      －,      －,      －,      －,      －,"54,376 ","5,386 ","59,762 ",9.0 ,"5,428 ",9.1 ,1.40 ,0.91 ,5030 ,"62,468 ",0.96 ,18.0 ,47.6 ,10月中,－,首都高速,1 ,高速都心環状線,5030 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"75,323 ","8,457 ","83,780 ",10.1 ,,,,,,"92,279 ",0.91 ,,,,,,,,,
1 ,高速都心環状線,京橋出入口～新富町出口,5040 ,      －,      －,      －,      －,      －,      －,      －,"58,498 ","5,799 ","64,297 ",9.0 ,"5,810 ",9.0 ,1.39 ,0.97 ,5040 ,"67,265 ",0.96 ,19.8 ,45.5 ,10月中,－,首都高速,1 ,高速都心環状線,5040 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"80,571 ","9,024 ","89,595 ",10.1 ,,,,,,"98,658 ",0.91 ,,,,,,,,,
1 ,高速都心環状線,新富町出口～銀座出入口,5050 ,      －,      －,      －,      －,      －,      －,      －,"59,448 ","4,948 ","64,396 ",7.7 ,"5,808 ",9.0 ,1.39 ,0.90 ,5050 ,"67,186 ",0.96 ,21.9 ,46.3 ,10月中,－,首都高速,1 ,高速都心環状線,5050 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"81,686 ","7,899 ","89,585 ",8.8 ,,,,,,"98,170 ",0.91 ,,,,,,,,,
1 ,高速都心環状線,銀座出入口～汐留JCT,5060 ,      －,      －,      －,      －,      －,      －,      －,"55,993 ","8,425 ","64,418 ",13.1 ,"5,773 ",9.0 ,1.37 ,1.03 ,5060 ,"67,772 ",0.95 ,24.5 ,42.2 ,10月中,－,首都高速,1 ,高速都心環状線,5060 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"76,207 ","12,268 ","88,475 ",13.9 ,,,,,,"97,620 ",0.91 ,,,,,,,,,
1 ,高速都心環状線,汐留JCT～浜崎橋JCT,5070 ,      －,      －,      －,      －,      －,      －,      －,"71,959 ","9,267 ","81,226 ",11.4 ,"7,248 ",8.9 ,1.37 ,0.75 ,5070 ,"82,753 ",0.98 ,37.6 ,54.3 ,10月中,－,首都高速,1 ,高速都心環状線,5070 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"97,691 ","13,512 ","111,203 ",12.2 ,,,,,,"120,258 ",0.92 ,,,,,,,,,
1 ,高速都心環状線,高速都心環状線～汐留出入口,5080 ,      －,      －,      －,      －,      －,      －,      －,"9,701 ",462 ,"10,163 ",4.5 ,"1,503 ",14.8 ,1.24 ,0.30 ,5080 ,"8,401 ",1.21 ,42.2 ,58.6 ,10月中,－,首都高速,1 ,高速都心環状線,5080 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"11,902 ",707 ,"12,609 ",5.6 ,,,,,,"11,381 ",1.11 ,,,,,,,,,
