区分,広尾／23年度,広尾／24年度,広尾／25年度,広尾／26年度,広尾／27年度,大塚／23年度,大塚／24年度,大塚／25年度,大塚／26年度,大塚／27年度,駒込／23年度,駒込／24年度,駒込／25年度,駒込／26年度,駒込／27年度,墨東／23年度,墨東／24年度,墨東／25年度,墨東／26年度,墨東／27年度,多摩総合／23年度,多摩総合／24年度,多摩総合／25年度,多摩総合／26年度,多摩総合／27年度,神経／23年度,神経／24年度,神経／25年度,神経／26年度,神経／27年度,小児総合／23年度,小児総合／24年度,小児総合／25年度,小児総合／26年度,小児総合／27年度,松沢／23年度,松沢／24年度,松沢／25年度,松沢／26年度,松沢／27年度
病院事業収益(百万円),14668,14670,13550,13323,12243,12411,12841,13235,12988,13063,27350,27831,28580,29639,30352,25745,25954,26611,27136,28007,28615,29015,29815,30075,31406,6546,6783,6634,7003,6549,17807,17962,18470,19070,19236,11250,13534,12924,13309,13285
病院事業収益／医業収益(百万円),12833,12902,12787,12546,11421,10574,11203,11435,11260,11414,20192,21821,22547,23631,24195,22209,23053,23303,23841,24724,24480,25581,26234,26446,27711,3920,4093,4210,4388,4266,15496,15855,15923,16525,16835,10436,12667,12080,12436,12429
病院事業収益／医業収益／入院収益(百万円),8758,8782,8468,8203,7195,7325,7809,7659,7514,7471,11605,12803,13367,13596,13601,14120,14893,14735,14933,15346,14701,15509,15813,15752,16358,3451,3622,3720,3865,3762,8856,9379,9542,9442,10310,5147,5340,5890,5995,5841
病院事業収益／医業収益／外来収益(百万円),1949,1964,1993,2001,1829,2180,2351,2404,2305,2401,7359,7810,8133,9135,9720,4600,4807,4894,5152,5606,6472,6943,7205,7562,8325,87,83,74,66,65,1907,2108,2287,2329,2262,800,870,986,1032,1061
病院事業収益／医業収益／一般会計負担金(百万円),2024,2059,2227,2236,2300,952,913,1240,1313,1403,854,759,576,405,377,3241,3099,3399,3443,3467,2780,2564,2681,2664,2539,232,227,263,276,247,4641,4278,3994,4636,4138,4360,6313,5054,5252,5350
病院事業収益／医業外収益(百万円),1834,1768,762,777,823,1837,1638,1799,1728,1650,7158,6010,6033,6008,6157,3536,2901,3308,3296,3283,4135,3434,3581,3629,3696,2626,2690,2424,2615,2283,2311,2107,2546,2544,2401,814,867,844,873,856
病院事業収益／医業外収益／一般会計負担金(百万円),10,7,7,6,6,132,110,86,60,35,109,126,125,122,121,425,394,361,327,296,262,250,239,186,170,3,2,2,1,1,135,135,135,136,125,201,227,220,208,192
病院事業収益／医業外収益／一般会計補助金(百万円),1573,1495,532,516,528,1561,1399,1584,1514,1469,6711,5511,5527,5413,5486,2774,2107,2630,2625,2603,3115,2441,2620,2723,2831,2554,2618,2348,2533,2213,1930,1766,2179,2181,2025,263,335,335,300,284
病院事業収益／自己収益(百万円),11062,11109,10784,10563,9410,9766,10418,10325,10101,10155,19675,21435,22352,23699,24368,19305,20353,20221,20742,21641,22458,23760,24275,24502,25866,3755,3936,4020,4193,4089,11101,11782,12162,12117,12948,6426,6659,7314,7549,7458
病院事業収益／一般会計繰入金(百万円),3606,3561,2766,2759,2833,2645,2422,2910,2887,2908,7675,6396,6228,5940,5984,6440,5600,6390,6395,6366,6157,5255,5540,5573,5540,2790,2847,2613,2810,2460,6706,6180,6308,6952,6288,4824,6875,5609,5760,5827
病院事業費用(百万円),14571,14562,14200,14395,13959,12928,13224,13327,13252,13350,27920,27881,28342,29200,30668,24564,24608,24762,26113,27119,27346,27525,27943,29312,30219,6546,6782,6633,7002,6548,17804,17960,18466,19068,19230,11250,13542,12933,13314,13289
病院事業費用／医業費用(百万円),14216,14185,13839,13916,13489,12472,12779,12913,12768,12904,26896,26840,27289,27718,29139,23307,23377,23576,24777,25750,26194,26376,26772,27898,28747,6415,6532,6495,6778,6354,17202,17345,17829,18225,18421,10644,12799,12223,12517,12522
病院事業費用／医業費用／給与費(百万円),7569,7455,7339,7536,7482,7408,7479,7407,7464,7575,11242,11348,11368,11218,11900,11820,11846,11954,12763,12973,11796,11728,11686,12354,12496,3587,3826,3780,3907,3662,9323,9413,9416,9831,10058,6872,6882,6721,6978,7009
病院事業費用／医業費用／材料費(百万円),3179,3075,2970,2865,2527,1875,2085,2167,2023,1985,468,521,584,613,669,5324,5677,5642,5790,6468,381,344,334,380,380,807,905,917,1012,962,138,132,198,190,154,741,24,22,23,19
病院事業費用／医業費用／経費(百万円),2259,2418,2393,2369,2293,2411,2387,2473,2466,2458,13010,12531,12872,13357,14010,3923,3740,3976,3992,4154,11357,11663,12168,12577,13243,1230,1261,1285,1307,1139,5689,5756,6149,6123,6152,2439,4283,3780,3810,3787
病院事業費用／医業費用／減価償却費(百万円),1130,1102,1043,1040,1092,679,712,744,740,780,1949,2215,2204,2240,2270,2121,1977,1826,2068,1975,2532,2448,2412,2431,2433,459,473,437,471,504,1937,1935,1920,1966,1917,502,1529,1618,1620,1627
病院事業費用／医業外費用(百万円),355,377,361,479,471,456,445,415,484,446,1024,1041,1052,1482,1530,1258,1231,1186,1336,1369,1152,1149,1171,1414,1472,131,251,138,224,194,602,614,637,843,809,606,743,710,797,767
自己収支比率(%),75.9,76.3,75.9,73.4,67.4,75.5,78.8,77.5,76.2,76.1,70.5,76.9,78.9,81.2,79.5,78.6,82.7,81.7,79.4,79.8,82.1,86.3,86.9,83.6,85.6,57.4,58,60.6,59.9,62.4,62.4,65.6,65.9,63.5,67.3,57.1,49.2,56.6,56.7,56.1
経常収支比率(%),100.7,100.7,95.4,92.6,87.7,96,97.1,99.3,98,97.9,98,99.8,100.8,101.5,99,104.8,105.5,107.5,103.9,103.3,104.6,105.4,106.7,102.6,103.9,100,100,100,100,100,100,100,100,100,100,100,99.9,99.9,100,100
【参考】給与費比率(%),70,68.8,69.5,73.1,82,77,72.7,72.7,75,75.7,58.1,53.9,51.7,48.3,50,62.3,59.4,60.1,62.6,61,54.4,51,49.6,51.9,49.6,97.3,98.9,95.8,95,91.1,85.9,81.3,78.9,82.7,79.2,113.1,108.3,95.7,97.1,99
