産業分類階層,産業コード,産業細分類,事業所数,従業者数(送出者を除く）／総数(人),従業者数(送出者を除く）／うち男(人),送出者（人）,常用労働者／総数(人),常用労働者／うち男(人),個人業主及び無給家族従業者(人),現金給与総額(万円),原材料使用額等(万円),製造品出荷額等／総額(万円),製造品出荷額等／製造品出荷額(万円),製造品出荷額等／加工賃収入額(万円),製造品出荷額等／修理料収入額(万円),製造品出荷額等／くず・廃物出荷額(万円),製造品出荷額等／その他の収入額(万円),付加価値額(29人以下は粗付加価値額)(万円),粗付加価値額(万円),有形固定資産額（30人以上）／年初現在高(万円),有形固定資産額（30人以上）／取得額(万円),有形固定資産額（30人以上）／除却額(万円),有形固定資産額（30人以上）／減価償却額(万円)
0,0000,総数,9870,246895,173676,3366,249899,176407,362,118752499,420221692,757766947,664640269,41228934,2918701,99547,48879496,307429056,316117846,146110043,20983909,2281074,14260947
1,0900,食料品製造業,677,30124,14953,43,30124,14960,43,9798597,42511355,72647319,66189522,661190,-,23866,5772741,26702024,28077290,17310943,1629864,274325,1400073
2,0910,畜産食料品製造業,50,2391,1580,1,2392,1581,-,1008670,9739396,14319237,13901890,10637,-,541,406169,3941113,4267095,4432917,309213,19369,321825
3,0911,部分肉・冷凍肉製造業,17,614,397,-,614,397,-,243290,1862310,2403602,2012326,4491,-,-,386785,487876,502512,300050,17096,-,12921
3,0912,肉加工品製造業,14,376,243,-,376,243,-,105684,376666,630684,621076,-,-,-,9608,236789,236316,91433,14497,502,4754
3,0913,処理牛乳・乳飲料製造業,5,1068,799,1,1069,800,-,569623,7054847,10609451,10608910,-,-,541,-,3008126,3315439,4026549,276905,18865,301232
3,0914,乳製品製造業（処理牛乳、乳飲料を除く）,4,108,52,-,108,52,-,28034,168051,223193,215902,6111,-,-,1180,50199,51150,7049,715,2,1104
3,0919,その他の畜産食料品製造業,10,225,89,-,225,89,-,62039,277522,452307,443676,35,-,-,8596,158123,161678,7836,-,-,1814
2,0920,水産食料品製造業,67,1575,757,-,1561,748,14,554330,2943823,4166623,3569679,89613,-,-,507331,1052297,1141578,689123,127200,3132,88777
3,0921,水産缶詰・瓶詰製造業,1,5,3,-,5,3,-,x,x,x,x,x,-,-,-,x,x,-,-,-,-
3,0922,海藻加工業,20,252,102,-,252,102,-,81622,566048,789999,382852,7402,-,-,399745,204536,207393,2793,104,-,468
3,0923,水産練製品製造業,4,715,364,-,715,364,-,272999,1441317,1960870,1946960,-,-,-,13910,406812,490097,571561,120635,3060,82669
3,0924,塩干・塩蔵品製造業,12,92,26,-,78,17,14,7635,15492,33085,31266,1634,-,-,185,16289,16289,-,-,-,-
3,0925,冷凍水産物製造業,5,82,57,-,82,57,-,39966,243929,333792,237836,10479,-,-,85477,83206,83206,-,-,-,-
3,0926,冷凍水産食品製造業,4,72,37,-,72,37,-,x,x,x,x,x,-,-,-,x,x,x,x,x,x
3,0929,その他の水産食料品製造業,21,357,168,-,357,168,-,128989,551165,863572,826370,29188,-,-,8014,286742,289334,87770,104,66,5096
2,0930,野菜缶詰・果実缶詰・農産保存食料品製造業,21,462,206,-,462,206,-,130595,956926,1195668,445953,14301,-,-,735414,212807,221428,225045,5890,2785,8328
3,0931,野菜缶詰・果実缶詰・農産保存食料品製造業（野菜漬物を除く）,5,119,82,-,119,82,-,43166,632044,699389,103453,-,-,-,595936,57991,62413,107340,2316,154,4201
3,0932,野菜漬物製造業（缶詰、瓶詰、つぼ詰を除く）,16,343,124,-,343,124,-,87429,324882,496279,342500,14301,-,-,139478,154816,159015,117705,3574,2631,4127
2,0940,調味料製造業,25,872,455,2,873,456,1,335425,1589802,2519978,2210743,20094,-,-,289141,792547,871296,758427,77030,55,78865
3,0941,味そ製造業,3,33,21,-,32,20,1,x,x,x,x,x,-,-,x,x,x,-,-,-,-
3,0942,しょう油・食用アミノ酸製造業,1,20,7,-,20,7,-,x,x,x,x,-,-,-,x,x,x,-,-,-,-
3,0943,ソース製造業,7,342,175,-,342,175,-,115923,876810,1199901,1199901,-,-,-,-,242032,303461,530371,52059,22,61830
3,0949,その他の調味料製造業,14,477,252,2,479,254,-,201452,654487,1207637,987292,19858,-,-,200487,498238,515558,228056,24971,33,17035
2,0950,糖類製造業,4,121,94,4,125,98,-,85242,994513,1418688,1386022,32666,-,-,-,333162,398401,1110700,104659,10692,42071
3,0951,砂糖製造業（砂糖精製業を除く）,1,10,4,-,10,4,-,x,x,x,x,x,-,-,-,x,x,-,-,-,-
3,0952,砂糖精製業,3,111,90,4,115,94,-,x,x,x,x,x,-,-,-,x,x,x,x,x,x
2,0960,精穀・製粉業,18,380,302,5,385,307,-,170738,3615133,5477688,5289268,77473,-,22,110925,1700955,1733716,340632,29739,4891,37800
3,0961,精米・精麦業,8,139,110,5,144,115,-,53377,1958652,3501417,3426503,238,-,-,74676,1417391,1429257,26077,10139,-,7169
3,0962,小麦粉製造業,2,116,101,-,116,101,-,x,x,x,x,x,-,x,x,x,x,x,x,x,x
3,0969,その他の精穀・製粉業,8,125,91,-,125,91,-,x,x,x,x,x,-,x,x,x,x,x,x,x,x
2,0970,パン・菓子製造業,210,10110,5121,2,10097,5110,15,3589557,8676582,19165923,17726521,147403,-,-,1291999,9419134,9758984,4862911,415219,199597,370752
3,0971,パン製造業,43,5100,3065,2,5102,3067,-,2094427,5491192,12132375,11077263,90990,-,-,964122,5915297,6167625,2715714,259700,183524,252464
3,0972,生菓子製造業,85,2886,1154,-,2880,1148,6,809183,1351468,3576843,3432829,165,-,-,143849,1991550,2064360,1381651,108804,1309,68865
3,0973,ビスケット類・干菓子製造業,23,747,314,-,744,312,3,245648,413592,900336,885432,9552,-,-,5352,442282,451790,217891,13239,816,11717
3,0974,米菓製造業,28,449,193,-,444,189,5,143702,149559,424232,418872,1944,-,-,3416,255754,254614,159298,3255,-,1580
3,0979,その他のパン・菓子製造業,31,928,395,-,927,394,1,296597,1270771,2132137,1912125,44752,-,-,175260,814251,820595,388357,30221,13948,36126
2,0980,動植物油脂製造業,17,625,468,19,644,487,-,383104,2571695,3356857,2269545,165889,-,23264,898159,654276,731927,740219,56940,343,89523
3,0981,動植物油脂製造業（食用油脂加工業を除く）,14,185,155,-,185,155,-,102547,806435,957912,748987,165889,-,23264,19772,123970,140433,201049,5538,-,15320
3,0982,食用油脂加工業,3,440,313,19,459,332,-,280557,1765260,2398945,1520558,-,-,-,878387,530306,591494,539170,51402,343,74203
2,0990,その他の食料品製造業,265,13588,5970,10,13585,5967,13,3540936,11423485,21026657,19389901,103114,-,39,1533603,8595733,8952865,4150969,503974,33461,362132
3,0992,めん類製造業,73,1971,1078,1,1968,1075,4,542961,1044191,2233522,2164257,16489,-,-,52776,1068760,1103942,431388,43821,724,35051
3,0993,豆腐・油揚製造業,21,290,155,-,284,150,6,73680,174311,350053,296552,-,-,39,53462,148305,163891,128768,11127,98,6302
3,0994,あん類製造業,15,311,191,-,311,191,-,101470,369381,802830,790603,7893,-,-,4334,399214,401997,128502,6274,-,11087
3,0995,冷凍調理食品製造業,9,212,89,-,212,89,-,72907,141844,352087,339065,-,-,-,13022,194541,195649,59180,13367,32,1645
3,0996,そう（惣）菜製造業,34,2967,1401,2,2968,1402,1,850401,3055997,4917532,4819315,1349,-,-,96868,1677832,1728353,537277,81419,1446,47632
3,0997,すし・弁当・調理パン製造業,34,4739,1669,6,4745,1674,-,1080969,3745564,6778358,6761183,10192,-,-,6983,2716847,2840223,1316634,247203,24223,124114
3,0999,他に分類されない食料品製造業,79,3098,1387,1,3097,1386,2,818548,2892197,5592275,4218926,67191,-,-,1306158,2390234,2518810,1549220,100763,6938,136301
1,1000,飲料・たばこ・飼料製造業,37,1116,827,3,1117,828,2,545446,5342596,10393688,9923188,448796,x,-,x,2193940,2428796,4136463,183549,22600,240521
2,1010,清涼飲料製造業,10,505,403,-,504,402,1,262320,3466127,4779720,4333012,444264,-,-,2444,1099035,1205348,2913999,104319,10019,110209
3,1011,清涼飲料製造業,10,505,403,-,504,402,1,262320,3466127,4779720,4333012,444264,-,-,2444,1099035,1205348,2913999,104319,10019,110209
2,1020,酒類製造業,10,344,248,3,346,250,1,190157,1484561,4975511,4962003,313,-,-,13195,874155,992224,1144593,73982,12581,127070
3,1022,ビール類製造業,1,149,129,-,149,129,-,x,x,x,x,-,-,-,-,x,x,x,x,x,x
3,1023,清酒製造業,5,163,102,3,165,104,1,58800,55520,192377,192064,313,-,-,-,94467,100697,97125,13626,2,4811
3,1024,蒸留酒・混成酒製造業,4,32,17,-,32,17,-,x,x,x,x,-,-,-,x,x,x,x,x,x,x
2,1030,茶・コーヒー製造業（清涼飲料を除く）,8,95,58,-,95,58,-,30482,313041,441786,434436,4150,-,-,3200,111579,122053,77871,5248,-,3242
3,1031,製茶業,3,20,9,-,20,9,-,4030,23681,27578,20228,4150,-,-,3200,3608,3608,-,-,-,-
3,1032,コーヒー製造業,5,75,49,-,75,49,-,26452,289360,414208,414208,-,-,-,-,107971,118445,77871,5248,-,3242
2,1040,製氷業,2,46,46,-,46,46,-,x,x,x,x,-,x,-,x,x,x,-,-,-,-
3,1041,製氷業,2,46,46,-,46,46,-,x,x,x,x,-,x,-,x,x,x,-,-,-,-
2,1060,飼料・有機質肥料製造業,7,126,72,-,126,72,-,x,x,x,x,x,-,-,x,x,x,-,-,-,-
3,1061,配合飼料製造業,6,109,60,-,109,60,-,39437,60285,133672,132220,69,-,-,1383,68044,68044,-,-,-,-
3,1063,有機質肥料製造業,1,17,12,-,17,12,-,x,x,x,x,-,-,-,-,x,x,-,-,-,-
1,1100,繊維工業,363,4206,1642,5,4167,1613,44,1259741,2861151,5271178,3366344,1412090,1713,-,491031,2221811,2244512,574072,58771,1869,22414
2,1120,織物業,10,101,40,-,99,39,2,26924,79418,118676,105500,10082,-,-,3094,36350,36350,-,-,-,-
3,1121,綿・スフ織物業,2,10,3,-,10,3,-,x,x,x,x,x,-,-,-,x,x,-,-,-,-
3,1122,絹・人絹織物業,6,65,20,-,64,20,1,16608,39376,59513,48507,7912,-,-,3094,18646,18646,-,-,-,-
3,1124,麻織物業,1,9,9,-,8,8,1,x,x,x,-,x,-,-,-,x,x,-,-,-,-
3,1125,細幅織物業,1,17,8,-,17,8,-,x,x,x,x,-,-,-,-,x,x,-,-,-,-
2,1130,ニット生地製造業,7,64,39,-,64,39,-,20968,48059,86318,59617,25411,-,-,1290,35425,35425,-,-,-,-
3,1131,丸編ニット生地製造業,3,39,26,-,39,26,-,11838,31011,50171,32168,18003,-,-,-,17741,17741,-,-,-,-
3,1133,横編ニット生地製造業,4,25,13,-,25,13,-,9130,17048,36147,27449,7408,-,-,1290,17684,17684,-,-,-,-
2,1140,染色整理業,33,321,188,-,317,185,4,99844,74731,258322,44793,200842,-,-,12687,170243,170243,-,-,-,-
3,1142,絹・人絹織物機械染色業,1,4,3,-,4,3,-,x,x,x,-,x,-,-,x,x,x,-,-,-,-
3,1144,織物整理業,2,12,4,-,12,4,-,x,x,x,-,x,-,-,x,x,x,-,-,-,-
3,1145,織物手加工染色整理業,19,148,78,-,144,75,4,37963,29914,94962,38948,56004,-,-,10,60230,60230,-,-,-,-
3,1146,綿状繊維・糸染色整理業,3,35,20,-,35,20,-,8430,8175,27818,-,27804,-,-,14,18188,18188,-,-,-,-
3,1147,ニット・レース染色整理業,3,55,38,-,55,38,-,21148,19008,59033,5845,40643,-,-,12545,37311,37311,-,-,-,-
3,1148,繊維雑品染色整理業,5,67,45,-,67,45,-,28001,15969,67372,-,67344,-,-,28,47596,47596,-,-,-,-
2,1150,綱・網・レース・繊維粗製品製造業,10,132,71,-,128,69,4,41347,117885,193768,111662,28808,58,-,53240,67976,70382,52425,1222,-,2530
3,1151,綱製造業,2,17,6,-,17,6,-,x,x,x,x,x,x,-,-,x,x,-,-,-,-
3,1155,組ひも製造業,1,18,8,-,18,8,-,x,x,x,x,-,-,-,-,x,x,-,-,-,-
3,1157,フェルト・不織布製造業,3,61,39,-,61,39,-,24037,100212,139264,59609,26415,-,-,53240,33873,36279,52425,1222,-,2530
3,1158,上塗りした織物・防水した織物製造業,1,10,6,-,10,6,-,x,x,x,-,x,x,-,-,x,x,-,-,-,-
3,1159,その他の繊維粗製品製造業,3,26,12,-,22,10,4,5763,9134,27742,27692,50,-,-,-,17230,17230,-,-,-,-
2,1160,外衣・シャツ製造業（和式を除く）,139,1506,535,5,1496,527,15,448931,1482866,2516176,1716027,548852,1164,-,250133,957649,958751,89884,5781,133,2775
3,1161,織物製成人男子・少年服製造業（不織布製及びレース製を含む）,8,76,43,-,75,42,1,22267,65103,105056,74968,21700,-,-,8388,36994,36994,-,-,-,-
3,1162,織物製成人女子・少女服製造業（不織布製及びレース製を含む）,54,569,155,-,558,147,11,148021,199228,474550,166939,299723,123,-,7765,254880,255654,22023,1134,133,948
3,1163,織物製乳幼児服製造業（不織布製及びレース製を含む）,1,22,4,-,22,4,-,x,x,x,x,-,-,-,x,x,x,-,-,-,-
3,1164,織物製シャツ製造業（不織布製及びレース製を含み、下着を除く）,7,47,22,-,47,22,-,12867,14230,30221,21441,8780,-,-,-,14807,14807,-,-,-,-
3,1165,織物製事務用・作業用・衛生用・スポーツ用衣服・学校服製造業（不織布製及びレース製を含む）,10,100,47,2,102,49,-,39736,103522,184385,101547,2541,-,-,80297,74919,74919,-,-,-,-
3,1166,ニット製外衣製造業（アウターシャツ類、セーター類などを除く）,5,60,15,-,60,15,-,23012,243778,345762,100866,108060,-,-,136836,94801,94801,-,-,-,-
3,1167,ニット製アウターシャツ類製造業,40,499,190,3,499,189,3,160194,769740,1206750,1119355,86989,-,-,406,405149,405477,67861,4647,-,1827
3,1168,セーター類製造業,9,79,33,-,79,33,-,16410,43189,76271,68277,6953,1041,-,-,30632,30632,-,-,-,-
3,1169,その他の外衣・シャツ製造業,5,54,26,-,54,26,-,x,x,x,x,x,-,-,x,x,x,-,-,-,-
2,1170,下着類製造業,3,29,10,-,26,8,3,3134,1913,6757,4320,2437,-,-,-,4485,4485,-,-,-,-
3,1171,織物製下着製造業,2,16,10,-,13,8,3,x,x,x,x,x,-,-,-,x,x,-,-,-,-
3,1173,織物製・ニット製寝着類製造業,1,13,-,-,13,-,-,x,x,x,x,x,-,-,-,x,x,-,-,-,-
2,1180,和装製品・その他の衣服・繊維製身の回り品製造業,60,634,224,-,629,220,5,165378,314777,629936,379503,231098,302,-,19033,290612,295046,115852,37265,-,2995
3,1181,和装製品製造業（足袋を含む）,25,332,109,-,331,108,1,89312,164841,340249,154707,174342,-,-,11200,161600,165654,80805,37265,-,2515
3,1182,ネクタイ製造業,6,56,15,-,56,15,-,13511,35666,57653,40227,17426,-,-,-,20360,20360,-,-,-,-
3,1183,スカーフ・マフラー・ハンカチーフ製造業,3,19,4,-,19,4,-,x,x,x,x,x,-,-,-,x,x,-,-,-,-
3,1184,靴下製造業,3,18,13,-,18,13,-,3716,7120,16446,16446,-,-,-,-,8636,8636,-,-,-,-
3,1185,手袋製造業,1,4,3,-,3,2,1,x,x,x,x,-,-,-,-,x,x,-,-,-,-
3,1186,帽子製造業（帽体を含む）,11,119,54,-,119,54,-,39664,72536,145474,124359,15715,-,-,5400,67146,67526,35047,-,-,480
3,1189,他に分類されない衣服・繊維製身の回り品製造業,11,86,26,-,83,24,3,14295,32135,61924,41994,17195,302,-,2433,27582,27582,-,-,-,-
2,1190,その他の繊維製品製造業,101,1419,535,-,1408,526,11,453215,741502,1461225,944922,364560,189,-,151554,659071,673830,315911,14503,1736,14114
3,1191,寝具製造業,4,83,19,-,83,19,-,20929,21367,35476,26658,x,x,-,8112,11619,12946,x,x,-,x
3,1193,じゅうたん・その他の繊維製床敷物製造業,1,5,4,-,5,4,-,x,x,x,x,-,-,-,-,x,x,-,-,-,-
3,1194,帆布製品製造業,16,106,67,-,101,63,5,39300,45239,106574,101391,4435,-,-,748,56794,56794,-,-,-,-
3,1195,繊維製袋製造業,1,4,1,-,4,1,-,x,x,x,x,x,x,-,-,x,x,-,-,-,-
3,1196,刺しゅう業,31,273,89,-,271,87,2,79232,89232,237583,64627,170316,185,-,2455,137363,137363,-,-,-,-
3,1197,タオル製造業,1,159,42,-,159,42,-,x,x,x,x,-,-,-,-,x,x,x,x,-,x
3,1198,繊維製衛生材料製造業,6,193,80,-,193,80,-,76534,72215,137308,133308,4000,-,-,-,55539,60917,73421,10313,24,5153
