従業者規模,現金給与総額／平成30年／金額(万円),現金給与総額／平成30年／構成比(％),現金給与総額／平成30年／増減額(万円),現金給与総額／平成30年／増減率(％),現金給与総額／平成29年／金額(万円),現金給与総額／平成29年／構成比(％),原材料使用額等／平成30年／金額(万円),原材料使用額等／平成30年／構成比(％),原材料使用額等／平成30年／増減額(万円),原材料使用額等／平成30年／増減率(％),原材料使用額等／平成29年／金額(万円),原材料使用額等／平成29年／構成比(％)
総数,118752499,100,3877998,3.4,114874501,100,420221692,100,9911411,2.4,410310281,100
4～9人,10113104,8.5,-464053,-4.4,10577157,9.2,16997133,4,-983679,-5.5,17980812,4.4
10～19人,13697061,11.5,-405360,-2.9,14102421,12.3,35953400,8.6,564116,1.6,35389284,8.6
20～29人,11555478,9.7,127743,1.1,11427735,9.9,31293015,7.4,2448892,8.5,28844123,7
30～49人,11092296,9.3,46299,0.4,11045997,9.6,29166323,6.9,-491902,-1.7,29658225,7.2
50～99人,13992472,11.8,-34074,-0.2,14026546,12.2,43476031,10.3,673573,1.6,42802458,10.4
100～199人,12662459,10.7,312784,2.5,12349675,10.8,41376768,9.8,-1657637,-3.9,43034405,10.5
200～299人,4901325,4.1,129660,2.7,4771665,4.2,19757521,4.7,2423938,14,17333583,4.2
300～499人,6423833,5.4,595590,10.2,5828243,5.1,23924466,5.7,3516642,17.2,20407824,5
500～999人,8093245,6.8,676772,9.1,7416473,6.5,31861681,7.6,4746423,17.5,27115258,6.6
1000人以上,26221226,22.1,2892637,12.4,23328589,20.3,146415354,34.8,-1328955,-0.9,147744309,36
,,,,,,,,,,,,
2019東京の工業　2019年工業統計調査報告（平成30年実績）,,,,,,,,,,,,
付表5　従業者規模別現金給与総額及び原材料使用額等（従業者４人以上）,,,,,,,,,,,,
