産業分類階層,産業コード,産業中分類,従業者規模階層,従業者規模コード,従業者規模,事業所数,敷地面積(m2),総用水量(m3／日),淡水水源別用水量／公共水道／工業用水道(m3／日),淡水水源別用水量／公共水道／上水道(m3／日),淡水水源別用水量／井戸水(m3／日),淡水水源別用水量／その他の淡水(m3／日),海水用水量(m3／日)
0,00,総数,0,00,総数,1384,10139810,111784,12359,33085,42471,23869,-
0,00,総数,1,01,30～49人,624,1274663,11200,435,9641,1006,118,-
0,00,総数,1,02,50～99人,452,1925827,37568,2696,7928,3385,23559,-
0,00,総数,1,03,100～199人,194,1810761,19188,3800,5742,9634,12,-
0,00,総数,1,04,200～299人,38,867200,7399,80,1634,5666,19,-
0,00,総数,1,05,300～499人,36,735314,9232,1865,3785,3577,5,-
0,00,総数,1,06,500～999人,22,771704,16366,2436,3628,10155,147,-
0,00,総数,1,07,1000人以上,18,2754341,10831,1047,727,9048,9,-
1,09,食料品製造業,0,00,総数,178,1043725,34484,3798,12783,17902,1,-
1,09,食料品製造業,1,01,30～49人,56,100646,3441,25,3123,293,-,-
1,09,食料品製造業,1,02,50～99人,57,195601,5162,1379,2530,1252,1,-
1,09,食料品製造業,1,03,100～199人,36,248530,6581,2116,1781,2684,-,-
1,09,食料品製造業,1,04,200～299人,6,112175,2875,-,367,2508,-,-
1,09,食料品製造業,1,05,300～499人,17,129897,5124,278,3145,1701,-,-
1,09,食料品製造業,1,06,500～999人,5,x,x,-,x,x,-,-
1,09,食料品製造業,1,07,1000人以上,1,x,x,-,-,x,-,-
1,10,飲料・たばこ・飼料製造業,0,00,総数,8,208321,9490,-,323,9167,-,-
1,10,飲料・たばこ・飼料製造業,1,01,30～49人,2,x,x,-,x,-,-,-
1,10,飲料・たばこ・飼料製造業,1,02,50～99人,3,14387,704,-,293,411,-,-
1,10,飲料・たばこ・飼料製造業,1,03,100～199人,2,x,x,-,x,x,-,-
1,10,飲料・たばこ・飼料製造業,1,04,200～299人,1,x,x,-,x,x,-,-
1,11,繊維工業,0,00,総数,21,41538,62,-,52,3,7,-
1,11,繊維工業,1,01,30～49人,14,16416,30,-,20,3,7,-
1,11,繊維工業,1,02,50～99人,5,x,x,-,x,-,-,-
1,11,繊維工業,1,03,100～199人,2,x,x,-,x,-,-,-
1,12,木材・木製品製造業（家具を除く）,0,00,総数,2,x,x,-,x,-,x,-
1,12,木材・木製品製造業（家具を除く）,1,01,30～49人,1,x,x,-,x,-,x,-
1,12,木材・木製品製造業（家具を除く）,1,02,50～99人,1,x,x,-,x,-,-,-
1,13,家具・装備品製造業,0,00,総数,16,84307,94,1,91,2,-,-
1,13,家具・装備品製造業,1,01,30～49人,9,18619,22,1,21,-,-,-
1,13,家具・装備品製造業,1,02,50～99人,5,x,x,-,x,x,-,-
1,13,家具・装備品製造業,1,03,100～199人,1,x,x,-,x,x,-,-
1,13,家具・装備品製造業,1,06,500～999人,1,x,x,-,x,-,-,-
1,14,パルプ・紙・紙加工品製造業,0,00,総数,34,261312,24302,40,703,90,23469,-
1,14,パルプ・紙・紙加工品製造業,1,01,30～49人,21,42305,482,-,460,22,-,-
1,14,パルプ・紙・紙加工品製造業,1,02,50～99人,9,167679,23672,-,155,48,23469,-
1,14,パルプ・紙・紙加工品製造業,1,03,100～199人,4,51328,148,40,88,20,-,-
1,15,印刷・同関連業,0,00,総数,283,891725,5043,476,4436,90,41,-
1,15,印刷・同関連業,1,01,30～49人,123,162144,1270,10,1255,-,5,-
1,15,印刷・同関連業,1,02,50～99人,105,277447,1270,193,1075,2,-,-
1,15,印刷・同関連業,1,03,100～199人,39,159206,1510,56,1447,7,-,-
1,15,印刷・同関連業,1,04,200～299人,6,26400,149,-,149,-,-,-
1,15,印刷・同関連業,1,05,300～499人,4,x,x,x,x,x,x,-
1,15,印刷・同関連業,1,06,500～999人,2,x,x,x,x,-,x,-
1,15,印刷・同関連業,1,07,1000人以上,4,127592,482,148,316,9,9,-
1,16,化学工業,0,00,総数,61,534800,6141,1914,3224,955,48,-
1,16,化学工業,1,01,30～49人,20,103162,976,80,378,518,-,-
1,16,化学工業,1,02,50～99人,24,102002,1314,685,459,122,48,-
1,16,化学工業,1,03,100～199人,9,89256,485,20,465,-,-,-
1,16,化学工業,1,04,200～299人,3,x,x,x,x,x,-,-
1,16,化学工業,1,05,300～499人,3,91746,567,74,198,295,-,-
1,16,化学工業,1,06,500～999人,1,x,x,x,x,-,-,-
1,16,化学工業,1,07,1000人以上,1,x,x,x,x,-,-,-
1,17,石油製品・石炭製品製造業,0,00,総数,2,x,x,-,x,-,-,-
1,17,石油製品・石炭製品製造業,1,01,30～49人,1,x,x,-,x,-,-,-
1,17,石油製品・石炭製品製造業,1,02,50～99人,1,x,x,-,x,-,-,-
1,18,プラスチック製品製造業（別掲を除く）,0,00,総数,41,156407,550,39,499,11,1,-
1,18,プラスチック製品製造業（別掲を除く）,1,01,30～49人,22,80249,323,35,288,-,-,-
1,18,プラスチック製品製造業（別掲を除く）,1,02,50～99人,16,53783,199,4,183,11,1,-
1,18,プラスチック製品製造業（別掲を除く）,1,03,100～199人,3,22375,28,-,28,-,-,-
1,19,ゴム製品製造業,0,00,総数,10,348506,278,50,168,60,-,-
1,19,ゴム製品製造業,1,01,30～49人,6,11541,83,50,33,-,-,-
1,19,ゴム製品製造業,1,02,50～99人,3,x,x,-,x,x,-,-
1,19,ゴム製品製造業,1,04,200～299人,1,x,x,-,-,x,-,-
1,20,なめし革・同製品・毛皮製造業,0,00,総数,19,17731,169,-,x,-,x,-
1,20,なめし革・同製品・毛皮製造業,1,01,30～49人,12,6800,25,-,25,-,-,-
1,20,なめし革・同製品・毛皮製造業,1,02,50～99人,4,6911,106,-,105,-,1,-
1,20,なめし革・同製品・毛皮製造業,1,03,100～199人,2,x,x,-,x,-,-,-
1,20,なめし革・同製品・毛皮製造業,1,06,500～999人,1,x,x,-,x,-,x,-
1,21,窯業・土石製品製造業,0,00,総数,19,296348,2142,228,947,967,-,-
1,21,窯業・土石製品製造業,1,01,30～49人,9,40847,364,14,287,63,-,-
1,21,窯業・土石製品製造業,1,02,50～99人,5,140365,1033,100,443,490,-,-
1,21,窯業・土石製品製造業,1,03,100～199人,4,x,x,x,x,x,-,-
1,21,窯業・土石製品製造業,1,04,200～299人,1,x,x,x,x,x,-,-
1,22,鉄鋼業,0,00,総数,17,376770,3691,3163,497,30,1,-
1,22,鉄鋼業,1,01,30～49人,6,30145,66,-,65,-,1,-
1,22,鉄鋼業,1,02,50～99人,5,144039,289,208,81,-,-,-
1,22,鉄鋼業,1,03,100～199人,4,x,x,x,x,x,-,-
1,22,鉄鋼業,1,04,200～299人,1,x,x,-,x,x,-,-
1,22,鉄鋼業,1,05,300～499人,1,x,x,x,x,-,-,-
1,23,非鉄金属製造業,0,00,総数,18,145033,734,11,245,478,-,-
1,23,非鉄金属製造業,1,01,30～49人,8,47922,112,11,91,10,-,-
1,23,非鉄金属製造業,1,02,50～99人,7,73670,526,-,58,468,-,-
1,23,非鉄金属製造業,1,03,100～199人,2,x,x,-,x,-,-,-
1,23,非鉄金属製造業,1,05,300～499人,1,x,x,-,x,-,-,-
1,24,金属製品製造業,0,00,総数,91,251401,3114,150,2265,694,5,-
