産業分類階層,産業コード,産業中分類,事業所数,従業者数（送出者を除く）(人),送出者(人),個人業主及び無給家族従業者／実数(人),個人業主及び無給家族従業者／構成比(％),常用労働者数（送出者を含む）／常用雇用者／正社員・正職員等／実数(人),常用労働者数（送出者を含む）／常用雇用者／正社員・正職員等／構成比(％),常用労働者数（送出者を含む）／常用雇用者／パート・アルバイト等／実数(人),常用労働者数（送出者を含む）／常用雇用者／パート・アルバイト等／構成比(％),常用労働者数（送出者を含む）／出向・派遣受入者／実数(人),常用労働者数（送出者を含む）／出向・派遣受入者／構成比(％),臨時雇用者(人)
0,00,総数,9870,246895,3366,362,0.1,185162,74,51312,20.5,13425,5.4,1862
1,09,食料品,677,30124,43,43,0.1,12583,41.7,15939,52.8,1602,5.3,837
1,10,飲料・飼料等,37,1116,3,2,0.2,770,68.8,216,19.3,131,11.7,3
1,11,繊維工業,363,4206,5,44,1,2831,67.2,1328,31.5,8,0.2,26
1,12,木材・木製品,47,557,-,2,0.4,443,79.5,107,19.2,5,0.9,18
1,13,家具・装備品,201,3140,54,19,0.6,2624,82.2,355,11.1,196,6.1,25
1,14,紙・紙加工品,375,5636,36,22,0.4,4212,74.3,1374,24.2,64,1.1,57
1,15,印刷・同関連業,1699,41305,647,23,0.1,34560,82.4,5686,13.6,1683,4,194
1,16,化学工業,194,10802,151,2,0,8210,75,1536,14,1205,11,23
1,17,石油・石炭,16,314,-,-,-,265,84.4,31,9.9,18,5.7,2
1,18,プラスチック,576,7961,17,13,0.2,5628,70.5,2205,27.6,132,1.7,57
1,19,ゴム製品,184,2456,1,18,0.7,1770,72,612,24.9,57,2.3,9
1,20,皮革・同製品,219,3407,21,29,0.8,2365,69,1028,30,6,0.2,9
1,21,窯業・土石,187,3702,20,7,0.2,3056,82.1,470,12.6,189,5.1,62
1,22,鉄鋼業,102,2747,6,1,0,2424,88,230,8.4,98,3.6,3
1,23,非鉄金属,122,2522,1,3,0.1,2019,80,440,17.4,61,2.4,17
1,24,金属製品,1371,17523,55,47,0.3,14040,79.9,3280,18.7,211,1.2,120
1,25,はん用機械,323,7440,12,9,0.1,6160,82.7,1019,13.7,264,3.5,18
1,26,生産用機械,949,17071,166,19,0.1,14262,82.7,2308,13.4,648,3.8,50
1,27,業務用機械,495,12885,183,19,0.1,10439,79.9,2207,16.9,403,3.1,41
1,28,電子・デバイス,256,9743,465,10,0.1,7345,72,2043,20,810,7.9,52
1,29,電気機械,571,23863,499,5,0,18873,77.5,3333,13.7,2151,8.8,110
1,30,情報通信機械,105,7649,290,2,0,6438,81.1,695,8.8,804,10.1,49
1,31,輸送用機械,265,21340,617,3,0,16631,75.7,2763,12.6,2560,11.7,33
1,32,その他,536,9386,74,20,0.2,7214,76.3,2107,22.3,119,1.3,47
,,,,,,,,,,,,,,
2019東京の工業　2019年工業統計調査報告（平成30年実績）,,,,,,,,,,,,,,
付表10　産業中分類、従業者就業形態別従業者数（従業者４人以上）,,,,,,,,,,,,,,
注)構成比は、「従業者数（送出者を除く）」からではなく、「個人業主及び無給家族従業者」、「正社員・正職員等」、「パート・アルバイト等」及び「出向・派遣受入者」の合計から計算している。,,,,,,,,,,,,,,
産業分類階層（0：総数　1：産業中分類）,,,,,,,,,,,,,,
