産業分類階層,産業コード,産業中分類,在庫額／年初(万円),在庫額／年末／金額(万円),在庫額／年末／構成比(％),在庫額／年末／年初比(％),製造品在庫額／年初(万円),製造品在庫額／年末(万円),半製品・仕掛品在庫額／年初(万円),半製品・仕掛品在庫額／年末(万円)
0,00,総数,64450973,70023130,100,108.6,16709926,18520457,47741047,51502673
1,09,食料品,1000425,1025232,1.5,102.5,796960,826688,203465,198544
1,10,飲料・飼料等,163219,168884,0.2,103.5,116984,119003,46235,49881
1,11,繊維工業,114070,113783,0.2,99.7,73877,72331,40193,41452
1,12,木材・木製品,x,x,x,x,x,x,x,x
1,13,家具・装備品,2658335,3157790,4.5,118.8,173331,348917,2485004,2808873
1,14,紙・紙加工品,343995,338733,0.5,98.5,273972,280470,70023,58263
1,15,印刷・同関連業,1670973,1730628,2.5,103.6,481100,475358,1189873,1255270
1,16,化学工業,2474394,2836383,4.1,114.6,1144894,1346455,1329500,1489928
1,17,石油・石炭,x,x,x,x,x,x,x,x
1,18,プラスチック,215292,233983,0.3,108.7,130401,138413,84891,95570
1,19,ゴム製品,192921,151393,0.2,78.5,155384,108499,37537,42894
1,20,皮革・同製品,387341,400027,0.6,103.3,263266,268878,124075,131149
1,21,窯業・土石,478127,472650,0.7,98.9,352297,343778,125830,128872
1,22,鉄鋼業,1132430,1135534,1.6,100.3,422414,464961,710016,670573
1,23,非鉄金属,653806,669525,1,102.4,274710,405651,379096,263874
1,24,金属製品,689396,685481,1,99.4,370989,363656,318407,321825
1,25,はん用機械,1590021,1823014,2.6,114.7,229888,301191,1360133,1521823
1,26,生産用機械,3553605,4099893,5.9,115.4,767660,730942,2785945,3368951
1,27,業務用機械,3147044,3365105,4.8,106.9,1541853,1572328,1605191,1792777
1,28,電子・デバイス,1956530,2067800,3,105.7,761944,964897,1194586,1102903
1,29,電気機械,14095010,15765865,22.5,111.9,3009416,3065904,11085594,12699961
1,30,情報通信機械,4334213,7242760,10.3,167.1,588350,768089,3745863,6474671
1,31,輸送用機械,22404637,21328607,30.5,95.2,4108784,4864755,18295853,16463852
1,32,その他,1149428,1136379,1.6,98.9,640255,625953,509173,510426
,,,,,,,,,,
2019東京の工業　2019年工業統計調査報告（平成30年実績）,,,,,,,,,,
付表6　産業中分類別在庫額 （従業者30人以上）,,,,,,,,,,
産業分類階層（0：総数　1：産業中分類）,,,,,,,,,,
