産業分類階層,産業コード,産業中分類,付加価値率／平成30年(％),付加価値率／平成29年(％),付加価値率／増減(ポイント),原材料率／平成30年(％),原材料率／平成29年(％),原材料率／増減(ポイント),在庫率／平成30年(％),在庫率／平成29年(％),在庫率／増減(ポイント)
0,00,総数,40.3,42.2,-1.9,57.3,55.5,1.8,12.9,12.8,0.1
1,09,食料品,37.6,37.7,-0.1,60,60,0,1.9,1.8,0.1
1,10,飲料・飼料等,26.7,27.2,-0.5,70,68.8,1.2,2.3,1.5,0.8
1,11,繊維工業,40.4,44.4,-4,57.8,53.5,4.3,10.3,10.1,0.2
1,12,木材・木製品,x,x,x,x,x,x,x,x,x
1,13,家具・装備品,24.1,21.4,2.7,75,77.5,-2.5,36.8,34.9,1.9
1,14,紙・紙加工品,31.5,31.8,-0.3,65.7,65.2,0.5,5.5,5.5,0
1,15,印刷・同関連業,50.4,49.8,0.6,46.4,46.5,-0.1,3.6,3.4,0.2
1,16,化学工業,47.9,48.9,-1,47.9,47.8,0.1,9.1,8.3,0.8
1,17,石油・石炭,x,x,x,x,x,x,x,x,x
1,18,プラスチック,46.3,44.6,1.7,50.6,52.4,-1.8,6.7,6.9,-0.2
1,19,ゴム製品,20.8,28.1,-7.3,68.8,62.6,6.2,12.7,14.5,-1.8
1,20,皮革・同製品,34.5,46.4,-11.9,64.1,52.7,11.4,18.1,13.2,4.9
1,21,窯業・土石,45.3,47.7,-2.4,51.2,48.9,2.3,8.8,8.7,0.1
1,22,鉄鋼業,22.6,25.8,-3.2,74.8,71.3,3.5,8.6,9.3,-0.7
1,23,非鉄金属,22.3,28.4,-6.1,76.6,70,6.6,9.6,12.3,-2.7
1,24,金属製品,49.2,47.4,1.8,47.5,49.5,-2,7.5,8.7,-1.2
1,25,はん用機械,42.7,45,-2.3,55.1,53.5,1.6,15,13.7,1.3
1,26,生産用機械,42.2,38.8,3.4,55.1,58.4,-3.3,17.3,15.8,1.5
1,27,業務用機械,42.5,39.2,3.3,55.9,58.7,-2.8,16.1,16.4,-0.3
1,28,電子・デバイス,31.1,18.8,12.3,61.7,74.6,-12.9,6.2,6,0.2
1,29,電気機械,39.5,51.7,-12.2,58.9,47,11.9,26.3,25.8,0.5
1,30,情報通信機械,44.1,42.4,1.7,54.5,56.7,-2.2,16.1,19.8,-3.7
1,31,輸送用機械,40.6,46.5,-5.9,57.9,52.2,5.7,15.5,15,0.5
1,32,その他,38.8,37.8,1,59.2,60.3,-1.1,10.7,11.7,-1
,,,,,,,,,,,
2019東京の工業　2019年工業統計調査報告（平成30年実績）,,,,,,,,,,,
付表7　産業中分類別付加価値率、原材料率及び在庫率（従業者30人以上）,,,,,,,,,,,
産業分類階層（0：総数　1：産業中分類）,,,,,,,,,,,
