産業分類階層,産業コード,産業小分類,事業所数,生産額(万円),在庫額／製造品／年初(万円),在庫額／製造品／年末(万円),在庫額／半製品及び仕掛品／年初(万円),在庫額／半製品及び仕掛品／年末(万円),在庫額／原材料及び燃料／年初(万円),在庫額／原材料及び燃料／年末(万円),有形固定資産額／年初現在高／土地(万円),有形固定資産額／年初現在高／土地以外(万円),有形固定資産額／取得額／土地(万円),有形固定資産額／取得額／土地以外／計(万円),有形固定資産額／取得額／土地以外／建物等(万円),有形固定資産額／取得額／土地以外／機械等(万円),有形固定資産額／取得額／土地以外／備品等(万円),有形固定資産額／除却額／土地(万円),有形固定資産額／除却額／土地以外(万円),有形固定資産額／減価償却額(万円),有形固定資産額／建設仮勘定／増(万円),有形固定資産額／建設仮勘定／減(万円),有形固定資産額／建設仮勘定／差引増減(万円),有形固定資産額／投資総額(万円)
0,000,総数,1384,558347492,16709926,18520457,47741047,51502673,20589109,21323416,55226805,90883238,1855495,19128414,5358294,9638353,4131767,526381,1754693,14260947,11492167,12397598,-905431,20078478
1,090,食料品製造業,178,56399978,796960,826688,203465,198544,1314315,1379633,6129923,11181020,31980,1597884,495035,986882,115967,7810,266515,1400073,1188098,812170,375928,2005792
2,091,畜産食料品製造業,17,12965854,131233,131360,92919,88635,139069,136380,1729843,2703074,-,309213,79396,221257,8560,-,19369,321825,318126,268797,49329,358542
2,092,水産食料品製造業,5,2150274,15985,16204,4796,4073,219717,221725,71207,617916,132,127068,79001,43101,4966,-,3132,88777,3516,6674,-3158,124042
2,093,野菜缶詰・果実缶詰・農産保存食料品製造業,5,293199,4844,4453,1879,1977,30891,29996,94757,130288,-,5890,537,3713,1640,-,2785,8328,-,-,-,5890
2,094,調味料製造業,4,1635706,35288,35011,1692,2085,103742,107521,140093,618334,-,77030,25431,49816,1783,-,55,78865,39335,34076,5259,82289
2,095,糖類製造業,1,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,x,x,x,x,x,x
2,096,精穀・製粉業,3,3664333,91617,96953,4957,4660,245093,335557,52467,288165,-,29739,1906,24512,3321,1489,3402,37800,10635,9019,1616,31355
2,097,パン・菓子製造業,66,16165801,121539,151865,15781,16357,170258,169316,1760499,3102412,16994,398225,111848,244288,42089,4087,195510,370752,321433,92675,228758,643977
2,098,動植物油脂製造業,3,x,x,x,x,x,x,x,x,x,x,x,x,x,x,-,x,x,x,x,x,x
2,099,その他の食料品製造業,74,16369754,171384,175181,40101,41304,202104,200051,1346371,2804598,11653,492321,172677,296678,22966,2234,31227,362132,353674,266751,86923,590897
1,100,飲料・たばこ・飼料製造業,8,9891083,116984,119003,46235,49881,336685,365986,1701993,2434470,10003,173546,49155,115577,8814,-,22600,240521,194673,195751,-1078,182471
2,101,清涼飲料製造業,4,4692834,63541,66814,312,935,68575,69150,1474893,1439106,-,104319,25120,72657,6542,-,10019,110209,49304,49189,115,104434
2,102,酒類製造業,3,x,x,x,x,x,x,x,x,x,x,x,x,x,x,-,x,x,x,x,x,x
2,103,茶・コーヒー製造業（清涼飲料を除く）,1,x,x,x,-,-,x,x,x,x,-,x,x,x,-,-,-,x,-,-,-,x
1,110,繊維工業,21,1141763,73877,72331,40193,41452,51315,50200,302008,272064,3446,55325,43196,9934,2195,-,1869,22414,8498,8464,34,58805
2,115,綱・網・レース・繊維粗製品製造業,1,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,-,x,-,-,-,x
2,116,外衣・シャツ製造業（和式を除く）,5,408969,10985,11432,6666,7892,13473,14036,55711,34173,-,5781,1941,3840,-,-,133,2775,-,972,-972,4809
2,118,和装製品・その他の衣服・繊維製身の回り品製造業,5,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,-,x,-,-,-,x
2,119,その他の繊維製品製造業,10,498439,32393,31538,30798,31008,14240,12556,186296,129615,3446,11057,3932,5212,1913,-,1736,14114,8498,7492,1006,15509
1,120,木材・木製品製造業（家具を除く）,2,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,x,x,-,-,-,x
2,122,造作材・合板・建築用組立材料製造業,2,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,x,x,-,-,-,x
1,130,家具・装備品製造業,16,8296990,173331,348917,2485004,2808873,1188231,1368049,788532,635883,20072,119544,17254,29287,73003,2773,36014,78489,1994,2617,-623,138993
2,131,家具製造業,10,7700581,148252,322339,2469239,2793969,1125334,1303452,614415,573287,18812,108287,14910,22311,71066,2773,32081,71514,1994,2617,-623,126476
2,132,宗教用具製造業,1,x,x,x,x,x,x,x,x,x,-,-,-,-,-,-,-,x,-,-,-,-
2,139,その他の家具・装備品製造業,5,x,x,x,x,x,x,x,x,x,x,x,x,x,x,-,x,x,-,-,-,x
1,140,パルプ・紙・紙加工品製造業,34,6345610,273972,280470,70023,58263,154500,165882,726170,1661214,9840,201615,54626,136775,10214,-,11834,222105,x,x,x,x
2,142,紙製造業,1,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,x,x,x,x,x,x
2,143,加工紙製造業,3,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,x,x,x,x,x,x
