産業分類階層,産業コード,産業小分類,事業所数,従業者数(送出者を除く）／総数(人),従業者数(送出者を除く）／うち男(人),常用労働者／総数(人),常用労働者／うち男(人),個人業主及び無給家族従業者(人),現金給与総額(万円),原材料使用額等／総額(万円),原材料使用額等／うち原材料使用額(万円),原材料使用額等／うち燃料使用額(万円),原材料使用額等／うち電力使用額(万円),原材料使用額等／うち委託生産費(万円),製造品出荷額等／総額(万円),製造品出荷額等／製造品出荷額(万円),製造品出荷額等／加工賃収入額(万円),製造品出荷額等／修理料収入額(万円),製造品出荷額等／くず・廃物出荷額(万円),製造品出荷額等／その他の収入額(万円),付加価値額(万円),粗付加価値額(万円)
0,000,総数,1384,156203,112903,159144,115556,-,83386856,335978144,259018302,2083398,4528871,47965162,596569395,534675099,18100236,2045397,46974,41701689,236027446,244716236
1,090,食料品製造業,178,23988,11781,24025,11816,-,8000214,35859110,29315627,580394,713103,613833,61416165,56253749,121422,-,602,5040392,22457879,23833145
2,091,畜産食料品製造業,17,1961,1321,1962,1322,-,892297,9078448,8171823,141238,158164,12836,13366340,12963900,6111,-,541,395788,3670789,3996771
2,092,水産食料品製造業,5,806,398,806,398,-,292183,1916247,1488767,30334,47333,5141,2544523,2137466,13312,-,-,393745,501784,591065
2,093,野菜缶詰・果実缶詰・農産保存食料品製造業,5,280,120,280,120,-,87008,823373,148178,1848,4493,6905,1012395,292242,1250,-,-,718903,166770,175391
2,094,調味料製造業,4,548,276,549,277,-,217282,1216750,1048137,5223,12130,24761,1818650,1624253,11337,-,-,183060,485432,564181
2,095,糖類製造業,1,83,69,87,73,-,x,x,x,x,x,x,x,x,x,-,-,-,x,x
2,096,精穀・製粉業,3,162,141,162,141,-,81992,2150214,2058864,4074,46585,-,3672284,3659208,86,-,22,12968,1385692,1418453
2,097,パン・菓子製造業,66,8226,4302,8228,4304,-,3086338,7931973,6463676,144301,189245,32024,17330189,16107333,27566,-,-,1195290,8408613,8748463
2,098,動植物油脂製造業,3,469,340,488,359,-,x,x,x,x,x,x,x,x,x,-,-,x,x,x
2,099,その他の食料品製造業,74,11453,4814,11463,4822,-,2952480,9674235,7993209,149151,226159,369583,17627044,16335191,29563,-,39,1262251,7066610,7423742
1,100,飲料・たばこ・飼料製造業,8,738,574,741,577,-,417523,5131632,4579565,89538,126971,7220,9885418,9447326,438092,-,-,-,1960046,2194902
2,101,清涼飲料製造業,4,442,358,442,358,-,240948,3435127,3053971,64846,78675,7220,4688938,4251159,437779,-,-,-,1061213,1167526
2,102,酒類製造業,3,262,199,265,202,-,x,x,x,x,x,-,x,x,x,-,-,-,x,x
2,103,茶・コーヒー製造業（清涼飲料を除く）,1,34,17,34,17,-,x,x,x,x,x,-,x,x,-,-,-,-,x,x
1,110,繊維工業,21,1090,350,1090,350,-,348190,709835,382159,2491,7917,224964,1264898,860117,x,x,-,122848,495810,518511
2,115,綱・網・レース・繊維粗製品製造業,1,33,15,33,15,-,x,x,x,-,x,x,x,x,x,x,-,x,x,x
2,116,外衣・シャツ製造業（和式を除く）,5,229,55,229,55,-,73050,230002,118935,1601,1562,107736,407437,354225,53071,-,-,141,163967,165069
2,118,和装製品・その他の衣服・繊維製身の回り品製造業,5,182,60,182,60,-,x,x,x,x,x,x,x,x,x,-,-,x,x,x
2,119,その他の繊維製品製造業,10,646,220,646,220,-,213468,350803,187291,486,5469,74558,607215,368902,130182,-,-,108131,223594,238353
1,120,木材・木製品製造業（家具を除く）,2,118,101,118,101,-,x,x,x,x,x,-,x,x,-,-,-,x,x,x
2,122,造作材・合板・建築用組立材料製造業,2,118,101,118,101,-,x,x,x,x,x,-,x,x,-,-,-,x,x,x
1,130,家具・装備品製造業,16,1646,1213,1700,1266,-,962063,6822577,1888628,3899,12106,4585505,8315118,7623432,174103,66652,-,450931,2191999,1771033
2,131,家具製造業,10,1394,1022,1448,1075,-,839681,6542232,1836170,3234,8728,4378450,7673084,7027891,173873,43981,-,427339,1862404,1435101
2,132,宗教用具製造業,1,40,32,40,32,-,x,x,x,x,x,x,x,x,-,x,-,x,x,x
2,139,その他の家具・装備品製造業,5,212,159,212,159,-,x,x,x,x,x,x,x,x,x,x,-,x,x,x
1,140,パルプ・紙・紙加工品製造業,34,2057,1484,2078,1503,-,963522,5269856,3106428,133874,163715,343408,8215488,6251343,99529,-,5995,1858621,2529978,2757345
2,142,紙製造業,1,85,77,102,92,-,x,x,x,x,x,x,x,x,-,-,-,x,x,x
2,143,加工紙製造業,3,266,230,266,230,-,119024,484220,455629,13729,14862,-,892730,892730,-,-,-,-,348441,379429
2,144,紙製品製造業,11,609,416,609,416,-,x,x,x,x,x,x,x,x,x,-,-,x,x,x
2,145,紙製容器製造業,14,876,605,879,608,-,395006,2631317,1354556,10020,31726,96232,3894839,2533854,1330,-,233,1359422,1086391,1175438
2,149,その他のパルプ・紙・紙加工品製造業,5,221,156,222,157,-,93969,256420,90570,1008,3583,115791,452569,319776,79669,-,5762,47362,185927,196252
1,150,印刷・同関連業,283,26496,19416,27015,19837,-,13734747,22583316,7985274,124617,712787,11226368,50585872,40381049,9098179,x,x,1075032,24536596,26077746
2,151,印刷業,223,19191,14363,19662,14753,-,9773870,18974347,7368579,114511,603177,8763415,40601459,34081349,5492728,x,x,1007126,18868663,20129211
2,152,製版業,37,4720,3646,4768,3677,-,2875631,2489641,364217,3669,64948,1814724,6813793,6291712,450726,-,3487,67868,3803266,4042495
2,153,製本業、印刷物加工業,20,1170,799,1170,799,-,503546,580180,220069,6418,33028,221993,1477534,7988,1461639,-,7869,38,831314,836753
2,159,印刷関連サービス業,3,1415,608,1415,608,-,581700,539148,32409,19,11634,426236,1693086,-,1693086,-,-,-,1033353,1069287
1,160,化学工業,61,9004,5371,9134,5492,-,5374371,15957976,13413096,72249,214927,887686,33830808,31340548,392420,21636,-,2076204,15958409,16985962
2,162,無機化学工業製品製造業,5,237,192,237,192,-,118705,725528,654966,5770,9793,37433,933515,882907,-,21636,-,28972,184263,211549
2,163,有機化学工業製品製造業,3,210,162,210,162,-,123145,302325,262871,1167,3780,9814,557284,407279,122921,-,-,27084,198876,235730
2,164,油脂加工製品・石けん・合成洗剤・界面活性剤・塗料製造業,10,938,726,1056,836,-,556194,1664433,1463314,5002,27324,84652,2965676,2861656,1005,-,-,103015,1151824,1232002
2,165,医薬品製造業,18,2453,1333,2453,1333,-,1441529,3105977,2460823,42150,106297,269601,8474958,7992992,212829,-,-,269137,4609610,5128562
2,166,化粧品・歯磨・その他の化粧用調整品製造業,15,3989,2116,3999,2125,-,2411505,6024784,4792196,3137,23974,369209,15128793,13765628,28948,-,-,1334217,8412249,8549810
2,169,その他の化学工業,10,1177,842,1179,844,-,723293,4134929,3778926,15023,43759,116977,5770582,5430086,26717,-,-,313779,1401587,1628309
1,170,石油製品・石炭製品製造業,2,104,92,104,92,-,x,x,x,x,x,-,x,x,x,-,-,x,x,x
2,172,潤滑油・グリース製造業（石油精製業によらないもの）,2,104,92,104,92,-,x,x,x,x,x,-,x,x,x,-,-,x,x,x
1,180,プラスチック製品製造業（別掲を除く）,41,2221,1382,2232,1393,-,969928,2033519,1241639,15031,57440,345809,4135822,3465358,159544,3550,989,506381,1863397,1969797
2,181,プラスチック板・棒・管・継手・異形押出製品製造業,6,391,244,394,247,-,154130,265983,193425,3132,10990,12424,683547,583411,19500,-,-,80636,383833,389180
2,182,プラスチックフィルム・シート・床材・合成皮革製造業,3,239,155,239,155,-,102303,214144,137329,210,415,43754,406453,333771,-,3550,-,69132,191578,186100
2,183,工業用プラスチック製品製造業,12,610,406,618,414,-,305090,525956,271133,1348,15325,110289,1047902,725733,114124,-,-,208045,460143,490494
2,184,発泡・強化プラスチック製品製造業,3,226,153,226,153,-,x,x,x,x,x,x,x,x,-,-,-,x,x,x
2,185,プラスチック成形材料製造業（廃プラスチックを含む）,2,84,67,84,67,-,x,x,x,x,x,x,x,x,-,-,-,x,x,x
2,189,その他のプラスチック製品製造業,15,671,357,671,357,-,251042,649595,409158,2709,20965,138704,1314803,1240890,25920,-,989,47004,562263,617652
1,190,ゴム製品製造業,10,687,549,687,549,-,360210,883395,668296,15611,28743,86777,1328314,1236933,-,x,-,x,267416,442139
2,191,タイヤ・チューブ製造業,1,236,229,236,229,-,x,x,x,x,x,-,x,x,-,x,-,x,x,x
2,192,ゴム製・プラスチック製履物・同附属品製造業,1,32,17,32,17,-,x,x,x,x,x,x,x,x,-,-,-,-,x,x
2,193,ゴムベルト・ゴムホース・工業用ゴム製品製造業,6,300,230,300,230,-,x,x,325216,x,9909,67354,x,x,-,-,-,x,x,x
2,199,その他のゴム製品製造業,2,119,73,119,73,-,x,x,x,x,x,x,x,x,-,-,-,x,x,x
1,200,なめし革・同製品・毛皮製造業,19,1440,705,1450,713,-,487776,1520980,919335,7388,7792,287618,2421012,2209188,47717,-,-,164107,817318,837424
2,204,革製履物製造業,9,465,332,466,333,-,156792,535202,415117,962,5082,81302,999312,970084,-,-,-,29228,403935,431496
2,206,かばん製造業,5,716,252,725,259,-,x,x,x,x,x,x,x,x,x,-,-,x,x,x
2,207,袋物製造業,3,176,84,176,84,-,90596,254342,114753,1567,569,49193,430758,321500,-,-,-,109258,165244,163492
2,209,その他のなめし革製品製造業,2,83,37,83,37,-,x,x,x,x,x,x,x,x,x,-,-,x,x,x
1,210,窯業・土石製品製造業,19,1509,1215,1516,1220,-,836592,3124402,1780385,258460,167938,172771,6244918,5382269,124845,-,86,737718,2765023,2984183
2,211,ガラス・同製品製造業,10,993,795,999,799,-,625019,1609683,681136,123107,111851,169586,3785931,3057149,115920,-,-,612862,1935452,2098152
2,212,セメント・同製品製造業,6,303,255,304,256,-,104833,1065169,912295,25314,12034,3185,1694247,1658512,-,-,-,35735,564738,592039
2,219,その他の窯業・土石製品製造業,3,213,165,213,165,-,106740,449550,186954,110039,44053,-,764740,666608,8925,-,86,89121,264833,293992
1,220,鉄鋼業,17,1826,1661,1832,1666,-,1094329,10090223,8706896,251913,322649,470347,13589912,12839129,532868,-,-,217915,3052514,3390845
2,222,製鋼・製鋼圧延業,1,140,124,140,124,-,x,x,x,x,x,-,x,x,-,-,-,-,x,x
2,223,製鋼を行わない鋼材製造業（表面処理鋼材を除く）,7,1159,1054,1165,1059,-,x,x,x,x,x,295402,x,x,x,-,-,x,x,x
2,225,鉄素形材製造業,3,122,109,122,109,-,65374,231658,127506,11820,8797,71901,405983,382040,23943,-,-,-,156900,162097
2,229,その他の鉄鋼業,6,405,374,405,374,-,233685,1402157,1170480,6524,17383,103044,2006420,1443744,382549,-,-,180127,546671,560782
1,230,非鉄金属製造業,18,1408,1048,1409,1049,-,699853,5452209,4965562,36583,70394,223347,7201670,6928976,90768,-,1632,180294,1587702,1654294
2,232,非鉄金属第２次製錬・精製業（非鉄金属合金製造業を含む）,3,485,401,485,401,-,x,x,x,x,x,x,x,x,x,-,-,x,x,x
2,233,非鉄金属・同合金圧延業（抽伸、押出しを含む）,4,233,190,234,191,-,132321,1142015,1028358,7963,31253,9124,1581136,1425200,67810,-,-,88126,431025,413291
2,234,電線・ケーブル製造業,4,271,96,271,96,-,76666,329655,268945,321,2314,39497,478449,455797,3400,-,-,19252,135230,137654
2,235,非鉄金属素形材製造業,6,374,330,374,330,-,185644,451669,290993,12482,21382,116370,854731,827691,17619,-,1632,7789,333477,376508
2,239,その他の非鉄金属製造業,1,45,31,45,31,-,x,x,x,x,x,x,x,x,-,-,-,-,x,x
1,240,金属製品製造業,91,5118,3831,5158,3869,-,2448885,4603553,2516783,70511,164818,1409850,10065022,6455032,3075566,-,1688,532736,4770111,5090389
2,241,ブリキ缶・その他のめっき板等製品製造業,2,67,60,67,60,-,x,x,x,x,x,x,x,x,-,-,-,x,x,x
