従業者規模,事業所数／平成30年／実数,事業所数／平成30年／構成比(％),事業所数／平成30年／増減数,事業所数／平成30年／増減率(％),事業所数／平成29年／実数,事業所数／平成29年／構成比(％),従業者数(送出者を除く)／平成30年／実数(人),従業者数(送出者を除く)／平成30年／構成比(％),従業者数(送出者を除く)／平成30年／増減数(人),従業者数(送出者を除く)／平成30年／増減率(％),従業者数(送出者を除く)／平成29年／実数(人),従業者数(送出者を除く)／平成29年／構成比(％),製造品出荷額等／平成30年／金額(万円),製造品出荷額等／平成30年／構成比(％),製造品出荷額等／平成30年／増減額(万円),製造品出荷額等／平成30年／増減率(％),製造品出荷額等／平成29年／金額(万円),製造品出荷額等／平成29年／構成比(％),付加価値額注／平成30年／金額(万円),付加価値額注／平成30年／構成比(％),付加価値額注／平成30年／増減額(万円),付加価値額注／平成30年／増減率(％),付加価値額注／平成29年／金額(万円),付加価値額注／平成29年／構成比(％)
総数,9870,100,-452,-4.4,10322,100,246895,100,-4415,-1.8,251310,100,757766947,100,-5064819,-0.7,762831766,100,307429056,100,-14016644,-4.4,321445700,100
4～9人,4789,48.5,-335,-6.5,5124,49.6,29010,11.7,-1871,-6.1,30881,12.3,36989807,4.9,-1673471,-4.3,38663278,5.1,18502636,6,-656787,-3.4,19159423,6
10～19人,2592,26.3,-94,-3.5,2686,26,34823,14.1,-1429,-3.9,36252,14.4,66919464,8.8,947379,1.4,65972085,8.6,28733943,9.3,360356,1.3,28373587,8.8
20～29人,1105,11.2,-2,-0.2,1107,10.7,26859,10.9,43,0.2,26816,10.7,57288281,7.6,2083388,3.8,55204893,7.2,24165031,7.9,-338737,-1.4,24503768,7.6
30～49人,624,6.3,-18,-2.8,642,6.2,24179,9.8,-703,-2.8,24882,9.9,55671151,7.3,-198583,-0.4,55869734,7.3,23865346,7.8,233125,1,23632221,7.4
50～99人,452,4.6,-5,-1.1,457,4.4,30504,12.4,-249,-0.8,30753,12.2,77990386,10.3,528485,0.7,77461901,10.2,31079311,10.1,1102807,3.7,29976504,9.3
100～199人,194,2,3,1.6,191,1.9,25987,10.5,124,0.5,25863,10.3,76331755,10.1,-1920459,-2.5,78252214,10.3,29220058,9.5,407267,1.4,28812791,9
200～299人,38,0.4,-4,-9.5,42,0.4,9268,3.8,-822,-8.1,10090,4,29513150,3.9,955005,3.3,28558145,3.7,8383840,2.7,-1520750,-15.4,9904590,3.1
300～499人,36,0.4,3,9.1,33,0.3,13658,5.5,1042,8.3,12616,5,42605868,5.6,6303108,17.4,36302760,4.8,16794994,5.5,2520636,17.7,14274358,4.4
500～999人,22,0.2,2,10,20,0.2,14479,5.9,1775,14,12704,5.1,49030535,6.5,6758612,16,42271923,5.5,15612699,5.1,1580883,11.3,14031816,4.4
1000人以上,18,0.2,-2,-10,20,0.2,38128,15.4,-2325,-5.7,40453,16.1,265426550,35,-18848283,-6.6,284274833,37.3,111071198,36.1,-17705444,-13.7,128776642,40.1
（再掲）4～29人,8486,86,-431,-4.8,8917,86.4,90692,36.7,-3257,-3.5,93949,37.4,161197552,21.3,1357296,0.8,159840256,21,71401610,23.2,-635168,-0.9,72036778,22.4
（再掲）30～299人,1308,13.3,-24,-1.8,1332,12.9,89938,36.4,-1650,-1.8,91588,36.4,239506442,31.6,-635552,-0.3,240141994,31.5,92548555,30.1,222449,0.2,92326106,28.7
（再掲）300～999人,58,0.6,5,9.4,53,0.5,28137,11.4,2817,11.1,25320,10.1,91636403,12.1,13061720,16.6,78574683,10.3,32407693,10.5,4101519,14.5,28306174,8.8
（再掲）1000人以上,18,0.2,-2,-10,20,0.2,38128,15.4,-2325,-5.7,40453,16.1,265426550,35,-18848283,-6.6,284274833,37.3,111071198,36.1,-17705444,-13.7,128776642,40.1
,,,,,,,,,,,,,,,,,,,,,,,,
2019東京の工業　2019年工業統計調査報告（平成30年実績）,,,,,,,,,,,,,,,,,,,,,,,,
付表2　従業者規模別事業所数、従業者数、製造品出荷額等及び付加価値額（従業者４人以上）,,,,,,,,,,,,,,,,,,,,,,,,
注) 従業者数29人以下は粗付加価値額。,,,,,,,,,,,,,,,,,,,,,,,,
