産業分類階層,産業コード,産業中分類,事業所数／平成30年／実数,事業所数／平成30年／構成比(％),事業所数／平成30年／増減数,事業所数／平成30年／増減率(％),事業所数／平成29年／実数,事業所数／平成29年／構成比(％),従業者数(送出者を除く)／平成30年／実数(人),従業者数(送出者を除く)／平成30年／構成比(％),従業者数(送出者を除く)／平成30年／増減数(人),従業者数(送出者を除く)／平成30年／増減率(％),従業者数(送出者を除く)／平成29年／実数(人),従業者数(送出者を除く)／平成29年／構成比(％),製造品出荷額等／平成30年／金額(万円),製造品出荷額等／平成30年／構成比(％),製造品出荷額等／平成30年／増減額(万円),製造品出荷額等／平成30年／増減率(％),製造品出荷額等／平成29年／金額(万円),製造品出荷額等／平成29年／構成比(％),付加価値額注／平成30年／金額(万円),付加価値額注／平成30年／構成比(％),付加価値額注／平成30年／増減額(万円),付加価値額注／平成30年／増減率(％),付加価値額注／平成29年／金額(万円),付加価値額注／平成29年／構成比(％)
0,00,総数,9870,100,-452,-4.4,10322,100,246895,100,-4415,-1.8,251310,100,757766947,100,-5064819,-0.7,762831766,100,307429056,100,-14016644,-4.4,321445700,100
1,09,食料品,677,6.9,-26,-3.7,703,6.8,30124,12.2,-779,-2.5,30903,12.3,72647319,9.6,1026006,1.4,71621313,9.4,26702024,8.7,264271,1,26437753,8.2
1,10,飲料・飼料等,37,0.4,-5,-11.9,42,0.4,1116,0.5,-56,-4.8,1172,0.5,10393688,1.4,-443441,-4.1,10837129,1.4,2193940,0.7,-129486,-5.6,2323426,0.7
1,11,繊維工業,363,3.7,-17,-4.5,380,3.7,4206,1.7,-141,-3.2,4347,1.7,5271178,0.7,117053,2.3,5154125,0.7,2221811,0.7,-37205,-1.6,2259016,0.7
1,12,木材・木製品,47,0.5,-2,-4.1,49,0.5,557,0.2,-3,-0.5,560,0.2,1064152,0.1,-1789,-0.2,1065941,0.1,466037,0.2,-8586,-1.8,474623,0.1
1,13,家具・装備品,201,2,-20,-9,221,2.1,3140,1.3,-195,-5.8,3335,1.3,10590699,1.4,817247,8.4,9773452,1.3,3317507,1.1,359874,12.2,2957633,0.9
1,14,紙・紙加工品,375,3.8,-34,-8.3,409,4,5636,2.3,-240,-4.1,5876,2.3,13359419,1.8,-209986,-1.5,13569405,1.8,4754950,1.5,-230460,-4.6,4985410,1.6
1,15,印刷・同関連業,1699,17.2,-108,-6,1807,17.5,41305,16.7,-1464,-3.4,42769,17,74180593,9.8,-2915854,-3.8,77096447,10.1,35623518,11.6,-1314345,-3.6,36937863,11.5
1,16,化学工業,194,2,-3,-1.5,197,1.9,10802,4.4,35,0.3,10767,4.3,38386241,5.1,2289469,6.3,36096772,4.7,17854959,5.8,997063,5.9,16857896,5.2
1,17,石油・石炭,16,0.2,-1,-5.9,17,0.2,314,0.1,-28,-8.2,342,0.1,4189388,0.6,812745,24.1,3376643,0.4,936084,0.3,-306791,-24.7,1242875,0.4
1,18,プラスチック,576,5.8,-24,-4,600,5.8,7961,3.2,-116,-1.4,8077,3.2,12445962,1.6,7056,0.1,12438906,1.6,5959337,1.9,2871,0,5956466,1.9
1,19,ゴム製品,184,1.9,-10,-5.2,194,1.9,2456,1,0,0,2456,1,3476219,0.5,21009,0.6,3455210,0.5,1306675,0.4,-180250,-12.1,1486925,0.5
1,20,皮革・同製品,219,2.2,-17,-7.2,236,2.3,3407,1.4,-256,-7,3663,1.5,5977276,0.8,-1553801,-20.6,7531077,1,2050960,0.7,-950119,-31.7,3001079,0.9
1,21,窯業・土石,187,1.9,5,2.7,182,1.8,3702,1.5,-18,-0.5,3720,1.5,17989334,2.4,614637,3.5,17374697,2.3,6719369,2.2,203309,3.1,6516060,2
1,22,鉄鋼業,102,1,-6,-5.6,108,1,2747,1.1,-10,-0.4,2757,1.1,18015275,2.4,1363034,8.2,16652241,2.2,4018375,1.3,-7392,-0.2,4025767,1.3
1,23,非鉄金属,122,1.2,1,0.8,121,1.2,2522,1,19,0.8,2503,1,11336190,1.5,2263081,24.9,9073109,1.2,2633534,0.9,310224,13.4,2323310,0.7
1,24,金属製品,1371,13.9,-53,-3.7,1424,13.8,17523,7.1,-625,-3.4,18148,7.2,27245308,3.6,-303654,-1.1,27548962,3.6,13738741,4.5,161031,1.2,13577710,4.2
1,25,はん用機械,323,3.3,-12,-3.6,335,3.2,7440,3,-91,-1.2,7531,3,18033931,2.4,731920,4.2,17302011,2.3,8031886,2.6,28087,0.4,8003799,2.5
1,26,生産用機械,949,9.6,-19,-2,968,9.4,17071,6.9,82,0.5,16989,6.8,42463036,5.6,2326368,5.8,40136668,5.3,19178787,6.2,1770949,10.2,17407838,5.4
1,27,業務用機械,495,5,-19,-3.7,514,5,12885,5.2,-194,-1.5,13079,5.2,30475027,4,-1338322,-4.2,31813349,4.2,13556591,4.4,645745,5,12910846,4
1,28,電子・デバイス,256,2.6,-14,-5.2,270,2.6,9743,3.9,-381,-3.8,10124,4,37106269,4.9,-2619062,-6.6,39725331,5.2,12331618,4,3560477,40.6,8771141,2.7
1,29,電気機械,571,5.8,-15,-2.6,586,5.7,23863,9.7,440,1.9,23423,9.3,78407509,10.3,3927576,5.3,74479933,9.8,31910542,10.4,-6076008,-16,37986550,11.8
1,30,情報通信機械,105,1.1,-15,-12.5,120,1.2,7649,3.1,-408,-5.1,8057,3.2,55048649,7.3,-2220762,-3.9,57269411,7.5,25002035,8.1,434792,1.8,24567243,7.6
