"年月[西暦]","業態","施設名称","施設所在地","施設方書","施設電話番号","発生日","旧名称"
"202304","高度管理医療機器販売業・貸与業","株式会社アペックス・インターナショナル東京","東京都港区港南二丁目16番1号","品川イーストワンタワー","03-6712-8971","2023/4/1","フェイスメディカル株式会社"
"202304","高度管理医療機器販売業・貸与業","エム・シー・ヘルスケア株式会社　東京第１営業所","東京都港区港南二丁目16番1号","品川イーストワンタワー","03-6890-7111","2023/4/1","エム・シー・ヘルスケア株式会社　東京営業所"
"202304","高度管理医療機器販売業・貸与業","株式会社日立製作所　ヘルスケア事業本部・ヘルスケアイノベーション事業部　スマートセラピー本部・フロント戦略推進本部　ソリューションサービス部・企画本部　営業企画本部　営業企画部","東京都港区虎ノ門一丁目17番1号","虎ノ門ヒルズビジネスタワー","03-6284-3741","2023/4/1","株式会社日立製作所　ヘルスケア事業本部・ヘルスケアイノベーション事業部　スマートセラピー本部　ソリューションサービス部・企画本部　営業企画本部　営業企画部"
"202305","高度管理医療機器販売業・貸与業","日本電気株式会社　医療ソリューション統括部","東京都港区芝五丁目7番1号","NEC本社ビル","03-3798-6765","2023/4/1","日本電気株式会社　医療ソリューション事業部門"
"202305","高度管理医療機器販売業・貸与業","白金調剤薬局","東京都港区白金一丁目14番11号",,,"2023/5/1","THE　PHARMACY　SHIROKANE"
"202306","高度管理医療機器販売業・貸与業","キヤノンシステムアンドサポート株式会社港南事業所","東京都港区港南二丁目13番29号","キヤノン港南ビル","03-6719-9601","2023/5/31","キヤノンシステムアンドサポート株式会社港南営業所"
"202306","高度管理医療機器販売業・貸与業","エア・ウォーター・ミール株式会社","東京都港区虎ノ門三丁目18番19号","UD神谷町ビル","03-3578-7818","2023/4/1","ライフサプライ株式会社"
"202308","高度管理医療機器販売業・貸与業","トヨタモビリティ東京株式会社フリート領域首都圏法人営業部プレミアムモビリティ室官公庁グループ","東京都港区三田三丁目11番34号",,"03-5439-7114","2023/4/1","トヨタモビリティ東京株式会社フリート本部法人部モビリティカスタマー室官公庁Ｇ"
"202308","高度管理医療機器販売業・貸与業","リアライズ・イノベーションズ株式会社","東京都港区六本木二丁目4番5号","六本木Dスクエア","03-5549-1350","2023/7/1","リアライズ・モバイル・コミュニケーションズ株式会社"
"202310","高度管理医療機器販売業","ドラッグセイムス田町東口店","東京都港区芝浦三丁目13番2号","Yビル1階","03-3798-8021","2023/10/14","スマイル田町東口店"
"202312","高度管理医療機器販売業・貸与業","ＩＱＶＩＡサービシーズジャパン合同会社","東京都港区高輪四丁目10番18号","京急第一ビル",,"2023/11/1","ＩＱＶＩＡサービシーズジャパン株式会社"
"202401","高度管理医療機器販売業・貸与業","日本調剤　南青山薬局","東京都港区南青山一丁目1番1号","新青山ビルヂング西館1階","03-3796-5371","2024/1/1","三田薬局"
"202403","高度管理医療機器販売業・貸与業","株式会社シュガコン","東京都港区東新橋一丁目10番2号","東京ツインパークスR1001",,"2023/11/20","株式会社LaViena"
"202403","高度管理医療機器販売業","ドラッグセイムス麻布十番駅前店","東京都港区麻布十番二丁目20番16号","麻布十番ハイツ1階","03-3456-5739","2024/3/22","スマイル麻布店"

"高度管理医療機器販売・貸与業名称変更一覧(令和6年3月31日現在)","Ver202403",,,,,,
