規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,483093,464651,421696,42955,18442,121193,118861,112032,6829,2332
100～499人,420406,411557,378921,32636,8849,130757,130455,123728,6727,302
100人以上,446466,433629,396704,36925,12837,127562,126582,119821,6761,980
30～99人,412703,400963,378364,22599,11740,108814,107985,103809,4176,829
５～29人,344817,338619,322977,15642,6198,93167,92891,90079,2812,276
30人以上,434500,422052,390204,31848,12448,118957,118046,112471,5575,911
５人以上,410106,399358,371918,27440,10748,105267,104693,100585,4108,574
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２０年１０月分,,,,,,,,,,
第10表  規模、就業形態別労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
