規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,509842,460373,420333,40040,49469,112832,111527,104832,6695,1305
100～499人,475887,417555,383950,33605,58332,133511,133355,126075,7280,156
100人以上,489982,435329,399053,36276,54653,126734,126202,119114,7088,532
30～99人,406163,401661,380046,21615,4502,109972,109604,105184,4420,368
５～29人,355918,347670,332059,15611,8248,92399,92163,89569,2594,236
30人以上,460992,423684,392479,31205,37308,118973,118517,112664,5853,456
５人以上,432195,402852,375921,26931,29343,104732,104394,100287,4107,338
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２０年２月分,,,,,,,,,,
第10表  規模、就業形態別労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
