規模,産業,１人平均支給額（円）,対前年比（％）,支給事業所数割合（％）,支給労働者数割合（％）,平均支給月数（か月）,対前年支給月数差（か月）
30人以上,調査産業計,692729,-0.4,88.4,92.2,1.46,-0.01
30人以上,鉱業,1502276,11,100,100,2.69,-0.27
30人以上,建設業,586185,-2.3,93.4,95.3,1.26,-0.06
30人以上,製造業,883648,0.9,90.6,94.9,1.54,0.05
30人以上,電気・ガス・熱供給・水道業,985535,-2.8,100,100,2.15,0.03
30人以上,情報通信業,720167,-5.8,77.3,90.3,1.55,-0.12
30人以上,運輸業,514229,3.3,94.6,96.5,1.37,0.05
30人以上,卸売・小売業,668742,4.8,90.7,90.2,1.31,-0.01
30人以上,金融・保険業,1059152,-9.6,92.5,93.5,2.23,-0.12
30人以上,不動産業,653428,-3.5,88.3,91.6,1.64,-0.06
30人以上,"飲食店,宿泊業",267584,24.8,84.1,91.3,0.54,0.1
30人以上,"医療,福祉",545223,-0.1,90.7,97.1,1.77,-0.01
30人以上,"教育,学習支援業",842326,5.6,86.2,94.1,2.11,0.02
30人以上,複合サービス事業,627396,29.4,100,100,1.78,0.19
30人以上,サービス業（他に分類されないもの）,585919,-2.1,86.6,88.7,1.37,-0.04
30～99人,調査産業計,530424,7.4,86.6,86.5,1.37,0
30～99人,鉱業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
30～99人,建設業,439991,-4,93.8,97.1,1.17,-0.07
30～99人,製造業,583263,11.5,89.2,90.5,1.38,0.09
30～99人,電気・ガス・熱供給・水道業,762653,0.4,100,100,2.01,0.13
30～99人,情報通信業,485326,-8.6,66.7,68.6,1.39,-0.11
30～99人,運輸業,432714,10.4,93.7,95.5,1.39,0.09
30～99人,卸売・小売業,482843,25.4,89.9,84.1,1.17,-0.03
30～99人,金融・保険業,861893,-4,94.1,94.5,2.19,-0.07
30～99人,不動産業,612677,-7.4,86,89,1.63,-0.1
30～99人,"飲食店,宿泊業",117951,35.5,83.3,89.3,0.46,0.06
30～99人,"医療,福祉",593616,8.7,88.9,91.3,1.8,0.01
30～99人,"教育,学習支援業",869690,4.2,84.6,89.4,2.11,0.01
30～99人,複合サービス事業,-,-,-,-,-,-
30～99人,サービス業（他に分類されないもの）,502365,-0.8,84.7,83,1.32,-0.02
100～499人,調査産業計,653085,-3,94.9,95.8,1.7,-0.04
100～499人,鉱業,1793327,18.7,100,100,3.89,0.47
100～499人,建設業,559124,-2.6,92.7,94.7,1.59,0.05
100～499人,製造業,809876,-4.2,96.5,97.2,2.04,-0.05
100～499人,電気・ガス・熱供給・水道業,1006683,-2.3,100,100,2.19,-0.07
100～499人,情報通信業,661553,-5.9,100,100,1.71,-0.19
100～499人,運輸業,482873,2,96.9,98.2,1.3,-0.03
100～499人,卸売・小売業,646992,-1.7,93.4,94.6,1.69,-0.01
100～499人,金融・保険業,1060070,-1.6,86.7,91.4,2.36,-0.18
100～499人,不動産業,561415,-1,94.7,93.6,1.61,0.04
100～499人,"飲食店,宿泊業",695619,21.3,100,100,1.67,0.75
100～499人,"医療,福祉",465780,-5.3,100,100,1.62,-0.07
100～499人,"教育,学習支援業",929942,2.4,100,100,2.08,0.02
100～499人,複合サービス事業,532178,13.9,100,100,1.81,0.22
100～499人,サービス業（他に分類されないもの）,542081,-4.8,92.2,91.5,1.49,-0.09
500人以上,調査産業計,990375,-4.1,94.3,95.1,2.24,-0.12
500人以上,鉱業,-,-,-,-,-,-
500人以上,建設業,987321,3.4,84.4,92.4,2.3,0.23
500人以上,製造業,1182223,0.9,95.6,96.6,2.74,0.05
500人以上,電気・ガス・熱供給・水道業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
500人以上,情報通信業,978240,-2.8,97.1,94.8,2.26,-0.08
500人以上,運輸業,859704,-4.4,87.5,91.6,1.97,-0.09
500人以上,卸売・小売業,1164200,-0.8,93.5,95.4,2.56,-0.01
500人以上,金融・保険業,1233344,-16.9,93.2,94.4,2.54,-0.71
500人以上,不動産業,1130515,-3.8,90,92.8,2.53,-0.15
500人以上,"飲食店,宿泊業",386208,-7.6,86.7,88.2,1.36,-0.07
500人以上,"医療,福祉",602253,1.3,100,100,1.76,0.02
500人以上,"教育,学習支援業",713567,12.2,93.8,97.2,1.96,0.06
500人以上,複合サービス事業,833978,57.7,100,100,1.69,0.11
500人以上,サービス業（他に分類されないもの）,813627,-8.9,93.2,92.8,1.91,-0.1
,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２０年夏季,,,,,,,
第21表  賞与の産業別及び規模別支給状況,,,,,,,
