産業,５人以上／入職率(％),５人以上／離職率(％),30人以上／入職率(％),30人以上／離職率(％)
調査産業計,1.85,1.58,1.65,1.31
鉱業,0.51,0.51,0.51,0.51
建設業,0.84,1.01,0.43,0.92
製造業,0.68,1.09,0.67,1.05
電気・ガス・熱供給・水道業,9.37,0.24,9.83,0.24
情報通信業,0.77,1.02,0.66,0.83
運輸業,1.15,1.23,1.22,1.2
卸売・小売業,2.65,1.6,2.74,1.4
金融・保険業,1.01,0.74,1.02,0.76
不動産業,1.3,1.42,0.88,1.62
"飲食店,宿泊業",5.83,3.56,6.81,1.78
"医療,福祉",1.33,1.51,1.3,1.09
"教育,学習支援業",0.87,2.22,0.75,1.96
複合サービス事業,0.83,0.69,0.39,0.44
サービス業（他に分類されないもの）,1.61,1.78,1.51,1.79
,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２０年１１月分,,,,
第４表  産業別労働異動率,,,,
