規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,1316750,462352,421504,40848,854398,159371,129151,120980,8171,30220
100～499人,1088372,413082,380941,32141,675290,157952,132407,125067,7340,25545
100人以上,1183267,433554,397795,35759,749713,158447,131270,123640,7630,27177
30～99人,889568,400536,377143,23393,489032,136166,107198,102388,4810,28968
５～29人,649156,336938,321722,15216,312218,100522,92379,89459,2920,8143
30人以上,1078979,421830,390462,31368,657149,148238,120240,113902,6338,27998
５人以上,962499,398825,371835,26990,563674,123051,105534,101000,4534,17517
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２０年１２月分,,,,,,,,,,
第10表  規模、就業形態別労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
