規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,447883,511154,311279,431008,492095,299119,391568,39440,16875,19059,12160
100～499人,381996,442461,262078,374280,433528,256778,345080,29200,7716,8933,5300
100人以上,408750,470814,281381,397315,457701,273390,363957,33358,11435,13113,7991
30～99人,360523,420369,247557,350656,410402,237879,331220,19436,9867,9967,9678
５～29人,262661,330410,181904,258396,324934,179083,246943,11453,4265,5476,2821
30人以上,390962,452538,268466,380106,440565,259831,351883,28223,10856,11973,8635
５人以上,349457,418225,234298,340733,408077,227958,317935,22798,8724,10148,6340
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２０年１０月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
