規模,和暦年,西暦年,年平均・月・対前年同月比,調査産業計,調査産業計／対前年比・対前年同月比（％）,鉱業,建設業,製造業,電気・ガス・熱供給・水道業,情報通信業,運輸業,卸売・小売業,金融・保険業,不動産業,飲食店，宿泊業,医療，福祉,教育，学習支援業,複合サービス事業,サービス業（他に分類されないもの）
５人以上,平成15,2003,年平均,103.6,－,359.1,95.5,98,72.6,－,－,－,－,－,－,－,－,－,－
５人以上,平成16,2004,年平均,109.6,5.8,144.3,84,100.1,115.9,－,－,－,－,－,－,－,－,－,－
５人以上,平成17,2005,年平均,100,-8.8,100,100,100,100,100,100,100,100,100,100,100,100,100,100
５人以上,平成18,2006,年平均,104.6,4.6,105.5,114,102.4,106.2,96,110.2,113.1,119.3,102.8,98,96.1,94,94.6,100.4
５人以上,平成19,2007,年平均,104.4,-0.2,115.2,131.4,101.9,115.8,98.4,107.8,111.7,138.1,106.3,82.2,102.7,82.8,90.7,95.4
５人以上,平成19,2007,5月,103.5,0.9,135.4,121.1,100,111.6,96,104.1,109.9,149.5,103,88.9,107.7,84.8,77.3,93.3
５人以上,平成19,2007,6月,104.4,0,111.5,125.7,103.2,105,94,104.1,115.5,146.7,104,84.7,103.8,79.7,81.6,96.3
５人以上,平成19,2007,7月,103.5,-0.9,111.5,125.7,100.8,123.1,100,106.8,114.1,141,110.9,72.2,96.2,78.5,98.8,94.1
５人以上,平成19,2007,8月,99.1,0.9,103.8,129.4,94.4,112.4,98.5,101.4,104.2,132.4,97,84.7,94.2,58.2,79.8,89.6
５人以上,平成19,2007,9月,100,-0.8,104.6,133,98.4,114,94.5,99.5,107,126.7,99,73.6,94.2,81,116.6,90.4
５人以上,平成19,2007,10月,102.7,-3.3,102.3,134.9,99.2,121.5,97.5,106.8,108.5,134.3,103,75,100,83.5,92.6,94.8
５人以上,平成19,2007,11月,105.3,-4.1,121.5,133.9,103.2,118.2,102.5,107.7,109.9,141,110.9,76.4,101.9,89.9,83.4,97
５人以上,平成19,2007,12月,105.3,-2.5,123.8,135.8,98.4,102.5,100,110.9,115.5,139,105,81.9,96.2,77.2,116,95.6
５人以上,平成20,2008,1月,98.2,-1.8,102.3,121.1,86.3,112.4,96,103.6,101.4,133.3,104,79.2,117.3,73.4,58.9,92.6
５人以上,平成20,2008,2月,105.3,0.9,114.6,150.5,99.2,123.1,98,111.8,107,133.3,112.9,77.8,123.1,84.8,66.3,99.3
５人以上,平成20,2008,3月,110.6,-0.8,108.5,150.5,104,136.4,105.5,111.8,111.3,141.9,119.8,80.6,123.1,84.8,76.1,104.4
５人以上,平成20,2008,4月,110.6,-2.4,120,133.9,102.4,118.2,108,119.1,114.1,147.6,118.8,79.2,128.8,97.5,72.4,101.5
５人以上,平成20,2008,5月,101.8,-1.6,118.5,132.1,91.9,106.6,97,100.9,104.2,141.9,116.8,73.6,128.8,77.2,60.1,95.6
５人以上,平成20,2008,5月（対前年同月比（％））,－,－,-12.5,9.1,-8.1,-4.5,1,-3.1,-5.2,-5.1,13.4,-17.2,19.6,-9,-22.3,2.5
30人以上,平成15,2003,年平均,101.3,－,402.7,89.7,97.8,69.1,－,－,－,－,－,－,－,－,－,－
30人以上,平成16,2004,年平均,115.3,13.8,147,74.9,102.3,108.2,－,－,－,－,－,－,－,－,－,－
30人以上,平成17,2005,年平均,100,-13.3,100,100,100,100,100,100,100,100,100,100,100,100,100,100
