規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,18.7,157,140.7,16.3,15,89.9,83.7,6.2
100～499人,19.5,163.7,147.9,15.8,15.9,105.9,101.5,4.4
100人以上,19.2,160.9,144.9,16,15.5,100.2,95.2,5
30～99人,19.5,162,148.6,13.4,14.6,86.8,83.2,3.6
５～29人,20.2,164.4,154.3,10.1,13.8,83.3,80.3,3
30人以上,19.3,161.3,146.2,15.1,15.1,94.1,89.7,4.4
５人以上,19.5,162.1,148.4,13.7,14.4,88.4,84.8,3.6
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２０年１２月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
