規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,19.4,19.6,18.9,158.4,163.5,147.8,142.6,146.2,135.2,15.8,17.3,12.6
100～499人,19.6,20.1,18.9,160.9,168.7,145.5,147.1,153.2,135,13.8,15.5,10.5
100人以上,19.5,19.9,18.9,159.9,166.5,146.5,145.3,150.3,135.1,14.6,16.2,11.4
30～99人,19.7,20.2,18.8,156,165.2,138.6,144.8,151.9,131.3,11.2,13.3,7.3
５～29人,19.2,20.3,17.8,145.1,162.2,123.5,137.9,152.6,119.4,7.2,9.6,4.1
30人以上,19.6,20,18.8,158.5,166.1,143.5,145.1,150.9,133.7,13.4,15.2,9.8
５人以上,19.5,20.1,18.4,154.1,165,135.7,142.7,151.4,128.1,11.4,13.6,7.6
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２０年６月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
