規模,産業,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
５人以上,調査産業計,19.6,163,149.2,13.8,14.3,87.4,84.1,3.3
５人以上,鉱業,18.2,151.6,132.4,19.2,13.4,62.6,60.6,2
５人以上,建設業,20.8,176.2,158.5,17.7,16.1,110.8,107.4,3.4
５人以上,製造業,19.7,162.3,150.3,12,16.9,108,105.2,2.8
５人以上,電気・ガス・熱供給・水道業,18.3,153.4,139.4,14,15.6,118.5,115.1,3.4
５人以上,情報通信業,18.7,162.8,142.5,20.3,14.7,102.4,91.8,10.6
５人以上,運輸業,20.6,182.3,158.6,23.7,15.6,103.9,97,6.9
５人以上,卸売・小売業,20.2,164,154.9,9.1,15.4,93.6,90.8,2.8
５人以上,金融・保険業,17.9,146.6,132.3,14.3,15.5,102.1,98.4,3.7
５人以上,不動産業,20.1,165.7,154,11.7,15.4,90.6,88.4,2.2
５人以上,"飲食店,宿泊業",21,177.7,165.2,12.5,13.1,78.6,75.3,3.3
５人以上,"医療,福祉",19.6,154.5,145.7,8.8,13.3,69.6,67.1,2.5
５人以上,"教育,学習支援業",18.8,144.6,135.1,9.5,9,49.2,48.5,0.7
５人以上,複合サービス事業,17.4,147.4,136.8,10.6,15.8,96.4,90.8,5.6
５人以上,サービス業（他に分類されないもの）,19.7,164.6,149.4,15.2,15.4,98.7,94.8,3.9
30人以上,調査産業計,19.3,161.3,146.1,15.2,15,92.6,88.8,3.8
30人以上,鉱業,18.2,151.6,132.4,19.2,13.4,62.6,60.6,2
30人以上,建設業,20,173.2,153.1,20.1,15.9,115,112.2,2.8
30人以上,製造業,19.3,160.2,146.9,13.3,17.4,118,113.5,4.5
30人以上,電気・ガス・熱供給・水道業,18.2,152.8,138.2,14.6,15.4,117.4,113.8,3.6
30人以上,情報通信業,18.5,162.8,140.7,22.1,15.4,107.6,94.8,12.8
30人以上,運輸業,20.4,181.7,157.6,24.1,15,106.4,99.5,6.9
30人以上,卸売・小売業,19.6,159.9,150.1,9.8,17.4,106.7,103.4,3.3
30人以上,金融・保険業,17.7,145.3,130.7,14.6,15.6,104.3,100.4,3.9
30人以上,不動産業,19.5,162.6,147.9,14.7,16,82.8,81.5,1.3
30人以上,"飲食店,宿泊業",22.1,197.4,180,17.4,13.2,78.6,75.4,3.2
30人以上,"医療,福祉",19.4,153.2,143.7,9.5,12.8,68,65.8,2.2
30人以上,"教育,学習支援業",18.8,144,133.8,10.2,8.1,46.7,46.2,0.5
30人以上,複合サービス事業,17.1,147.1,136,11.1,16.3,97.8,90.8,7
30人以上,サービス業（他に分類されないもの）,19.4,163.6,147.3,16.3,15.7,98.1,94,4.1
,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２０年１１月分,,,,,,,,,
第６表  産業、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,
