規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,19.9,166.1,149.2,16.9,14.5,84,78.6,5.4
100～499人,20.2,169.3,154,15.3,16,106.6,102.4,4.2
100人以上,20.1,167.9,152,15.9,15.5,99.3,94.7,4.6
30～99人,20.5,169.1,156.2,12.9,15.9,94,90.6,3.4
５～29人,21.6,174.3,164.8,9.5,14.4,85.5,83.1,2.4
30人以上,20.2,168.4,153.5,14.9,15.7,96.9,92.8,4.1
５人以上,20.6,169.9,156.5,13.4,15,90.7,87.6,3.1
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２０年６月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
