規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,570961,665709,373621,429791,492316,299564,390418,39373,141170,173393,74057
100～499人,518895,606185,347402,375534,434589,259513,345768,29766,143361,171596,87889
100人以上,540123,630733,357846,397656,458396,275467,363973,33683,142467,172337,82379
30～99人,458716,545872,294411,351379,411078,238836,331999,19380,107337,134794,55575
５～29人,367071,472561,239499,259340,325158,179744,247739,11601,107731,147403,59755
30人以上,510402,600182,334051,380761,441361,261726,352300,28461,129641,158821,72325
５人以上,463804,563855,296932,341286,408284,229542,318306,22980,122518,155571,67390
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２０年７月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
