規模,産業,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
５人以上,調査産業計,20.5,169.8,155.7,14.1,14.6,88.4,85.1,3.3
５人以上,鉱業,21.4,168.2,159.5,8.7,13.2,53.3,53.3,0
５人以上,建設業,21.5,180.8,164,16.8,17,119.3,115.7,3.6
５人以上,製造業,20.1,166.5,153.8,12.7,16.9,107.5,105,2.5
５人以上,電気・ガス・熱供給・水道業,20.5,171.8,156.3,15.5,17.8,133.9,130.4,3.5
５人以上,情報通信業,20.1,173.5,152.9,20.6,17.9,123.5,111.5,12
５人以上,運輸業,20.6,183.9,159.8,24.1,15.1,100.7,94,6.7
５人以上,卸売・小売業,20.6,167.4,157.7,9.7,15.3,93.3,90.5,2.8
５人以上,金融・保険業,20.2,164.5,149.5,15,15.4,98.2,94.6,3.6
５人以上,不動産業,20.9,173.2,160.9,12.3,15.3,90.5,88.2,2.3
５人以上,"飲食店,宿泊業",20.5,168,157.2,10.8,13.5,80.5,77.1,3.4
５人以上,"医療,福祉",20.4,160.8,152.7,8.1,14.2,71.6,69.5,2.1
５人以上,"教育,学習支援業",21,160.7,152,8.7,9.3,51.2,50.3,0.9
５人以上,複合サービス事業,19.2,163.3,152.8,10.5,18.6,112.9,106.5,6.4
５人以上,サービス業（他に分類されないもの）,20.6,171.6,156,15.6,15.5,97.4,93.4,4
30人以上,調査産業計,20.4,170.3,154.8,15.5,15.4,94.9,91,3.9
30人以上,鉱業,21.4,168.2,159.5,8.7,13.2,53.3,53.3,0
30人以上,建設業,21.4,182.3,164,18.3,18.1,132.1,129,3.1
30人以上,製造業,20,166.9,152.6,14.3,17.6,119.2,114.7,4.5
30人以上,電気・ガス・熱供給・水道業,20.7,173.8,157.6,16.2,17.8,134.1,130.4,3.7
30人以上,情報通信業,20.1,174.8,152.7,22.1,19.6,135.8,121,14.8
30人以上,運輸業,20.5,183.2,158.9,24.3,14.9,105.3,98.7,6.6
30人以上,卸売・小売業,20.5,167.5,156.6,10.9,17.3,107.3,104.1,3.2
30人以上,金融・保険業,20.2,164.6,148.8,15.8,15,95.7,91.8,3.9
30人以上,不動産業,20.5,171.1,155.3,15.8,15.9,81.5,80.1,1.4
30人以上,"飲食店,宿泊業",20.7,180.4,165.5,14.9,13.5,80.4,76.8,3.6
30人以上,"医療,福祉",20.5,160.2,151.7,8.5,13.6,70.2,68.2,2
30人以上,"教育,学習支援業",21.4,162.7,153.4,9.3,8.8,51,50.4,0.6
30人以上,複合サービス事業,18.8,161.7,150.8,10.9,19.5,116.2,108.6,7.6
30人以上,サービス業（他に分類されないもの）,20.4,171.5,154.8,16.7,16,98.5,94.4,4.1
,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２０年１０月分,,,,,,,,,
第６表  産業、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,
