規模,産業,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
５人以上,調査産業計,18.6,19.2,17.5,147.9,159,129.2,136.2,145,121.4,11.7,14,7.8
５人以上,鉱業,18.1,18.5,16.2,150.1,154.4,130.3,131.2,135.3,112.6,18.9,19.1,17.7
５人以上,建設業,20.6,20.9,19.1,173.6,177.8,151.5,156.4,159,143,17.2,18.8,8.5
５人以上,製造業,19.4,19.7,18.6,157.2,163.3,140.6,146.1,150.8,133.2,11.1,12.5,7.4
５人以上,電気・ガス・熱供給・水道業,18.1,18.3,17.2,151.1,153.8,137.4,137.8,139.8,127.6,13.3,14,9.8
５人以上,情報通信業,18.5,18.7,17.7,159.6,163.7,144.9,139.8,142.8,129.2,19.8,20.9,15.7
５人以上,運輸業,20,20.3,18.5,173.9,178.8,142.9,152,155.4,130.7,21.9,23.4,12.2
５人以上,卸売・小売業,18.9,19.6,18,145.3,157.1,128.2,137.9,148.4,122.5,7.4,8.7,5.7
５人以上,金融・保険業,17.7,18,17.3,143.7,148.3,138,130.1,133.7,125.6,13.6,14.6,12.4
５人以上,不動産業,19.5,20.1,18.2,155.5,163.9,137.4,145.1,152,130.2,10.4,11.9,7.2
５人以上,"飲食店,宿泊業",16,17.6,14.5,114.5,138.6,91.2,107.9,128.7,87.7,6.6,9.9,3.5
５人以上,"医療,福祉",17.8,17.7,17.8,129.6,135.4,128,122.7,128.7,121,6.9,6.7,7
５人以上,"教育,学習支援業",16.4,17,15.8,121.7,125.8,116.7,114.3,117.6,110.3,7.4,8.2,6.4
５人以上,複合サービス事業,17.1,17.3,16.6,137.7,143.7,122.5,128.1,133.3,114.8,9.6,10.4,7.7
５人以上,サービス業（他に分類されないもの）,18.9,19.5,18.1,153.5,162.6,138.8,140.2,147,129.1,13.3,15.6,9.7
30人以上,調査産業計,18.7,19.1,17.8,151.7,159.9,135.7,138.1,144.4,125.8,13.6,15.5,9.9
30人以上,鉱業,18.1,18.5,16.2,150.1,154.4,130.3,131.2,135.3,112.6,18.9,19.1,17.7
30人以上,建設業,19.8,20,18.6,171.6,174.2,154,152,153.4,142.2,19.6,20.8,11.8
30人以上,製造業,19.1,19.3,18.5,157.8,161.4,145.9,145,147.7,136,12.8,13.7,9.9
30人以上,電気・ガス・熱供給・水道業,18,18.2,17.1,150.3,153,137.5,136.5,138.4,127.4,13.8,14.6,10.1
30人以上,情報通信業,18.3,18.6,17.4,159.8,163.7,145.1,138.2,141,127.5,21.6,22.7,17.6
30人以上,運輸業,19.9,20.1,18.1,174.2,178.4,144.3,151.8,154.8,130.5,22.4,23.6,13.8
30人以上,卸売・小売業,19.2,19.5,18.6,150.2,158,136.8,141.6,148.6,129.4,8.6,9.4,7.4
30人以上,金融・保険業,17.6,17.9,17.1,142.8,146.6,137.6,128.8,132.2,124.2,14,14.4,13.4
30人以上,不動産業,19.1,19.6,18,153.6,159.6,139,140.4,145.8,127.4,13.2,13.8,11.6
30人以上,"飲食店,宿泊業",17.7,19.5,15.1,138.2,162.7,104.5,127.8,149.3,98.4,10.4,13.4,6.1
30人以上,"医療,福祉",17.9,17.3,18.1,134.6,134.2,134.7,126.7,125.8,126.9,7.9,8.4,7.8
30人以上,"教育,学習支援業",16.9,17.4,16.1,126.5,130.1,121.2,118.1,121.4,113.1,8.4,8.7,8.1
30人以上,複合サービス事業,17,17.1,16.5,138.1,143,114.4,127.7,132,107,10.4,11,7.4
30人以上,サービス業（他に分類されないもの）,18.8,19.3,17.9,153.4,162.6,137.7,139,146,127.1,14.4,16.6,10.6
,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２０年１１月分,,,,,,,,,,,,,
第２表  産業、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,,
