規模,産業,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
５人以上,調査産業計,19.3,20,18.2,153.6,165,134.4,141.7,150.8,126.3,11.9,14.2,8.1
５人以上,鉱業,21.2,21.5,19.9,166.6,168.5,156.5,158,160.3,145.7,8.6,8.2,10.8
５人以上,建設業,21.3,21.7,19.3,178.3,182.9,154.7,162.1,165.2,146.2,16.2,17.7,8.5
５人以上,製造業,19.8,20.2,18.7,160.9,167.7,142.2,149.2,154.5,134.5,11.7,13.2,7.7
５人以上,電気・ガス・熱供給・水道業,20.3,20.5,19.4,169.2,171.9,155.5,154.6,156.6,144.1,14.6,15.3,11.4
５人以上,情報通信業,19.9,20.1,19.5,170.9,174.3,158.8,150.8,153,142.6,20.1,21.3,16.2
５人以上,運輸業,20,20.3,18.3,174.9,180,143.3,152.7,156.2,130.6,22.2,23.8,12.7
５人以上,卸売・小売業,19.2,20,18.1,148.1,160.5,130,140.2,151.4,123.8,7.9,9.1,6.2
５人以上,金融・保険業,19.9,20.5,19.1,160.2,167.1,151.3,145.9,151.8,138.3,14.3,15.3,13
５人以上,不動産業,20.2,20.9,18.7,162,171.7,141.4,151,159,134.1,11,12.7,7.3
５人以上,"飲食店,宿泊業",16,17.1,15,112,132.1,92.8,105.9,123,89.6,6.1,9.1,3.2
５人以上,"医療,福祉",18.6,18.6,18.6,134.5,140.8,132.8,128.2,134.9,126.3,6.3,5.9,6.5
５人以上,"教育,学習支援業",18.2,19,17.2,134.7,140.9,127,127.8,133.6,120.6,6.9,7.3,6.4
５人以上,複合サービス事業,19.1,19.1,19.1,153.4,158.5,140.6,143.7,148.3,132.2,9.7,10.2,8.4
５人以上,サービス業（他に分類されないもの）,19.7,20.2,18.9,159.1,168,144.5,145.4,152.2,134.3,13.7,15.8,10.2
30人以上,調査産業計,19.7,20.2,18.9,159.9,168,143.9,146,152.3,133.6,13.9,15.7,10.3
30人以上,鉱業,21.2,21.5,19.9,166.6,168.5,156.5,158,160.3,145.7,8.6,8.2,10.8
30人以上,建設業,21.3,21.5,19.8,180.9,183.6,161.9,163,164.9,149.9,17.9,18.7,12
30人以上,製造業,19.9,20.1,19,164,168.3,149.8,150.3,153.6,139.3,13.7,14.7,10.5
30人以上,電気・ガス・熱供給・水道業,20.5,20.7,19.4,171.1,174.2,155.9,155.7,158.1,144.1,15.4,16.1,11.8
30人以上,情報通信業,20,20.1,19.8,172.8,175.7,161.8,151.1,153,144,21.7,22.7,17.8
30人以上,運輸業,20,20.2,18,175.4,179.7,145.1,152.9,156,131.1,22.5,23.7,14
30人以上,卸売・小売業,19.9,20.3,19.3,156.8,164.6,143.1,147.3,154.3,135,9.5,10.3,8.1
30人以上,金融・保険業,19.9,20.4,19,160.4,166,152.6,145.3,150.7,137.9,15.1,15.3,14.7
30人以上,不動産業,20,20.4,18.8,160.6,167.8,143.8,146.5,152.6,132.1,14.1,15.2,11.7
30人以上,"飲食店,宿泊業",17,18.3,15.3,129.5,149.3,103.3,120.4,137.4,97.8,9.1,11.9,5.5
30人以上,"医療,福祉",19,18.3,19.3,140.6,139.3,141,133.6,132.2,134,7,7.1,7
30人以上,"教育,学習支援業",19.1,19.8,18.1,142.8,147.7,135.5,135,140,127.6,7.8,7.7,7.9
30人以上,複合サービス事業,19,19,18.8,153.4,158.5,128.8,143.1,147.7,121.1,10.3,10.8,7.7
30人以上,サービス業（他に分類されないもの）,19.7,20.2,19,160.1,168.7,145.3,145.4,152,134,14.7,16.7,11.3
,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２０年１０月分,,,,,,,,,,,,,
第２表  産業、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,,
