規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,18.4,18.5,18.1,150,154.7,140.1,134.7,138,127.8,15.3,16.7,12.3
100～499人,19,19.4,18.2,156.1,163.5,141.3,141.8,147.6,130.2,14.3,15.9,11.1
100人以上,18.7,19,18.2,153.6,159.8,140.8,138.9,143.6,129.2,14.7,16.2,11.6
30～99人,18.6,19.1,17.7,148.9,158.4,131,137.2,144.5,123.5,11.7,13.9,7.5
５～29人,18.1,19.2,16.8,137.5,154.1,117.7,129.8,143.9,112.9,7.7,10.2,4.8
30人以上,18.7,19,18,151.9,159.3,137,138.3,143.9,127,13.6,15.4,10
５人以上,18.5,19.1,17.5,147.2,157.8,129.5,135.5,143.9,121.5,11.7,13.9,8
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２０年１２月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
