規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,18.5,18.7,18,151.9,156.8,141.7,136.7,140,129.9,15.2,16.8,11.8
100～499人,18.9,19.3,18.2,154.8,162.3,140,141.5,147.3,129.9,13.3,15,10.1
100人以上,18.7,19,18.1,153.6,160.1,140.7,139.5,144.3,129.9,14.1,15.8,10.8
30～99人,18.6,19,17.9,148.7,157,132.8,137.5,143.8,125.6,11.2,13.2,7.2
５～29人,18.3,19.4,16.9,138.7,156.1,118,131.2,145.9,113.7,7.5,10.2,4.3
30人以上,18.7,19,18,151.8,158.9,137.7,138.8,144.1,128.3,13,14.8,9.4
５人以上,18.6,19.1,17.6,147.5,158.1,129.9,136.3,144.6,122.5,11.2,13.5,7.4
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２０年９月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
