規模,産業,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
５人以上,調査産業計,18.5,19.1,17.5,147.2,157.8,129.5,135.5,143.9,121.5,11.7,13.9,8
５人以上,鉱業,18.4,18.7,17,152.6,156.1,136.1,135.3,138.4,120.7,17.3,17.7,15.4
５人以上,建設業,20.2,20.5,18.7,169.7,173.6,149.5,153.9,156.5,140.4,15.8,17.1,9.1
５人以上,製造業,19,19.3,18.2,152.7,158,138,142.3,146.5,130.6,10.4,11.5,7.4
５人以上,電気・ガス・熱供給・水道業,17.7,17.9,16.8,146.6,149.3,133,134.7,136.7,124.8,11.9,12.6,8.2
５人以上,情報通信業,19,19.2,18.1,163.7,168.5,147.2,143.3,146.5,132.5,20.4,22,14.7
５人以上,運輸業,19.7,20,18,172.9,178.1,140.1,149.8,153.4,126.9,23.1,24.7,13.2
５人以上,卸売・小売業,18.6,19.1,17.8,142.2,152.9,126.7,134.9,144.6,120.9,7.3,8.3,5.8
５人以上,金融・保険業,19,19.6,18.4,153.3,159.3,145.6,139.9,145.1,133.2,13.4,14.2,12.4
５人以上,不動産業,19.3,19.9,18.1,155.2,163.3,137.4,144.5,151.2,129.9,10.7,12.1,7.5
５人以上,"飲食店,宿泊業",15.9,17.4,14.5,115,138.5,92.1,108.3,128.5,88.5,6.7,10,3.6
５人以上,"医療,福祉",18,18,18,131.5,137.7,129.7,123.4,130.4,121.4,8.1,7.3,8.3
５人以上,"教育,学習支援業",15.9,16.4,15.3,118.3,123.1,112.5,110.9,114.3,106.8,7.4,8.8,5.7
５人以上,複合サービス事業,19.7,20.2,18.3,161.7,171.4,137.4,146.9,154.9,126.9,14.8,16.5,10.5
５人以上,サービス業（他に分類されないもの）,18.7,19.1,18.2,151.7,159.5,139.2,138.8,144.4,129.8,12.9,15.1,9.4
30人以上,調査産業計,18.7,19,18,151.9,159.3,137,138.3,143.9,127,13.6,15.4,10
30人以上,鉱業,18.4,18.7,17,152.6,156.1,136.1,135.3,138.4,120.7,17.3,17.7,15.4
30人以上,建設業,19.8,20,18.5,169.3,171.8,152.6,151.6,153.2,140.8,17.7,18.6,11.8
30人以上,製造業,18.6,18.9,18,152.4,155.5,141.9,140.5,143,132.1,11.9,12.5,9.8
30人以上,電気・ガス・熱供給・水道業,17.8,18,16.8,147.2,150.3,132.7,134.9,137.2,124.3,12.3,13.1,8.4
30人以上,情報通信業,19,19.3,18.2,165.6,169.9,149,143.2,145.9,132.7,22.4,24,16.3
30人以上,運輸業,19.7,19.9,17.9,173.4,177.4,144.2,150.6,153.5,129.2,22.8,23.9,15
30人以上,卸売・小売業,18.9,19.1,18.7,147.8,154,137.3,139.5,145.2,129.7,8.3,8.8,7.6
30人以上,金融・保険業,18.9,19.5,18.2,152.7,158.3,145,138.7,144.1,131.3,14,14.2,13.7
30人以上,不動産業,18.9,19.3,18,152.4,158.3,138.1,139.2,144.3,126.7,13.2,14,11.4
30人以上,"飲食店,宿泊業",17.7,19.3,15.5,139.7,162.8,107.8,129.4,149.4,101.9,10.3,13.4,5.9
30人以上,"医療,福祉",18.2,17.5,18.4,136.7,135.2,137.2,127.2,126.1,127.5,9.5,9.1,9.7
30人以上,"教育,学習支援業",16.2,16.6,15.7,122.7,125.8,118,114.3,116.5,111,8.4,9.3,7
30人以上,複合サービス事業,20.3,20.5,19.1,167.9,175,134.5,151.2,156.9,124.4,16.7,18.1,10.1
30人以上,サービス業（他に分類されないもの）,18.7,18.9,18.2,152,159.7,139.1,137.9,143.4,128.7,14.1,16.3,10.4
,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２０年１２月分,,,,,,,,,,,,,
第２表  産業、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,,
