規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,18.8,18.9,18.6,153.7,157.9,144.8,138.6,141.3,132.8,15.1,16.6,12
100～499人,18.6,18.9,17.9,153,159.9,139.1,139.8,145.2,128.9,13.2,14.7,10.2
100人以上,18.7,18.9,18.2,153.3,159.1,141.5,139.3,143.6,130.5,14,15.5,11
30～99人,18.1,18.6,17.3,145.2,154.3,127.6,134,140.9,120.8,11.2,13.4,6.8
５～29人,17.7,18.7,16.4,134.5,151.1,114.3,126.9,140.8,110,7.6,10.3,4.3
30人以上,18.5,18.8,17.8,150.3,157.3,136.2,137.3,142.6,126.8,13,14.7,9.4
５人以上,18.2,18.8,17.3,145.2,155.6,127.6,134,142.1,120.2,11.2,13.5,7.4
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２０年８月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
