規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,20.2,20.4,19.6,164.7,170.4,152.9,148.3,152.3,140,16.4,18.1,12.9
100～499人,20.3,20.8,19.3,165.7,174.2,149.2,151.7,158.5,138.4,14,15.7,10.8
100人以上,20.2,20.6,19.4,165.3,172.6,150.6,150.3,155.9,139,15,16.7,11.6
30～99人,19.9,20.4,18.8,158.2,168.5,138.9,146.3,154.1,131.5,11.9,14.4,7.4
５～29人,19,20.1,17.6,143.7,161.1,122.7,135.9,150.6,118.2,7.8,10.5,4.5
30人以上,20.1,20.6,19.2,162.8,171.2,146.2,148.9,155.3,136.2,13.9,15.9,10
５人以上,19.7,20.4,18.6,156.5,168.3,137,144.6,154,129.1,11.9,14.3,7.9
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２０年７月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
