規模,和暦年,西暦年,年平均・月・対前年同月比,調査産業計,調査産業計／対前年比・対前年同月比（％）,鉱業,建設業,製造業,電気・ガス・熱供給・水道業,情報通信業,運輸業,卸売・小売業,金融・保険業,不動産業,飲食店，宿泊業,医療，福祉,教育，学習支援業,複合サービス事業,サービス業（他に分類されないもの）
５人以上,平成15,2003,年平均,103.6,－,359.1,95.5,98,72.6,－,－,－,－,－,－,－,－,－,－
５人以上,平成16,2004,年平均,109.6,5.8,144.3,84,100.1,115.9,－,－,－,－,－,－,－,－,－,－
５人以上,平成17,2005,年平均,100,-8.8,100,100,100,100,100,100,100,100,100,100,100,100,100,100
５人以上,平成18,2006,年平均,104.6,4.6,105.5,114,102.4,106.2,96,110.2,113.1,119.3,102.8,98,96.1,94,94.6,100.4
５人以上,平成19,2007,年平均,104.4,-0.2,115.2,131.4,101.9,115.8,98.4,107.8,111.7,138.1,106.3,82.2,102.7,82.8,90.7,95.4
５人以上,平成19,2007,9月,100,-0.8,104.6,133,98.4,114,94.5,99.5,107,126.7,99,73.6,94.2,81,116.6,90.4
５人以上,平成19,2007,10月,102.7,-3.3,102.3,134.9,99.2,121.5,97.5,106.8,108.5,134.3,103,75,100,83.5,92.6,94.8
５人以上,平成19,2007,11月,105.3,-4.1,121.5,133.9,103.2,118.2,102.5,107.7,109.9,141,110.9,76.4,101.9,89.9,83.4,97
５人以上,平成19,2007,12月,105.3,-2.5,123.8,135.8,98.4,102.5,100,110.9,115.5,139,105,81.9,96.2,77.2,116,95.6
５人以上,平成20,2008,1月,98.2,-1.8,102.3,121.1,86.3,112.4,96,103.6,101.4,133.3,104,79.2,117.3,73.4,58.9,92.6
５人以上,平成20,2008,2月,105.3,0.9,114.6,150.5,99.2,123.1,98,111.8,107,133.3,112.9,77.8,123.1,84.8,66.3,99.3
５人以上,平成20,2008,3月,110.6,-0.8,108.5,150.5,104,136.4,105.5,111.8,111.3,141.9,119.8,80.6,123.1,84.8,76.1,104.4
５人以上,平成20,2008,4月,110.6,-2.4,120,133.9,102.4,118.2,108,119.1,114.1,147.6,118.8,79.2,128.8,97.5,72.4,101.5
５人以上,平成20,2008,5月,101.8,-1.6,118.5,132.1,91.9,106.6,97,100.9,104.2,141.9,116.8,73.6,128.8,77.2,60.1,95.6
５人以上,平成20,2008,6月,100.9,-3.4,104.6,140.4,94.4,104.1,93.5,99.1,104.2,138.1,107.9,65.3,121.2,77.2,70.6,96.3
５人以上,平成20,2008,7月,105.3,1.7,107.7,136.7,97.6,117.4,96.5,105.5,107,138.1,111.9,84.7,123.1,102.5,72.4,100.7
５人以上,平成20,2008,8月,99.1,0,121.5,140.4,88.7,101.7,93.5,95.9,102.8,132.4,100,80.6,115.4,87.3,48.5,94.1
５人以上,平成20,2008,9月,99.1,-0.9,57.7,141.3,89.5,111.6,93,99.1,105.6,127.6,98,76.4,111.5,74.7,50.3,97
５人以上,平成20,2008,9月（対前年同月比（％））,－,－,-44.8,6.2,-9,-2.1,-1.6,-0.4,-1.3,0.7,-1,3.8,18.4,-7.8,-56.9,7.3
30人以上,平成15,2003,年平均,101.3,－,402.7,89.7,97.8,69.1,－,－,－,－,－,－,－,－,－,－
30人以上,平成16,2004,年平均,115.3,13.8,147,74.9,102.3,108.2,－,－,－,－,－,－,－,－,－,－
30人以上,平成17,2005,年平均,100,-13.3,100,100,100,100,100,100,100,100,100,100,100,100,100,100
