規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,19,160.2,142.8,17.4,13.8,81.6,75.9,5.7
100～499人,19.5,164.5,148.6,15.9,15.8,107.1,102.1,5
100人以上,19.3,162.7,146.2,16.5,15.1,98.8,93.5,5.3
30～99人,19.8,164.7,151.1,13.6,15.4,91.6,88.2,3.4
５～29人,21,170.4,160,10.4,13.9,84.9,82.2,2.7
30人以上,19.5,163.4,147.9,15.5,15.3,95.5,91.1,4.4
５人以上,19.9,165.3,151.2,14.1,14.5,89.8,86.3,3.5
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２０年２月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
