規模,産業,一般労働者／前月末労働者数(人),一般労働者／本月中の増加労働者数(人),一般労働者／本月中の減少労働者数(人),一般労働者／本月末労働者数(人),パートタイム労働者／前月末労働者数(人),パートタイム労働者／本月中の増加労働者数(人),パートタイム労働者／本月中の減少労働者数(人),パートタイム労働者／本月末労働者数(人)
５人以上,調査産業計,5295435,89480,79982,5305358,1313585,60251,54085,1319326
５人以上,鉱業,2115,48,38,2125,31,0,0,31
５人以上,建設業,343313,3705,4771,342145,14235,299,359,14277
５人以上,製造業,658478,8472,9118,657810,69170,1614,3010,67796
５人以上,電気・ガス・熱供給・水道業,37409,152,305,37257,2704,23,15,2711
５人以上,情報通信業,587053,6466,6597,586922,29379,5840,1469,33750
５人以上,運輸業,289370,4247,5540,288077,35395,714,1405,34704
５人以上,卸売・小売業,1083379,18478,15299,1087458,385946,11657,15354,381349
５人以上,金融・保険業,376439,8629,7589,377479,26191,402,804,25789
５人以上,不動産業,99160,1361,2725,97794,15309,562,340,15533
５人以上,"飲食店,宿泊業",173679,6236,5697,174088,304869,20820,12253,313566
５人以上,"医療,福祉",294745,2921,2970,294544,123130,3743,4229,122796
５人以上,"教育,学習支援業",269569,9623,3159,276032,85569,3992,4584,84978
５人以上,複合サービス事業,44029,84,128,43947,10815,276,461,10668
５人以上,サービス業（他に分類されないもの）,1036697,19058,16046,1039680,210842,10309,9802,211378
30人以上,調査産業計,3856728,61367,57494,3860662,616604,28090,25953,618680
30人以上,鉱業,2115,48,38,2125,31,0,0,31
30人以上,建設業,210259,1950,2617,209592,5975,299,235,6039
30人以上,製造業,487001,6524,7051,486452,32431,832,2375,30910
30人以上,電気・ガス・熱供給・水道業,34664,152,250,34567,2594,23,15,2601
30人以上,情報通信業,494565,5510,5275,494800,23137,5840,944,28033
30人以上,運輸業,230436,3853,4964,229325,25689,449,384,25754
30人以上,卸売・小売業,710761,10582,10659,710765,152981,3731,5067,151564
30人以上,金融・保険業,313126,6276,5945,313457,20443,151,567,20027
30人以上,不動産業,59330,1013,1652,58689,7789,265,184,7872
30人以上,"飲食店,宿泊業",88216,974,1721,87469,90641,4785,3941,91485
30人以上,"医療,福祉",207983,1926,2350,207560,57729,2233,2240,57721
30人以上,"教育,学習支援業",217622,9458,2838,224242,48358,3126,3629,47855
30人以上,複合サービス事業,31678,14,58,31636,7070,240,195,7113
30人以上,サービス業（他に分類されないもの）,768972,13087,12076,769983,141736,6116,6177,141675
,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２０年１０月分,,,,,,,,,
第７表  産業、就業形態別労働者数,,,,,,,,,
