規模,和暦年,西暦年,年平均・月・対前年同月比,調査産業計,調査産業計／対前年比・対前年同月比（％）,鉱業,建設業,製造業,電気・ガス・熱供給・水道業,情報通信業,運輸業,卸売・小売業,金融・保険業,不動産業,飲食店，宿泊業,医療，福祉,教育，学習支援業,複合サービス事業,サービス業（他に分類されないもの）
５人以上,平成15,2003,年平均,97.5,－,108,95.6,105.9,89.4,－,－,－,－,－,－,－,－,－,－
５人以上,平成16,2004,年平均,99,1.5,108.9,97.8,106.1,105.9,－,－,－,－,－,－,－,－,－,－
５人以上,平成17,2005,年平均,100,1,100,100,100,100,100,100,100,100,100,100,100,100,100,100
５人以上,平成18,2006,年平均,99.4,-0.6,101.2,98.2,99.1,99.9,99.5,98.6,101.8,96.7,107.8,92,103.4,100.5,99.5,96.5
５人以上,平成19,2007,年平均,100,0.6,96.5,97.4,98.7,99.5,102.5,100.5,102.2,97.9,107.7,90.1,108.5,96.1,99.5,97.3
５人以上,平成19,2007,9月,100,0.3,98.5,97.6,99,98.7,104.9,99.1,102.3,97.7,106.6,87.6,107.1,95,90,98.1
５人以上,平成19,2007,10月,100.5,0.7,99.2,96.8,98.9,99.6,103.5,100.2,104,97.2,108.8,88.4,107.7,96.3,112.5,98.1
５人以上,平成19,2007,11月,100.2,0.9,98.7,97.1,99.2,99.9,103,101.3,101.8,97.3,106.4,86.8,107.4,97.3,110.7,99.3
５人以上,平成19,2007,12月,100.4,1.5,97.1,97,99.2,99.7,103.4,101.3,103.5,98.3,105.7,88.4,106.9,93.1,109.1,99.4
５人以上,平成20,2008,1月,100.6,1.6,97.6,95.2,98.3,99.2,104.3,99.8,105.6,98.5,102.4,87.6,109.5,93.1,112.3,98.9
５人以上,平成20,2008,2月,101.3,2.1,96.7,96.5,99.9,99.3,104.3,101,107.2,98.2,101.2,89.7,110.6,94.2,111.9,97.8
５人以上,平成20,2008,3月,101.4,1.4,96.3,95.6,98.9,99.8,104.4,101.8,107.7,97.8,102.2,90.3,110.1,95.9,108.1,98.1
５人以上,平成20,2008,4月,101.9,0.7,97.9,94.4,99.6,99.2,105.4,101.7,108.7,96.9,106.6,89.9,113.7,98,111.4,96.8
５人以上,平成20,2008,5月,101.1,1.6,98.2,93.4,98.7,97.8,103.5,99.4,109.5,96.6,104.7,91.2,110.8,92.9,112.7,96.7
５人以上,平成20,2008,6月,101.1,0.8,97.4,95.1,100.3,97.6,103.7,100.9,107.4,96.4,103.2,88.2,111,93.9,114.4,97.4
５人以上,平成20,2008,7月,100.8,1.4,98.3,94.9,99.5,99.6,102.7,100.4,106.6,97.5,100.8,87.1,112.8,94.2,109.9,98
５人以上,平成20,2008,8月,100.8,1,103.3,93.7,98.5,100.1,104,100.2,107.9,97.3,99.6,86.9,112,92.9,111.1,97.6
５人以上,平成20,2008,9月,101.2,1.2,102.2,94.9,98.5,105.2,105.6,99.8,107.2,97.5,100.2,86.3,113.7,93.7,108.4,98.3
５人以上,平成20,2008,9月（対前年同月比（％））,－,－,3.8,-2.8,-0.5,6.6,0.7,0.7,4.8,-0.2,-6,-1.5,6.2,-1.4,20.4,0.2
30人以上,平成15,2003,年平均,97.8,－,101.1,95.8,109.3,89.9,－,－,－,－,－,－,－,－,－,－
30人以上,平成16,2004,年平均,100.5,2.8,110.1,96.8,108.3,107.6,－,－,－,－,－,－,－,－,－,－
30人以上,平成17,2005,年平均,100,-0.5,100,100,100,100,100,100,100,100,100,100,100,100,100,100
30人以上,平成18,2006,年平均,99.2,-0.8,99.1,96.5,99.5,100,99.5,100.3,102.5,96.4,101.5,91.9,99.3,101,96.6,96.9
30人以上,平成19,2007,年平均,101.1,1.9,94.6,95.4,100.3,100,103.3,101.4,103.3,98.8,102,92.5,111.9,100,98.1,98.2
30人以上,平成19,2007,9月,101.5,1.8,96.5,95.3,100.5,99.1,105.2,99.8,103.8,99.1,102.1,91.4,113.4,99.1,88.5,99.1
30人以上,平成19,2007,10月,102,2,97.2,94.4,100.6,100.4,103.7,101.1,105.3,98.1,102.7,91.4,114,101.3,116.6,99.1
30人以上,平成19,2007,11月,101.5,2.1,96.7,94.5,100.9,100.7,103.1,102,101.9,98.3,101.4,88.9,113.2,103,113.6,100.2
30人以上,平成19,2007,12月,101.6,2.7,95.1,95.5,100.8,100.3,103.7,102,104,99.5,101.4,88.9,112.9,98.3,112.6,99
30人以上,平成20,2008,1月,102.7,2.5,95.7,94.8,100.5,100.4,103.8,100.8,108.2,99.6,101,99.7,113.3,99.3,120.4,99
30人以上,平成20,2008,2月,103.3,3.5,94.8,95.3,101.7,100.5,104.9,101.3,109.7,99.4,100.4,99.6,114.2,100.6,119.1,98.7
30人以上,平成20,2008,3月,103.8,2.9,94.4,95,100.7,101,106.3,102.9,110.1,98.7,101.3,101.7,113.8,104.2,114.6,99.7
30人以上,平成20,2008,4月,103.9,1.4,95.9,93.6,101.2,100.8,106.9,103.3,111.1,97.7,103,100.7,117.5,104.6,117.9,98
30人以上,平成20,2008,5月,102.9,2.6,96.2,91.7,100,99.7,104.5,100.9,112.7,97.7,101.6,100.1,114.7,98.3,120.3,97.6
30人以上,平成20,2008,6月,103,1.9,95.4,93,101.4,98.9,105.5,102.2,110.1,97.6,101.2,99.7,113.9,99.8,121.4,97.9
30人以上,平成20,2008,7月,103,2.2,96.3,92.8,101.5,100.8,104.6,102.6,110.7,98.1,102.1,96,113.3,99.8,117,98.5
30人以上,平成20,2008,8月,103.3,2.1,101.3,92.2,100.9,101.3,106.1,102.3,113.3,98,101.1,95.3,112.9,98.4,118.7,98.2
