規模,産業,前月末労働者数／計(人),前月末労働者数／男(人),前月末労働者数／女(人),本月中の増加労働者数／計(人),本月中の増加労働者数／男(人),本月中の増加労働者数／女(人),本月中の減少労働者数／計(人),本月中の減少労働者数／男(人),本月中の減少労働者数／女(人),本月末労働者数／計(人),本月末労働者数／男(人),本月末労働者数／女(人),パートタイム労働者比率／計(％),パートタイム労働者比率／男(％),パートタイム労働者比率／女(％)
５人以上,調査産業計,6624684,4143375,2481309,122367,66566,55801,104459,50999,53460,6642592,4158942,2483650,20.2,10.5,36.4
５人以上,鉱業,2156,1771,385,11,11,0,11,9,2,2156,1773,383,1.7,0,9.4
５人以上,建設業,356422,298778,57644,2984,2439,545,3589,3081,508,355817,298136,57681,4.1,1.8,15.7
５人以上,製造業,725606,532478,193128,4968,3888,1080,7945,4938,3007,722629,531428,191201,9.3,3,26.5
５人以上,電気・ガス・熱供給・水道業,39968,33456,6512,3746,2882,864,95,87,8,43619,36251,7368,6.6,5.2,13.5
５人以上,情報通信業,620672,483843,136829,4794,2749,2045,6352,4085,2267,619114,482507,136607,5.4,1.8,18.2
５人以上,運輸業,322781,278197,44584,3726,3111,615,3955,3194,761,322552,278114,44438,10.7,7.6,30.6
５人以上,卸売・小売業,1468807,872319,596488,38947,17964,20983,23539,11326,12213,1484215,878957,605258,26.8,12.3,47.8
５人以上,金融・保険業,403268,226994,176274,4093,2008,2085,2978,1931,1047,404383,227071,177312,6.5,1.5,12.9
５人以上,不動産業,113327,77359,35968,1475,959,516,1612,1132,480,113190,77186,36004,13.8,6.7,28.9
５人以上,"飲食店,宿泊業",487654,236536,251118,28408,18077,10331,17378,6138,11240,498684,248475,250209,63.5,48.7,78.2
５人以上,"医療,福祉",417340,92936,324404,5533,1449,4084,6296,1404,4892,416577,92981,323596,29.1,20.3,31.7
５人以上,"教育,学習支援業",361010,197346,163664,3125,1533,1592,8006,2783,5223,356129,196096,160033,24.1,20.2,29
５人以上,複合サービス事業,54615,39248,15367,454,154,300,375,178,197,54694,39224,15470,19.1,10.5,40.7
５人以上,サービス業（他に分類されないもの）,1251058,772114,478944,20103,9342,10761,22328,10713,11615,1248833,770743,478090,17.1,10.8,27.3
30人以上,調査産業計,4479342,2973606,1505736,73904,41953,31951,58501,28875,29626,4494745,2986684,1508061,14.1,7,28.1
30人以上,鉱業,2156,1771,385,11,11,0,11,9,2,2156,1773,383,1.7,0,9.4
30人以上,建設業,215631,188195,27436,934,770,164,1988,1818,170,214577,187147,27430,2.9,1.4,13.1
30人以上,製造業,517362,395954,121408,3492,2568,924,5425,3509,1916,515429,395013,120416,5.7,1.8,18.8
30人以上,電気・ガス・熱供給・水道業,37168,30881,6287,3652,2788,864,90,82,8,40730,33587,7143,6.8,5.6,12.4
30人以上,情報通信業,522833,414662,108171,3442,1997,1445,4351,2941,1410,521924,413718,108206,5.3,1.7,18.8
30人以上,運輸業,255079,223266,31813,3110,2760,350,3063,2394,669,255126,223632,31494,10,7.9,24.9
30人以上,卸売・小売業,862329,547810,314519,23645,11567,12078,12049,5038,7011,873925,554339,319586,18.7,6.3,40.1
30人以上,金融・保険業,333484,193204,140280,3400,1786,1614,2522,1689,833,334362,193301,141061,6.1,1.6,12.4
30人以上,不動産業,66561,47161,19400,583,364,219,1078,637,441,66066,46888,19178,11.2,6.3,23.2
30人以上,"飲食店,宿泊業",178954,102539,76415,12188,8396,3792,3190,1259,1931,187952,109676,78276,49.1,33.5,71
30人以上,"医療,福祉",265281,62766,202515,3444,840,2604,2883,883,2000,265842,62723,203119,21.8,17.7,23.1
30人以上,"教育,学習支援業",272097,160820,111277,2053,981,1072,5340,1267,4073,268810,160534,108276,18.3,15.2,22.9
30人以上,複合サービス事業,38749,32094,6655,152,38,114,171,114,57,38730,32018,6712,18.4,12.6,46
30人以上,サービス業（他に分類されないもの）,911658,572483,339175,13798,7087,6711,16340,7235,9105,909116,572335,336781,15.7,9.6,26.1
,,,,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２０年１１月分,,,,,,,,,,,,,,,,
第３表  産業、性別常用労働者数及びパートタイム労働者比率,,,,,,,,,,,,,,,,
